algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003948736190795899,0.004223489761352539,0.8193704850361196,0.8209150326797385,0.8494015788133435,0.8209150326797385,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
RidgeClassifier,0.001731109619140625,0.003597259521484375,0.8429738562091502,0.8431372549019608,0.8543554829339144,0.8431372549019608,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
LogisticRegression,0.019621753692626955,0.004650020599365234,0.8544813012924468,0.8549019607843137,0.8658087174263643,0.8549019607843137,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
SGDClassifier,0.003470706939697266,0.003564310073852539,0.6424570967537718,0.696078431372549,0.6929997925095963,0.696078431372549,0.6521739130434783,0.6521739130434783,1.0,0.7894736842105263,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.012212276458740234,0.006573772430419922,0.7056333644568938,0.7084967320261438,0.7259839525035604,0.7084967320261438,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
QuadraticDiscriminantAnalysis,0.007831048965454102,0.0066164970397949215,0.664968383525659,0.6856209150326797,0.7346958025634497,0.6856209150326797,0.6521739130434783,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.23333333333333334,0.7333333333333333,0.5
SVC,0.002913808822631836,0.007441234588623047,0.6178699849401753,0.6751633986928105,0.6671637186343069,0.6751633986928105,0.8695652173913043,0.875,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9333333333333333,0.75
KNeighborsClassifier,0.0007103443145751953,0.005958700180053711,0.8074578603371172,0.8098039215686275,0.8440143734261382,0.8098039215686275,0.9130434782608695,0.8823529411764706,1.0,0.9375,0.8134892168199607,1.0,0.75
GaussianNB,0.0009990215301513671,0.003666114807128906,0.7922709551656919,0.7973856209150327,0.8430044320240399,0.7973856209150327,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
DecisionTreeClassifier,0.018317317962646483,0.0036729812622070313,0.774750601995184,0.7751633986928105,0.7876461628422413,0.7751633986928105,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
ExtraTreeClassifier,0.0007100582122802734,0.003580522537231445,0.7379209610478961,0.7411764705882353,0.7561593526299408,0.7411764705882353,0.9565217391304348,1.0,0.9333333333333333,0.9655172413793104,0.9108400680852976,0.9333333333333333,1.0
RandomForestClassifier,0.0926098346710205,0.017567014694213866,0.841830065359477,0.8418300653594771,0.8438979665940451,0.8418300653594771,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
BaggingClassifier,0.036453962326049805,0.022971677780151366,0.8867997198879551,0.8875816993464053,0.9047890671420082,0.8875816993464053,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
AdaBoostClassifier,0.5037693500518798,0.00910964012145996,0.8537071436761838,0.8542483660130721,0.8616044431240508,0.8542483660130721,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier,2.024779462814331,0.004360198974609375,0.7512745098039215,0.7529411764705882,0.7718300653594772,0.7529411764705882,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
HistGradientBoostingClassifier,0.11709609031677246,0.005348491668701172,0.8419263845889233,0.842483660130719,0.8587591838082034,0.842483660130719,0.9130434782608695,0.8823529411764706,1.0,0.9375,0.8134892168199607,1.0,0.75
ExtraTrees-ensemble,0.06371526718139649,0.016162681579589843,0.8647402820777433,0.8647058823529411,0.8735965867828612,0.8647058823529411,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,0.07076835632324219,0.006143617630004883,0.8644926040591676,0.8647058823529411,0.871057163606183,0.8647058823529411,0.9130434782608695,0.8823529411764706,1.0,0.9375,0.8134892168199607,1.0,0.75
LGBMClassifier,0.055199050903320314,0.007365703582763672,0.819814241486068,0.8196078431372549,0.8241448801742919,0.8196078431372549,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
