algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0050753593444824215,0.004182243347167968,0.8513322521991252,0.8529411764705882,0.8575370889096379,0.8529411764705882,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
RidgeClassifier,0.0017035961151123046,0.003511333465576172,0.8514036725801433,0.8529411764705881,0.857638099010648,0.8529411764705881,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
LogisticRegression,0.02561812400817871,0.004552316665649414,0.8865139974118301,0.8875816993464053,0.8928265851795263,0.8875816993464053,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
SGDClassifier,0.0029440402984619142,0.0037992000579833984,0.8598569507547834,0.8653594771241832,0.8863090286619698,0.8653594771241832,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
LinearDiscriminantAnalysis,0.01213374137878418,0.006536293029785156,0.7030433927957148,0.7045751633986927,0.7239895453130747,0.7045751633986927,0.8260869565217391,0.6666666666666666,1.0,0.8,0.699205898780101,1.0,0.7333333333333333
QuadraticDiscriminantAnalysis,0.007887125015258789,0.006750297546386719,0.6397354471331453,0.6503267973856208,0.6972575899046488,0.6503267973856208,0.6521739130434783,0.5,0.5,0.5,0.23333333333333334,0.5,0.7333333333333333
SVC,0.0030183792114257812,0.0074650287628173825,0.6802519588964602,0.7183006535947712,0.8175880437645144,0.7183006535947712,0.6956521739130435,0.5333333333333333,1.0,0.6956521739130435,0.5333333333333333,1.0,0.5333333333333333
KNeighborsClassifier,0.0006940364837646484,0.005276536941528321,0.7869512272325572,0.7980392156862746,0.8329921712274654,0.7980392156862746,0.8260869565217391,0.6666666666666666,1.0,0.8,0.699205898780101,1.0,0.7333333333333333
GaussianNB,0.001187896728515625,0.004366064071655273,0.8558807698934231,0.8633986928104574,0.8893453677767402,0.8633986928104574,0.8695652173913043,0.7272727272727273,1.0,0.8421052631578947,0.7627700713964738,1.0,0.8
DecisionTreeClassifier,0.02043042182922363,0.004203081130981445,0.8527698926460536,0.85359477124183,0.8579707438530967,0.85359477124183,0.9130434782608695,0.8,1.0,0.8888888888888888,0.8326663997864532,1.0,0.8666666666666667
ExtraTreeClassifier,0.0008043289184570312,0.004099512100219726,0.8186756483970106,0.8202614379084967,0.8340849673202614,0.8202614379084967,0.9130434782608695,0.8,1.0,0.8888888888888888,0.8326663997864532,1.0,0.8666666666666667
RandomForestClassifier,0.09161720275878907,0.01650080680847168,0.8964852049681771,0.8980392156862745,0.9114530930217205,0.8980392156862745,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
BaggingClassifier,0.03416733741760254,0.018265771865844726,0.8986557898013006,0.8986928104575164,0.902048590479963,0.8986928104575164,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.4470521926879883,0.00814962387084961,0.887006077284715,0.8875816993464053,0.894104443124051,0.8875816993464053,0.8695652173913043,0.7272727272727273,1.0,0.8421052631578947,0.7627700713964738,1.0,0.8
GradientBoostingClassifier,1.7614431381225586,0.0038459300994873047,0.8765049879600962,0.876470588235294,0.8777051561365287,0.876470588235294,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
HistGradientBoostingClassifier,0.11878252029418945,0.0056323051452636715,0.9213458482808328,0.9215686274509804,0.9248663101604278,0.9215686274509804,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.06338562965393066,0.016143083572387695,0.8741941832963505,0.8758169934640522,0.8868851917871525,0.8758169934640522,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9108400680852976,1.0,0.9333333333333333
XGBClassifier,0.07672910690307617,0.006062602996826172,0.887006077284715,0.8875816993464053,0.894104443124051,0.8875816993464053,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGBMClassifier,0.05375356674194336,0.006675910949707031,0.8980827886710239,0.8986928104575164,0.9039809863339274,0.8986928104575164,1.0,1.0,1.0,1.0,1.0,1.0,1.0
