algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.003627586364746,0.0040018558502197,0.7077735200292744,0.7398692810457517,0.829256446168211,0.7398692810457517,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9,0.7692307692307693,plusrnn,Embedding-based
RidgeClassifier,0.0016261577606201,0.0035811424255371,0.7725061937957348,0.7843137254901962,0.8083727565100114,0.7843137254901962,0.8695652173913043,0.8888888888888888,0.8,0.8421052631578947,0.7344646618036428,0.8,0.9230769230769232,plusrnn,Embedding-based
LogisticRegression,0.0114516735076904,0.0046514511108398,0.7077735200292744,0.7398692810457517,0.829256446168211,0.7398692810457517,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9,0.7692307692307693,plusrnn,Embedding-based
SGDClassifier,0.002890920639038,0.0038169860839843,0.7356816059757236,0.761437908496732,0.7940849673202613,0.761437908496732,0.9130434782608696,1.0,0.8,0.8888888888888888,0.8326663997864532,0.8,1.0,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0110690593719482,0.0066839218139648,0.6842002063983488,0.6856209150326797,0.6892464090013108,0.6856209150326797,0.6086956521739131,0.5333333333333333,0.8,0.64,0.2722178614686481,0.8,0.4615384615384615,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0068467140197753,0.0067157268524169,0.6693214654282765,0.6725490196078432,0.6822435843024078,0.6725490196078432,0.7391304347826086,0.75,0.6,0.6666666666666666,0.4643716460347527,0.6,0.8461538461538461,plusrnn,Embedding-based
SVC,0.00287446975708,0.0074898242950439,0.7338376464773018,0.7503267973856209,0.7902672835515973,0.7503267973856209,0.9565217391304348,1.0,0.9,0.9473684210526316,0.914174100330066,0.9,1.0,plusrnn,Embedding-based
KNeighborsClassifier,0.0006275653839111,0.0047500133514404,0.81781389748882,0.818954248366013,0.8249095530468079,0.818954248366013,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923,plusrnn,Embedding-based
GaussianNB,0.000970458984375,0.0037337303161621,0.7102156259956771,0.7274509803921568,0.7326342938107644,0.7274509803921568,0.8695652173913043,0.7692307692307693,1.0,0.8695652173913043,0.7692307692307693,1.0,0.7692307692307693,plusrnn,Embedding-based
DecisionTreeClassifier,0.0142745018005371,0.0034797668457031,0.726125853850312,0.730718954248366,0.7366560563619388,0.730718954248366,0.7391304347826086,0.7,0.7,0.7,0.4692307692307692,0.7,0.7692307692307693,plusrnn,Embedding-based
