algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0031699657440185545,0.004836225509643554,0.37806507218271923,0.5392156862745099,0.29124054850698455,0.5392156862745099,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.001705503463745117,0.004422378540039062,0.5541942484909237,0.6294117647058823,0.6681849776947816,0.6294117647058823,0.4782608695652174,1.0,0.2,0.3333333333333333,0.282842712474619,0.2,1.0
LogisticRegression,0.011359548568725586,0.004557561874389648,0.37806507218271923,0.5392156862745099,0.29124054850698455,0.5392156862745099,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
SGDClassifier,0.002205514907836914,0.004321956634521484,0.37806507218271923,0.5392156862745099,0.29124054850698455,0.5392156862745099,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
LinearDiscriminantAnalysis,0.0071547508239746095,0.006742525100708008,0.7270466151607624,0.7300653594771243,0.7455281827830846,0.7300653594771243,0.9130434782608695,1.0,0.8666666666666667,0.9285714285714286,0.8326663997864532,0.8666666666666667,1.0
QuadraticDiscriminantAnalysis,0.004534149169921875,0.006769943237304688,0.5595860566448801,0.561437908496732,0.5640713861302096,0.561437908496732,0.6521739130434783,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.23333333333333334,0.7333333333333333,0.5
SVC,0.002064943313598633,0.007128381729125976,0.37806507218271923,0.5392156862745099,0.29124054850698455,0.5392156862745099,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
KNeighborsClassifier,0.0006609439849853515,0.007733154296875,0.7957424756186366,0.7980392156862746,0.8046999405822935,0.7980392156862746,0.6521739130434783,0.8181818181818182,0.6,0.6923076923076923,0.3337119062359573,0.6,0.75
GaussianNB,0.0007997035980224609,0.003678131103515625,0.7504030463860185,0.7522875816993464,0.7580859953408974,0.7522875816993464,0.6956521739130435,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.349697526139891,0.7333333333333333,0.625
DecisionTreeClassifier,0.00937948226928711,0.0037923812866210937,0.6594235886805546,0.6640522875816993,0.6676054664289958,0.6640522875816993,0.8695652173913043,1.0,0.8,0.8888888888888888,0.7627700713964738,0.8,1.0
ExtraTreeClassifier,0.0006807327270507812,0.003686332702636719,0.5964032521896973,0.6071895424836601,0.6029532450120685,0.6071895424836601,0.782608695652174,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.580023075124402,0.7333333333333333,0.875
RandomForestClassifier,0.09752125740051269,0.017766189575195313,0.7610465297230004,0.7640522875816994,0.7690009337068161,0.7640522875816994,0.8695652173913043,1.0,0.8,0.8888888888888888,0.7627700713964738,0.8,1.0
BaggingClassifier,0.02427225112915039,0.018717145919799803,0.7096078564725085,0.7183006535947712,0.7324259763475449,0.7183006535947712,0.782608695652174,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.580023075124402,0.7333333333333333,0.875
AdaBoostClassifier,0.23842425346374513,0.009078073501586913,0.7039849177310477,0.7071895424836601,0.7130537400145244,0.7071895424836601,0.8695652173913043,1.0,0.8,0.8888888888888888,0.7627700713964738,0.8,1.0
GradientBoostingClassifier,1.0157845497131348,0.004498195648193359,0.6398854980588726,0.6411764705882353,0.6448237746276961,0.6411764705882353,0.9565217391304348,1.0,0.9333333333333333,0.9655172413793104,0.9108400680852976,0.9333333333333333,1.0
HistGradientBoostingClassifier,0.04798598289489746,0.005346965789794922,0.695962127541075,0.6967320261437908,0.6978458959341312,0.6967320261437908,0.8695652173913043,1.0,0.8,0.8888888888888888,0.7627700713964738,0.8,1.0
ExtraTrees-ensemble,0.06625947952270508,0.01612710952758789,0.7472969656089862,0.7529411764705883,0.7601744987039105,0.7529411764705883,0.8260869565217391,1.0,0.7333333333333333,0.8461538461538461,0.699205898780101,0.7333333333333333,1.0
XGBClassifier,0.04106602668762207,0.006072282791137695,0.7276801629742805,0.7294117647058823,0.7356463326071169,0.7294117647058823,0.9130434782608695,1.0,0.8666666666666667,0.9285714285714286,0.8326663997864532,0.8666666666666667,1.0
LGBMClassifier,0.0292665958404541,0.007395362854003907,0.6463377562098789,0.6509803921568628,0.6505630643865937,0.6509803921568628,0.9130434782608695,1.0,0.8666666666666667,0.9285714285714286,0.8326663997864532,0.8666666666666667,1.0
