algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0026556015014648437,0.004837179183959961,0.42446849569867473,0.5163398692810458,0.5334818339100346,0.5163398692810458,0.6086956521739131,1.0,0.18181818181818182,0.3076923076923077,0.3223291856101521,0.18181818181818182,1.0
RidgeClassifier,0.0014536857604980468,0.0045144081115722655,0.6145404990606229,0.6300653594771243,0.6494934640522876,0.6300653594771243,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666,0.38932432055219274,0.6363636363636364,0.75
LogisticRegression,0.017489814758300783,0.004684257507324219,0.5892654241183652,0.5967320261437908,0.6032777353365588,0.5967320261437908,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666,0.38932432055219274,0.6363636363636364,0.75
SGDClassifier,0.000957489013671875,0.0044991493225097655,0.33996983408748116,0.5058823529411764,0.25605536332179935,0.5058823529411764,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1.0
LinearDiscriminantAnalysis,0.0011651992797851562,0.0045092105865478516,0.6935692171605485,0.6980392156862745,0.7078781512605042,0.6980392156862745,0.5652173913043478,0.5555555555555556,0.45454545454545453,0.5,0.12406456138646277,0.45454545454545453,0.6666666666666666
QuadraticDiscriminantAnalysis,0.0009373188018798828,0.004486227035522461,0.6012382388852977,0.662091503267974,0.801329185520362,0.662091503267974,0.6521739130434783,0.5789473684210527,1.0,0.7333333333333333,0.4392976851069794,1.0,0.3333333333333333
SVC,0.0010383129119873047,0.004477739334106445,0.5695267580716497,0.584313725490196,0.5931442577030812,0.584313725490196,0.6521739130434783,0.6666666666666666,0.5454545454545454,0.6,0.302407368379503,0.5454545454545454,0.75
KNeighborsClassifier,0.0007117748260498047,0.019322967529296874,0.5967799154749619,0.6287581699346405,0.6969881588999236,0.6287581699346405,0.5217391304347826,0.5,0.5454545454545454,0.5217391304347826,0.045454545454545456,0.5454545454545454,0.5
GaussianNB,0.0008279800415039063,0.0046654224395751955,0.5538084069353418,0.5633986928104575,0.5717718882424765,0.5633986928104575,0.6521739130434783,0.8,0.36363636363636365,0.5,0.3394638275806278,0.36363636363636365,0.9166666666666666
DecisionTreeClassifier,0.0013654708862304687,0.004535579681396484,0.6275649909086443,0.6287581699346406,0.638186274509804,0.6287581699346406,0.6086956521739131,0.5714285714285714,0.7272727272727273,0.64,0.2326210525996177,0.7272727272727273,0.5
ExtraTreeClassifier,0.0006968975067138672,0.004380989074707031,0.6718691377272613,0.6875816993464052,0.7028915202444613,0.6875816993464052,0.782608695652174,0.7142857142857143,0.9090909090909091,0.8,0.5893066665856982,0.9090909090909091,0.6666666666666666
RandomForestClassifier,0.08968496322631836,0.01690373420715332,0.7506782038051387,0.75359477124183,0.7715849673202614,0.75359477124183,0.7391304347826086,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.4772727272727273,0.7272727272727273,0.75
BaggingClassifier,0.011583900451660157,0.014921903610229492,0.7228209561336496,0.7320261437908497,0.7518552036199095,0.7320261437908497,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3939393939393939,0.7272727272727273,0.6666666666666666
AdaBoostClassifier,0.05135178565979004,0.007847023010253907,0.7397533048307042,0.7418300653594772,0.7590522875816994,0.7418300653594772,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3939393939393939,0.7272727272727273,0.6666666666666666
GradientBoostingClassifier,0.10782790184020996,0.0039463043212890625,0.7399914000687995,0.741830065359477,0.7458488243782362,0.741830065359477,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.31298621848313535,0.7272727272727273,0.5833333333333334
HistGradientBoostingClassifier,0.02063136100769043,0.004778575897216797,0.7417930856553147,0.742483660130719,0.7485011883541295,0.742483660130719,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666,0.38932432055219274,0.6363636363636364,0.75
ExtraTrees-ensemble,0.07894887924194335,0.018112373352050782,0.7858631873802151,0.7875816993464052,0.7984651133180545,0.7875816993464052,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.31298621848313535,0.7272727272727273,0.5833333333333334
XGBClassifier,0.015351533889770508,0.0070037841796875,0.6915970072239421,0.6967320261437908,0.7064960529666412,0.6967320261437908,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7,0.4807501753725433,0.6363636363636364,0.8333333333333334
LGBMClassifier,0.013515996932983398,0.007065486907958984,0.7062535014005602,0.7091503267973855,0.7209362532891944,0.7091503267973855,0.6521739130434783,0.6666666666666666,0.5454545454545454,0.6,0.302407368379503,0.5454545454545454,0.75
