algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003456401824951172,0.0041710853576660155,0.6040650646223402,0.607843137254902,0.6246074187250658,0.607843137254902,0.7391304347826086,0.5833333333333334,0.875,0.7,0.5164589025080292,0.875,0.6666666666666666
RidgeClassifier,0.0016631603240966797,0.0036221981048583985,0.5908157509321865,0.5960784313725489,0.5955836175444019,0.5960784313725489,0.7391304347826086,0.5714285714285714,1.0,0.7272727272727273,0.5855400437691199,1.0,0.6
LogisticRegression,0.011555957794189452,0.004975652694702149,0.5937079217651974,0.5967320261437908,0.6096723537900008,0.5967320261437908,0.6956521739130435,0.5384615384615384,0.875,0.6666666666666666,0.4563652383444983,0.875,0.6
SGDClassifier,0.0029860973358154298,0.0044461250305175785,0.5667016988731814,0.5934640522875816,0.6320651897122486,0.5934640522875816,0.6956521739130435,0.5454545454545454,0.75,0.631578947368421,0.39727607885233013,0.75,0.6666666666666666
LinearDiscriminantAnalysis,0.009468460083007812,0.007022762298583984,0.5104109054573451,0.5150326797385621,0.5135714993067935,0.5150326797385621,0.4782608695652174,0.3,0.375,0.3333333333333333,-0.08807048459279793,0.375,0.5333333333333333
QuadraticDiscriminantAnalysis,0.009882116317749023,0.007313442230224609,0.551823601235366,0.6300653594771242,0.6734931009440812,0.6300653594771242,0.391304347826087,0.35,0.875,0.5,0.011785113019775792,0.875,0.13333333333333333
SVC,0.004204368591308594,0.01447920799255371,0.6040650646223402,0.607843137254902,0.6246074187250658,0.607843137254902,0.7391304347826086,0.5833333333333334,0.875,0.7,0.5164589025080292,0.875,0.6666666666666666
KNeighborsClassifier,0.0007845878601074219,0.006190109252929688,0.4661298315410578,0.4928104575163399,0.5365426186014421,0.4928104575163399,0.8260869565217391,0.8333333333333334,0.625,0.7142857142857143,0.6055975280770818,0.625,0.9333333333333333
GaussianNB,0.0011704921722412109,0.004589653015136719,0.5066299793793398,0.5725490196078431,0.7425708061002178,0.5725490196078431,0.782608695652174,0.8,0.5,0.6153846153846154,0.5003702332976756,0.5,0.9333333333333333
DecisionTreeClassifier,0.009233856201171875,0.004511451721191407,0.6760169623404917,0.6862745098039216,0.700517782870724,0.6862745098039216,0.8260869565217391,0.7,0.875,0.7777777777777778,0.6485190229106029,0.875,0.8
ExtraTreeClassifier,0.0008139610290527344,0.004282236099243164,0.5470833947614133,0.5509803921568628,0.5589041677276971,0.5509803921568628,0.6521739130434783,0.5,0.75,0.6,0.3337119062359573,0.75,0.6
RandomForestClassifier,0.09015240669250488,0.016183185577392577,0.6967244611826654,0.7104575163398692,0.7246330865938709,0.7104575163398692,0.7391304347826086,0.5714285714285714,1.0,0.7272727272727273,0.5855400437691199,1.0,0.6
BaggingClassifier,0.03135724067687988,0.027694845199584962,0.5422001676800438,0.561437908496732,0.5814476228201718,0.561437908496732,0.6086956521739131,0.45454545454545453,0.625,0.5263157894736842,0.21452908258025827,0.625,0.6
AdaBoostClassifier,0.19583673477172853,0.00934290885925293,0.6325162636927342,0.6529411764705882,0.6529776051834875,0.6529411764705882,0.6956521739130435,0.5384615384615384,0.875,0.6666666666666666,0.4563652383444983,0.875,0.6
GradientBoostingClassifier,0.8288710117340088,0.004525613784790039,0.7068581962699609,0.7091503267973855,0.7187647011666619,0.7091503267973855,0.4782608695652174,0.375,0.75,0.5,0.08625819491779428,0.75,0.3333333333333333
HistGradientBoostingClassifier,0.0805130958557129,0.005405330657958984,0.5892395063992857,0.5960784313725489,0.5949538370126606,0.5960784313725489,0.5652173913043478,0.4375,0.875,0.5833333333333334,0.2846520432287211,0.875,0.4
ExtraTrees-ensemble,0.06447863578796387,0.016184425354003905,0.6626036273095097,0.6751633986928104,0.6920239890828125,0.6751633986928104,0.6956521739130435,0.5333333333333333,1.0,0.6956521739130435,0.5333333333333333,1.0,0.5333333333333333
XGBClassifier,0.05324234962463379,0.006036376953125,0.6574109153137286,0.6633986928104576,0.6596620536326419,0.6633986928104576,0.5217391304347826,0.38461538461538464,0.625,0.47619047619047616,0.08807048459279793,0.625,0.4666666666666667
LGBMClassifier,0.03229732513427734,0.008239316940307616,0.6340597964127376,0.6411764705882353,0.6501416122004358,0.6411764705882353,0.5652173913043478,0.4375,0.875,0.5833333333333334,0.2846520432287211,0.875,0.4
