algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0026386260986328127,0.0038575649261474608,0.7267332844887024,0.7320261437908496,0.7475288273817686,0.7320261437908496,0.5652173913043478,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.13740858372430334,0.5384615384615384,0.6
RidgeClassifier,0.0013822078704833984,0.003638458251953125,0.7514266057300113,0.754248366013072,0.7653482302011714,0.754248366013072,0.7391304347826086,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.4643716460347527,0.8461538461538461,0.6
LogisticRegression,0.0115509033203125,0.005234622955322265,0.7267885697607059,0.7313725490196079,0.74121675709911,0.7313725490196079,0.5652173913043478,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.13740858372430334,0.5384615384615384,0.6
SGDClassifier,0.0023328304290771485,0.004864120483398437,0.43433793038746604,0.5385620915032681,0.5259818339100345,0.5385620915032681,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
LinearDiscriminantAnalysis,0.00722036361694336,0.00680699348449707,0.8190907415597817,0.8209150326797385,0.8321563911759989,0.8209150326797385,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75,0.4885638532419674,0.6923076923076923,0.8
QuadraticDiscriminantAnalysis,0.004718208312988281,0.006905078887939453,0.5782140735081912,0.5849673202614378,0.587047647341765,0.5849673202614378,0.43478260869565216,0.5,0.46153846153846156,0.48,-0.13740858372430334,0.46153846153846156,0.4
SVC,0.002290821075439453,0.007424545288085937,0.4743509039979627,0.5732026143790849,0.5304855873973521,0.5732026143790849,0.5652173913043478,1.0,0.23076923076923078,0.375,0.33968311024337877,0.23076923076923078,1.0
KNeighborsClassifier,0.0009458065032958984,0.006699991226196289,0.8048838897600508,0.8091503267973856,0.8282356641180171,0.8091503267973856,0.6086956521739131,0.6666666666666666,0.6153846153846154,0.64,0.21374668579336073,0.6153846153846154,0.6
GaussianNB,0.0019317626953125,0.005886554718017578,0.7510737628384687,0.7542483660130719,0.7692483660130718,0.7542483660130719,0.6086956521739131,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.1953363462243731,0.6923076923076923,0.5
DecisionTreeClassifier,0.010916709899902344,0.004547882080078125,0.7714619883040936,0.7738562091503268,0.7915113318054494,0.7738562091503268,0.5217391304347826,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.015626907697949846,0.6153846153846154,0.4
ExtraTreeClassifier,0.0007876873016357422,0.004365110397338867,0.6860572105389713,0.696078431372549,0.7387278244631186,0.696078431372549,0.6521739130434783,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.2923076923076923,0.6923076923076923,0.6
RandomForestClassifier,0.09861936569213867,0.01665072441101074,0.8416610152833062,0.8431372549019608,0.8535701553348612,0.8431372549019608,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
BaggingClassifier,0.024167871475219725,0.02210202217102051,0.7954628103234914,0.7986928104575164,0.8171828389475448,0.7986928104575164,0.7391304347826086,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.4643716460347527,0.8461538461538461,0.6
AdaBoostClassifier,0.2089137077331543,0.008486604690551758,0.8415800865800864,0.8444444444444443,0.861005661005661,0.8444444444444443,0.6956521739130435,0.75,0.6923076923076923,0.72,0.38932432055219274,0.6923076923076923,0.7
GradientBoostingClassifier,0.8746192455291748,0.004015827178955078,0.8410058233819845,0.842483660130719,0.8555296664120193,0.842483660130719,0.6521739130434783,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.2802242691589025,0.7692307692307693,0.5
HistGradientBoostingClassifier,0.048323202133178714,0.0055004596710205075,0.8422807017543861,0.8431372549019607,0.852519263597695,0.8431372549019607,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
ExtraTrees-ensemble,0.06388621330261231,0.01605081558227539,0.8185854341736695,0.8209150326797385,0.8368453441982853,0.8209150326797385,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
XGBClassifier,0.04403166770935059,0.006801986694335937,0.8197729618163054,0.8202614379084967,0.8235571636061831,0.8202614379084967,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
LGBMClassifier,0.03670454025268555,0.008233118057250976,0.8316907464740282,0.8320261437908496,0.8372875816993464,0.8320261437908496,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
