algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.33686270713806155,0.09300622940063477,0.44601424235411163,0.5725490196078431,0.5792216668802597,0.5725490196078431,0.4782608695652174,1.0,0.2,0.3333333333333333,0.282842712474619,0.2,1.0
RidgeClassifier,0.09605846405029297,0.008508396148681641,0.6706027135694654,0.6973856209150326,0.7835258205846442,0.6973856209150326,0.8695652173913043,0.875,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9333333333333333,0.75
LogisticRegression,0.24016022682189941,0.01891360282897949,0.5004632336919917,0.6058823529411764,0.5912450873595626,0.6058823529411764,0.4782608695652174,1.0,0.2,0.3333333333333333,0.282842712474619,0.2,1.0
SGDClassifier,0.11792011260986328,0.008037996292114259,0.6972332924251082,0.7189542483660131,0.8012263879910938,0.7189542483660131,0.6086956521739131,0.875,0.4666666666666667,0.6086956521739131,0.3416666666666667,0.4666666666666667,0.875
LinearDiscriminantAnalysis,1.0332718372344971,0.008359384536743165,0.526928949046596,0.5947712418300654,0.610982611999048,0.5947712418300654,0.43478260869565216,0.75,0.2,0.3157894736842105,0.09424212936563148,0.2,0.875
QuadraticDiscriminantAnalysis,0.7215323448181152,0.03188953399658203,0.43854323340768353,0.484313725490196,0.5068673537791184,0.484313725490196,0.7391304347826086,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.3874398651698183,0.9333333333333333,0.375
SVC,0.3913395404815674,0.18719987869262694,0.5576649763989918,0.6189542483660131,0.6629896174994213,0.6189542483660131,0.8695652173913043,0.8333333333333334,1.0,0.9090909090909091,0.7216878364870322,1.0,0.625
KNeighborsClassifier,0.015611982345581055,0.021863126754760744,0.6949340633591542,0.7202614379084966,0.7791896556602439,0.7202614379084966,0.8695652173913043,0.875,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9333333333333333,0.75
GaussianNB,0.06059970855712891,0.01567673683166504,0.8325054605809082,0.841830065359477,0.8817509288097524,0.841830065359477,0.6956521739130435,0.9,0.6,0.72,0.4563652383444983,0.6,0.875
DecisionTreeClassifier,0.22420687675476075,0.006190681457519531,0.6142039896259844,0.661437908496732,0.6893683466347826,0.661437908496732,0.4782608695652174,1.0,0.2,0.3333333333333333,0.282842712474619,0.2,1.0
ExtraTreeClassifier,0.018581581115722657,0.005616998672485352,0.6204957404062263,0.6529411764705882,0.7679925303454714,0.6529411764705882,0.8695652173913043,0.8333333333333334,1.0,0.9090909090909091,0.7216878364870322,1.0,0.625
RandomForestClassifier,0.15079035758972167,0.02291383743286133,0.5810930790840604,0.6392156862745098,0.6692732565396924,0.6392156862745098,0.8695652173913043,0.8333333333333334,1.0,0.9090909090909091,0.7216878364870322,1.0,0.625
BaggingClassifier,0.5494065761566163,0.1922748565673828,0.5969834688874937,0.6503267973856208,0.6814954787619147,0.6503267973856208,0.5217391304347826,1.0,0.26666666666666666,0.42105263157894735,0.3350831266333564,0.26666666666666666,1.0
AdaBoostClassifier,2.9967097282409667,0.0837900161743164,0.6063684917904866,0.661437908496732,0.6830191402855763,0.661437908496732,0.4782608695652174,0.8,0.26666666666666666,0.4,0.16358257627039396,0.26666666666666666,0.875
GradientBoostingClassifier,7.627272367477417,0.0059262275695800785,0.6353518235601961,0.6836601307189543,0.6958137530801891,0.6836601307189543,0.5217391304347826,1.0,0.26666666666666666,0.42105263157894735,0.3350831266333564,0.26666666666666666,1.0
HistGradientBoostingClassifier,5.3454954624176025,0.005534505844116211,0.3780650721827193,0.5392156862745099,0.2912405485069845,0.5392156862745099,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
ExtraTrees-ensemble,0.13905782699584962,0.018374919891357422,0.5810930790840604,0.6392156862745098,0.6692732565396924,0.6392156862745098,0.8695652173913043,0.8333333333333334,1.0,0.9090909090909091,0.7216878364870322,1.0,0.625
XGBClassifier,3.1510226249694826,0.039199113845825195,0.519899479605362,0.5947712418300652,0.6762568731196181,0.5947712418300652,0.782608695652174,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.5003702332976756,0.9333333333333333,0.5
LGBMClassifier,0.34743242263793944,0.011638593673706055,0.3780650721827193,0.5392156862745099,0.2912405485069845,0.5392156862745099,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
