algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.04046411514282226,0.014367914199829102,0.4565462772521595,0.561437908496732,0.6683823529411764,0.561437908496732,0.5217391304347826,0.5,0.09090909090909091,0.15384615384615385,0.013430382733756338,0.09090909090909091,0.9166666666666666
RidgeClassifier,0.017157459259033205,0.006494283676147461,0.7827927146812594,0.7869281045751635,0.8108157365510307,0.7869281045751635,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3939393939393939,0.7272727272727273,0.6666666666666666
LogisticRegression,0.151930570602417,0.009504604339599609,0.7472371591257041,0.75359477124183,0.7802601809954751,0.75359477124183,0.7391304347826086,0.6923076923076923,0.8181818181818182,0.75,0.4885638532419674,0.8181818181818182,0.6666666666666666
SGDClassifier,0.025435590744018556,0.006792783737182617,0.7736045997346306,0.7751633986928104,0.7804367201426026,0.7751633986928104,0.6956521739130435,0.6428571428571429,0.8181818181818182,0.72,0.41096385959265797,0.8181818181818182,0.5833333333333334
LinearDiscriminantAnalysis,0.19457550048828126,0.007746267318725586,0.6649421708322637,0.673202614379085,0.6848386907210438,0.673202614379085,0.5217391304347826,0.5,0.6363636363636364,0.56,0.054278245606577465,0.6363636363636364,0.4166666666666667
QuadraticDiscriminantAnalysis,0.07424917221069335,0.01217060089111328,0.574388517989541,0.6176470588235294,0.7017301407742584,0.6176470588235294,0.5652173913043478,0.5333333333333333,0.7272727272727273,0.6153846153846154,0.15096490996388545,0.7272727272727273,0.4166666666666667
SVC,0.022032546997070312,0.035434913635253903,0.7406040166142469,0.7529411764705882,0.8067065287653523,0.7529411764705882,0.6521739130434783,0.5789473684210527,1.0,0.7333333333333333,0.4392976851069794,1.0,0.3333333333333333
KNeighborsClassifier,0.0018629074096679688,0.028759574890136717,0.3685989304812834,0.5163398692810458,0.3505406574394464,0.5163398692810458,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1.0
GaussianNB,0.013694047927856445,0.006671142578125,0.6735523300229183,0.7071895424836601,0.8161085972850678,0.7071895424836601,0.6086956521739131,0.55,1.0,0.7096774193548387,0.37080992435478316,1.0,0.25
DecisionTreeClassifier,0.02552194595336914,0.004865598678588867,0.538390092879257,0.5490196078431373,0.5495008912655972,0.5490196078431373,0.5652173913043478,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.13740858372430334,0.6363636363636364,0.5
ExtraTreeClassifier,0.004122018814086914,0.0045316219329833984,0.6331825037707389,0.6398692810457517,0.6534238310708897,0.6398692810457517,0.6086956521739131,0.625,0.45454545454545453,0.5263157894736842,0.21452908258025827,0.45454545454545453,0.75
RandomForestClassifier,0.09216132164001464,0.016587018966674805,0.646569766662646,0.6509803921568628,0.6657300052888289,0.6509803921568628,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.31298621848313535,0.7272727272727273,0.5833333333333334
BaggingClassifier,0.18170995712280275,0.14727120399475097,0.6272739025680203,0.6398692810457517,0.6624660633484163,0.6398692810457517,0.5217391304347826,0.5,0.45454545454545453,0.47619047619047616,0.0381690510345287,0.45454545454545453,0.5833333333333334
AdaBoostClassifier,0.4679283142089844,0.023611068725585938,0.6313740903059789,0.6405228758169935,0.6499124894713131,0.6405228758169935,0.5217391304347826,0.5,0.45454545454545453,0.47619047619047616,0.0381690510345287,0.45454545454545453,0.5833333333333334
GradientBoostingClassifier,1.4585229396820067,0.004930830001831055,0.5476779446156212,0.561437908496732,0.5518582887700535,0.561437908496732,0.6521739130434783,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.31252705510589024,0.45454545454545453,0.8333333333333334
HistGradientBoostingClassifier,3.3498109340667725,0.0055500507354736325,0.5917787114845938,0.6071895424836601,0.6254774637127578,0.6071895424836601,0.4782608695652174,0.46153846153846156,0.5454545454545454,0.5,-0.0381690510345287,0.5454545454545454,0.4166666666666667
ExtraTrees-ensemble,0.07285504341125489,0.016728305816650392,0.656075348799807,0.6640522875816993,0.6786634933693758,0.6640522875816993,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.30303030303030304,0.6363636363636364,0.6666666666666666
XGBClassifier,0.3201446533203125,0.00918426513671875,0.6326985243858309,0.6392156862745098,0.6497928542046189,0.6392156862745098,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.45454545454545453,-0.045454545454545456,0.45454545454545453,0.5
LGBMClassifier,0.06346983909606933,0.00781702995300293,0.6216488413547238,0.6294117647058823,0.6470159252512194,0.6294117647058823,0.4782608695652174,0.4666666666666667,0.6363636363636364,0.5384615384615384,-0.03178208630818641,0.6363636363636364,0.3333333333333333
