algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0035752296447753907,0.004153728485107422,0.3720301659125188,0.5163398692810458,0.4501730103806228,0.5163398692810458,0.5652173913043478,1.0,0.09090909090909091,0.16666666666666666,0.22268088570756164,0.09090909090909091,1.0
RidgeClassifier,0.001714611053466797,0.0036808013916015624,0.6250420168067227,0.6294117647058823,0.6301247771836007,0.6294117647058823,0.6086956521739131,0.6,0.5454545454545454,0.5714285714285714,0.21374668579336073,0.5454545454545454,0.6666666666666666
LogisticRegression,0.01156024932861328,0.004978370666503906,0.6501728964190263,0.6535947712418301,0.6623966556319497,0.6535947712418301,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666,0.38932432055219274,0.6363636363636364,0.75
SGDClassifier,0.0022026538848876954,0.004479265213012696,0.679569007031317,0.6875816993464052,0.7040675664205076,0.6875816993464052,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666,0.38932432055219274,0.6363636363636364,0.75
LinearDiscriminantAnalysis,0.01047983169555664,0.0070322990417480465,0.6589591626124134,0.6633986928104576,0.6714616755793226,0.6633986928104576,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.30303030303030304,0.6363636363636364,0.6666666666666666
QuadraticDiscriminantAnalysis,0.006127691268920899,0.006966733932495117,0.543017470145953,0.5496732026143791,0.5517188693659282,0.5496732026143791,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.30303030303030304,0.6363636363636364,0.6666666666666666
SVC,0.0031059741973876952,0.007723331451416016,0.6146201283797191,0.6313725490196077,0.645708898944193,0.6313725490196077,0.6956521739130435,0.75,0.5454545454545454,0.631578947368421,0.39727607885233013,0.5454545454545454,0.8333333333333334
KNeighborsClassifier,0.0006540775299072266,0.0048563480377197266,0.6343475332716819,0.642483660130719,0.6432852441675971,0.642483660130719,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.2196969696969697,0.6363636363636364,0.5833333333333334
GaussianNB,0.0009532928466796875,0.0037494659423828124,0.48520428591016823,0.561437908496732,0.6674208144796381,0.561437908496732,0.6086956521739131,1.0,0.18181818181818182,0.3076923076923077,0.3223291856101521,0.18181818181818182,1.0
DecisionTreeClassifier,0.0049129962921142575,0.0037325382232666015,0.6575180933617466,0.6640522875816994,0.6854791776850601,0.6640522875816994,0.7391304347826086,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.5164589025080292,0.9090909090909091,0.5833333333333334
ExtraTreeClassifier,0.0007199287414550781,0.003660726547241211,0.6825438596491228,0.6856209150326797,0.6965915457091928,0.6856209150326797,0.6086956521739131,0.5714285714285714,0.7272727272727273,0.64,0.2326210525996177,0.7272727272727273,0.5
RandomForestClassifier,0.09871602058410645,0.01729245185852051,0.6274269383866906,0.642483660130719,0.6619060351413293,0.642483660130719,0.7391304347826086,0.6923076923076923,0.8181818181818182,0.75,0.4885638532419674,0.8181818181818182,0.6666666666666666
BaggingClassifier,0.02169804573059082,0.017197561264038087,0.5981530028279254,0.607843137254902,0.6091866956572839,0.607843137254902,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.31298621848313535,0.7272727272727273,0.5833333333333334
AdaBoostClassifier,0.129484224319458,0.009540510177612305,0.6423720931780562,0.6516339869281046,0.6648325693913929,0.6516339869281046,0.6521739130434783,0.6,0.8181818181818182,0.6923076923076923,0.3337119062359573,0.8181818181818182,0.5
GradientBoostingClassifier,0.5342270851135253,0.004517173767089844,0.7284264583026193,0.7313725490196077,0.738177574059927,0.7313725490196077,0.782608695652174,0.6875,1.0,0.8148148148148148,0.6332785063987777,1.0,0.5833333333333334
HistGradientBoostingClassifier,0.07107648849487305,0.005923652648925781,0.6600906489451381,0.6633986928104576,0.668937908496732,0.6633986928104576,0.7391304347826086,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.5164589025080292,0.9090909090909091,0.5833333333333334
ExtraTrees-ensemble,0.06585946083068847,0.01645345687866211,0.6417462439521263,0.6529411764705882,0.6807125227713463,0.6529411764705882,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.31298621848313535,0.7272727272727273,0.5833333333333334
XGBClassifier,0.0348602294921875,0.006030082702636719,0.633929152203146,0.6405228758169934,0.6494226525108878,0.6405228758169934,0.7391304347826086,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.5164589025080292,0.9090909090909091,0.5833333333333334
LGBMClassifier,0.02646036148071289,0.0074841976165771484,0.692135712584629,0.6967320261437908,0.7060122230710466,0.6967320261437908,0.782608695652174,0.6875,1.0,0.8148148148148148,0.6332785063987777,1.0,0.5833333333333334
