algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004350614547729492,0.005144166946411133,0.39779645191409896,0.5392156862745099,0.47366611132470415,0.5392156862745099,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.001975536346435547,0.004394245147705078,0.5900348017995076,0.596078431372549,0.5960939931528166,0.596078431372549,0.4782608695652174,0.5555555555555556,0.38461538461538464,0.45454545454545453,-0.015626907697949846,0.38461538461538464,0.6
LogisticRegression,0.017629194259643554,0.004882669448852539,0.5822323783314495,0.5849673202614378,0.5855143875732111,0.5849673202614378,0.43478260869565216,0.5,0.3076923076923077,0.38095238095238093,-0.09607689228305229,0.3076923076923077,0.6
SGDClassifier,0.0015414237976074218,0.004012346267700195,0.5693057398397956,0.5745098039215686,0.581759400729989,0.5745098039215686,0.4782608695652174,0.5454545454545454,0.46153846153846156,0.5,-0.0381690510345287,0.46153846153846156,0.5
LinearDiscriminantAnalysis,0.00932621955871582,0.006762361526489258,0.5111764705882352,0.5143790849673202,0.5168207282913164,0.5143790849673202,0.391304347826087,0.45454545454545453,0.38461538461538464,0.4166666666666667,-0.21374668579336073,0.38461538461538464,0.4
QuadraticDiscriminantAnalysis,0.006152963638305664,0.0069579601287841795,0.6477992664370373,0.6529411764705882,0.6656987620222914,0.6529411764705882,0.43478260869565216,0.5,0.5384615384615384,0.5185185185185185,-0.1640825308284734,0.5384615384615384,0.3
SVC,0.003198862075805664,0.007769060134887695,0.6619883040935672,0.6633986928104576,0.6724184657027794,0.6633986928104576,0.5652173913043478,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.13740858372430334,0.5384615384615384,0.6
KNeighborsClassifier,0.0006606101989746094,0.006359291076660156,0.3526682467858938,0.5169934640522875,0.26778375838352775,0.5169934640522875,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
GaussianNB,0.0011463165283203125,0.004579877853393555,0.4248027112079399,0.5392156862745099,0.47777777777777775,0.5392156862745099,0.43478260869565216,0.5,0.07692307692307693,0.13333333333333333,-0.04059989714705751,0.07692307692307693,0.9
DecisionTreeClassifier,0.006351995468139649,0.004550266265869141,0.5216902327119045,0.5379084967320261,0.5354426619132501,0.5379084967320261,0.4782608695652174,0.5454545454545454,0.46153846153846156,0.5,-0.0381690510345287,0.46153846153846156,0.5
ExtraTreeClassifier,0.0008647918701171875,0.0043776512145996095,0.5695915032679738,0.5732026143790849,0.5762201850437145,0.5732026143790849,0.5217391304347826,0.5833333333333334,0.5384615384615384,0.56,0.0381690510345287,0.5384615384615384,0.5
RandomForestClassifier,0.09645743370056152,0.01648087501525879,0.7170750405425327,0.7196078431372549,0.7402941176470588,0.7196078431372549,0.5652173913043478,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.13740858372430334,0.5384615384615384,0.6
BaggingClassifier,0.02462000846862793,0.018247222900390624,0.5665451507556771,0.5843137254901961,0.6023061760316664,0.5843137254901961,0.6086956521739131,0.7,0.5384615384615384,0.6086956521739131,0.23846153846153847,0.5384615384615384,0.7
AdaBoostClassifier,0.1326596736907959,0.00952301025390625,0.5890941367452338,0.5947712418300652,0.6193487394957984,0.5947712418300652,0.6521739130434783,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.31298621848313535,0.6153846153846154,0.7
GradientBoostingClassifier,0.5709726333618164,0.004571294784545899,0.6137280701754386,0.6176470588235294,0.6245117137764197,0.6176470588235294,0.5217391304347826,0.6,0.46153846153846156,0.5217391304347826,0.06153846153846154,0.46153846153846156,0.6
HistGradientBoostingClassifier,0.07893552780151367,0.005576086044311523,0.5734434124527004,0.5738562091503268,0.5746895424836601,0.5738562091503268,0.5652173913043478,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.1640825308284734,0.46153846153846156,0.7
ExtraTrees-ensemble,0.06608366966247559,0.016118240356445313,0.6793114006736298,0.6856209150326797,0.7179675716440421,0.6856209150326797,0.5217391304347826,0.6,0.46153846153846156,0.5217391304347826,0.06153846153846154,0.46153846153846156,0.6
XGBClassifier,0.03644156455993652,0.006399202346801758,0.6383507789080544,0.6398692810457518,0.6480319535221497,0.6398692810457518,0.6086956521739131,0.7,0.5384615384615384,0.6086956521739131,0.23846153846153847,0.5384615384615384,0.7
LGBMClassifier,0.026588010787963866,0.00794234275817871,0.5953216374269006,0.5967320261437908,0.6054740212583349,0.5967320261437908,0.6521739130434783,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.34379196935489664,0.5384615384615384,0.8
