algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004590368270874024,0.005133867263793945,0.7314396061454886,0.7529411764705882,0.8295203815792049,0.7529411764705882,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923
RidgeClassifier,0.0019306659698486329,0.004291248321533203,0.8978076318246597,0.8986928104575164,0.9078446226975638,0.8986928104575164,0.7391304347826086,0.7,0.7,0.7,0.46923076923076923,0.7,0.7692307692307693
LogisticRegression,0.011450672149658203,0.003967189788818359,0.7728292097217928,0.7875816993464053,0.8471339444868857,0.7875816993464053,0.6956521739130435,0.6363636363636364,0.7,0.6666666666666666,0.38932432055219274,0.7,0.6923076923076923
SGDClassifier,0.002520322799682617,0.004319190979003906,0.9213484692122462,0.9215686274509803,0.9246895424836602,0.9215686274509803,0.7391304347826086,0.75,0.6,0.6666666666666666,0.4643716460347527,0.6,0.8461538461538461
LinearDiscriminantAnalysis,0.010776853561401368,0.006665706634521484,0.7620682722849905,0.7653594771241831,0.7747991732305458,0.7653594771241831,0.6956521739130435,0.6666666666666666,0.6,0.631578947368421,0.3750457847507963,0.6,0.7692307692307693
QuadraticDiscriminantAnalysis,0.007016515731811524,0.006829738616943359,0.7222276167245207,0.7294117647058823,0.7518902520863306,0.7294117647058823,0.8260869565217391,1.0,0.6,0.75,0.6773651374345779,0.6,1.0
SVC,0.002812623977661133,0.0075836181640625,0.8844243338360986,0.8869281045751635,0.9085294117647059,0.8869281045751635,0.782608695652174,0.7777777777777778,0.7,0.7368421052631579,0.5547552232772196,0.7,0.8461538461538461
KNeighborsClassifier,0.0006340980529785156,0.004896640777587891,0.8035801779919426,0.8091503267973856,0.8290649873002813,0.8091503267973856,0.8695652173913043,0.8181818181818182,0.9,0.8571428571428571,0.7404795900698569,0.9,0.8461538461538461
GaussianNB,0.0010498046875,0.003990745544433594,0.7495680264606096,0.765359477124183,0.8337095910625323,0.765359477124183,0.7391304347826086,0.6428571428571429,0.9,0.75,0.5235014078813198,0.9,0.6153846153846154
DecisionTreeClassifier,0.018427181243896484,0.004231023788452149,0.7333233729821427,0.742483660130719,0.7607000515824044,0.742483660130719,0.8695652173913043,0.8181818181818182,0.9,0.8571428571428571,0.7404795900698569,0.9,0.8461538461538461
ExtraTreeClassifier,0.0008748054504394531,0.004261684417724609,0.7073102384072905,0.7196078431372549,0.7439712411771235,0.7196078431372549,0.6956521739130435,0.6363636363636364,0.7,0.6666666666666666,0.38932432055219274,0.7,0.6923076923076923
RandomForestClassifier,0.09255847930908204,0.016504621505737303,0.8971674283748587,0.8986928104575164,0.9133721198917277,0.8986928104575164,0.782608695652174,0.8571428571428571,0.6,0.7058823529411765,0.5635445125120265,0.6,0.9230769230769231
BaggingClassifier,0.027823209762573242,0.014884090423583985,0.7952362523956952,0.7986928104575164,0.8139096379292458,0.7986928104575164,0.7391304347826086,0.7,0.7,0.7,0.46923076923076923,0.7,0.7692307692307693
AdaBoostClassifier,0.3575615882873535,0.007973384857177735,0.8263212732138563,0.8320261437908496,0.8629203802733214,0.8320261437908496,0.7391304347826086,0.7,0.7,0.7,0.46923076923076923,0.7,0.7692307692307693
GradientBoostingClassifier,1.7034690856933594,0.004227066040039062,0.8005565583516855,0.8098039215686275,0.8400235240431317,0.8098039215686275,0.8260869565217391,0.8,0.8,0.8,0.6461538461538462,0.8,0.8461538461538461
HistGradientBoostingClassifier,0.07968826293945312,0.005318927764892578,0.875236252395695,0.8764705882352942,0.8889096379292457,0.8764705882352942,0.7391304347826086,0.75,0.6,0.6666666666666666,0.4643716460347527,0.6,0.8461538461538461
ExtraTrees-ensemble,0.06476864814758301,0.016188859939575195,0.9080317549667395,0.9104575163398693,0.9308647561588739,0.9104575163398693,0.8260869565217391,0.875,0.7,0.7777777777777778,0.6485190229106029,0.7,0.9230769230769231
XGBClassifier,0.06604418754577637,0.006450653076171875,0.8368610474492828,0.8431372549019607,0.8692956716486128,0.8431372549019607,0.782608695652174,0.7777777777777778,0.7,0.7368421052631579,0.5547552232772196,0.7,0.8461538461538461
LGBMClassifier,0.05655221939086914,0.008285903930664062,0.8857407332949128,0.8882352941176471,0.9039203117144293,0.8882352941176471,0.782608695652174,0.8571428571428571,0.6,0.7058823529411765,0.5635445125120265,0.6,0.9230769230769231
