algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.011921167373657227,0.007052326202392578,0.8645975232198142,0.8653594771241832,0.8699121466768525,0.8653594771241832,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
RidgeClassifier,0.005687713623046875,0.004763031005859375,0.8746002260553345,0.8764705882352942,0.8943718228031955,0.8764705882352942,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
LogisticRegression,0.14163284301757811,0.01845440864562988,0.8500902099276713,0.85359477124183,0.8820220810416888,0.85359477124183,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
SGDClassifier,0.008080339431762696,0.005574750900268555,0.8722933111518385,0.877124183006536,0.9013209357817201,0.877124183006536,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
LinearDiscriminantAnalysis,0.27770400047302246,0.007944202423095703,0.6814166878872762,0.6862745098039216,0.6944693432928727,0.6862745098039216,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
QuadraticDiscriminantAnalysis,0.06577539443969727,0.014814472198486328,0.7738177886784698,0.7764705882352941,0.7912569130216188,0.7764705882352941,0.6956521739130435,0.75,0.6923076923076923,0.72,0.38932432055219274,0.6923076923076923,0.7
SVC,0.008606910705566406,0.008760786056518555,0.8400577423952036,0.842483660130719,0.8644146884342963,0.842483660130719,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
KNeighborsClassifier,0.0012276172637939453,0.005317831039428711,0.8755340557275542,0.8764705882352942,0.8842303284950344,0.8764705882352942,0.6956521739130435,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.3750457847507963,0.7692307692307693,0.6
GaussianNB,0.004103183746337891,0.005345344543457031,0.8172005995380609,0.8202614379084967,0.8394146884342962,0.8202614379084967,0.6521739130434783,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.2802242691589025,0.7692307692307693,0.5
DecisionTreeClassifier,0.054427480697631835,0.004363489151000976,0.8083470932232542,0.8091503267973856,0.8127085985909515,0.8091503267973856,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
ExtraTreeClassifier,0.0017214298248291015,0.004727554321289062,0.8643832620767604,0.8653594771241832,0.8747065189712249,0.8653594771241832,0.6521739130434783,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.34379196935489664,0.5384615384615384,0.8
RandomForestClassifier,0.11477298736572265,0.01880927085876465,0.8400577423952036,0.842483660130719,0.8644146884342963,0.842483660130719,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
BaggingClassifier,0.18524017333984374,0.020546102523803712,0.8641447982701853,0.8660130718954248,0.8868937271878448,0.8660130718954248,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
AdaBoostClassifier,1.725192928314209,0.011811113357543946,0.8373668574287769,0.841830065359477,0.8731359979889393,0.841830065359477,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
GradientBoostingClassifier,6.044642639160156,0.0051266193389892575,0.853986068111455,0.8549019607843137,0.8630048382989559,0.8549019607843137,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
HistGradientBoostingClassifier,0.6640224456787109,0.006987953186035156,0.8640261192196178,0.8653594771241832,0.8785665478312538,0.8653594771241832,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
ExtraTrees-ensemble,0.07564964294433593,0.017285728454589845,0.8518224482775565,0.8542483660130719,0.8750356034669761,0.8542483660130719,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
XGBClassifier,0.6433603286743164,0.011746883392333984,0.8525234655265613,0.8542483660130719,0.861748366013072,0.8542483660130719,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
LGBMClassifier,0.4953734874725342,0.009535598754882812,0.8858095327445172,0.8882352941176471,0.9041980894922071,0.8882352941176471,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
