algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004630374908447266,0.005090570449829102,0.8389162858125706,0.8418300653594771,0.8841830065359477,0.8418300653594771,0.8695652173913043,0.875,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9333333333333333,0.75
RidgeClassifier,0.001983833312988281,0.004350996017456055,0.9094373187871639,0.9098039215686274,0.9209955766818512,0.9098039215686274,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
LogisticRegression,0.011325216293334961,0.00405588150024414,0.9095287237702099,0.9098039215686274,0.9245738430052155,0.9098039215686274,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
SGDClassifier,0.002398252487182617,0.004401111602783203,0.841104268968046,0.842483660130719,0.8548874364560639,0.842483660130719,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
LinearDiscriminantAnalysis,0.010834455490112305,0.006720209121704101,0.8975959506609661,0.8986928104575164,0.9137292627488705,0.8986928104575164,0.9565217391304348,0.9375,1.0,0.967741935483871,0.90571104663684,1.0,0.875
QuadraticDiscriminantAnalysis,0.007041501998901367,0.006939554214477539,0.6634807335318844,0.6843137254901961,0.7033158997864881,0.6843137254901961,0.6521739130434783,1.0,0.4666666666666667,0.6363636363636364,0.48304589153964794,0.4666666666666667,1.0
SVC,0.0037616729736328126,0.007817792892456054,0.908937048503612,0.9091503267973856,0.919946052495072,0.9091503267973856,0.8695652173913043,0.875,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9333333333333333,0.75
KNeighborsClassifier,0.0006389617919921875,0.0051462650299072266,0.8154635362917096,0.8176470588235294,0.8375255826236219,0.8176470588235294,0.8695652173913043,0.875,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9333333333333333,0.75
GaussianNB,0.0011091232299804688,0.004429817199707031,0.8264933612998628,0.8320261437908496,0.8750228711013024,0.8320261437908496,0.8695652173913043,0.8333333333333334,1.0,0.9090909090909091,0.7216878364870322,1.0,0.625
DecisionTreeClassifier,0.017434453964233397,0.004343748092651367,0.8767723229642733,0.877124183006536,0.8799753840930311,0.877124183006536,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTreeClassifier,0.0008066177368164062,0.004231643676757812,0.8115208810797047,0.8183006535947712,0.8344166400048753,0.8183006535947712,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
RandomForestClassifier,0.09218544960021972,0.016124868392944337,0.9327003783969727,0.9326797385620915,0.9395352214960058,0.9326797385620915,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
BaggingClassifier,0.025615978240966796,0.01817312240600586,0.829393090569561,0.830718954248366,0.8336473983532807,0.830718954248366,0.8695652173913043,0.9285714285714286,0.8666666666666667,0.896551724137931,0.7237925541034954,0.8666666666666667,0.875
AdaBoostClassifier,0.42867517471313477,0.00943441390991211,0.8867148262813898,0.8869281045751635,0.8932793858284054,0.8869281045751635,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
GradientBoostingClassifier,1.5753883361816405,0.00413808822631836,0.8650076170819204,0.8653594771241832,0.8669034886681946,0.8653594771241832,0.8695652173913043,1.0,0.8,0.8888888888888888,0.7627700713964738,0.8,1.0
HistGradientBoostingClassifier,0.07839365005493164,0.005428409576416016,0.8881983144134848,0.8882352941176471,0.8972865914042385,0.8882352941176471,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
ExtraTrees-ensemble,0.06486177444458008,0.016209220886230467,0.8749422576047963,0.8758169934640522,0.8883587509077705,0.8758169934640522,0.9130434782608695,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9333333333333333,0.875
XGBClassifier,0.062554931640625,0.006892251968383789,0.8421661998132587,0.842483660130719,0.8440603514132926,0.842483660130719,0.8695652173913043,0.9285714285714286,0.8666666666666667,0.896551724137931,0.7237925541034954,0.8666666666666667,0.875
LGBMClassifier,0.057491397857666014,0.007466459274291992,0.8532429111995675,0.85359477124183,0.8562825736355147,0.85359477124183,0.8695652173913043,0.9285714285714286,0.8666666666666667,0.896551724137931,0.7237925541034954,0.8666666666666667,0.875
