algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004519844055175781,0.0050333976745605465,0.864089122092218,0.8653594771241829,0.873893628158334,0.8653594771241829,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435,0.4153846153846154,0.6153846153846154,0.8
RidgeClassifier,0.001974630355834961,0.0042819023132324215,0.8867961161072616,0.8882352941176471,0.9037596553773024,0.8882352941176471,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435,0.4153846153846154,0.6153846153846154,0.8
LogisticRegression,0.011399126052856446,0.004053831100463867,0.8530812101555135,0.8542483660130719,0.8619491837138895,0.8542483660130719,0.6521739130434783,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.34379196935489664,0.5384615384615384,0.8
SGDClassifier,0.0028626441955566405,0.0042722225189208984,0.8415261192196176,0.8431372549019608,0.8551899244546302,0.8431372549019608,0.6086956521739131,0.75,0.46153846153846156,0.5714285714285714,0.2722178614686481,0.46153846153846156,0.8
LinearDiscriminantAnalysis,0.011324548721313476,0.006771564483642578,0.7497748046587056,0.7516339869281046,0.7581775269030171,0.7516339869281046,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
QuadraticDiscriminantAnalysis,0.007028818130493164,0.006763982772827149,0.6448258346400761,0.6535947712418301,0.686942746795688,0.6535947712418301,0.6086956521739131,0.7,0.5384615384615384,0.6086956521739131,0.23846153846153847,0.5384615384615384,0.7
SVC,0.002800130844116211,0.007446718215942383,0.8870183629007158,0.8882352941176471,0.9015193956370426,0.8882352941176471,0.6956521739130435,0.75,0.6923076923076923,0.72,0.38932432055219274,0.6923076923076923,0.7
KNeighborsClassifier,0.0006750106811523437,0.006086015701293945,0.807509905740152,0.8098039215686275,0.8226477444124504,0.8098039215686275,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.5235014078813198,0.6153846153846154,0.9
GaussianNB,0.0011212825775146484,0.00442347526550293,0.8511826245649775,0.8549019607843137,0.8805144746321216,0.8549019607843137,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435,0.4153846153846154,0.6153846153846154,0.8
DecisionTreeClassifier,0.019498920440673827,0.0043026447296142575,0.8534146641112585,0.8549019607843137,0.8685323354931198,0.8549019607843137,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
ExtraTreeClassifier,0.0008279323577880859,0.004235458374023437,0.8076977984176127,0.8091503267973856,0.8254131652661064,0.8091503267973856,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.5235014078813198,0.6153846153846154,0.9
RandomForestClassifier,0.09577708244323731,0.01655721664428711,0.8620603797074384,0.8647058823529411,0.8807486631016042,0.8647058823529411,0.6521739130434783,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.34379196935489664,0.5384615384615384,0.8
BaggingClassifier,0.029899215698242186,0.017698192596435548,0.8061884031001678,0.8091503267973856,0.8234091616444559,0.8091503267973856,0.782608695652174,0.8333333333333334,0.7692307692307693,0.8,0.5649019553110248,0.7692307692307693,0.8
AdaBoostClassifier,0.3526164054870605,0.007869863510131836,0.8300137189378676,0.8313725490196078,0.8405368814192343,0.8313725490196078,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75,0.4885638532419674,0.6923076923076923,0.8
GradientBoostingClassifier,1.6101036548614502,0.0037299633026123048,0.7872892793481029,0.7960784313725491,0.8226781932664287,0.7960784313725491,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435,0.4153846153846154,0.6153846153846154,0.8
HistGradientBoostingClassifier,0.07231988906860351,0.005518627166748047,0.8748735400592984,0.8758169934640522,0.8814964773788303,0.8758169934640522,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
ExtraTrees-ensemble,0.0633279800415039,0.016107559204101562,0.8517640506494996,0.85359477124183,0.8632486631016043,0.85359477124183,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
XGBClassifier,0.06207914352416992,0.006096410751342774,0.8992010254394154,0.9,0.9058405483405483,0.9,0.6956521739130435,0.875,0.5384615384615384,0.6666666666666666,0.4563652383444983,0.5384615384615384,0.9
LGBMClassifier,0.048643636703491214,0.007368564605712891,0.8761583697806608,0.8764705882352942,0.8791473559120618,0.8764705882352942,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
