algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003489255905151367,0.003990745544433594,0.714138644293443,0.7196078431372549,0.737325109530992,0.7196078431372549,0.8260869565217391,0.8,0.8,0.8,0.6461538461538462,0.8,0.8461538461538461
RidgeClassifier,0.0016733169555664062,0.0035576820373535156,0.875236252395695,0.8764705882352942,0.8889096379292457,0.8764705882352942,0.8260869565217391,0.8,0.8,0.8,0.6461538461538462,0.8,0.8461538461538461
LogisticRegression,0.021711969375610353,0.005286073684692383,0.8646262715612562,0.866013071895425,0.877066887361005,0.866013071895425,0.8260869565217391,0.8,0.8,0.8,0.6461538461538462,0.8,0.8461538461538461
SGDClassifier,0.0026092529296875,0.004253911972045899,0.6129893030945662,0.6633986928104576,0.6638845150854955,0.6633986928104576,0.7391304347826086,0.625,1.0,0.7692307692307693,0.5801193511153214,1.0,0.5384615384615384
LinearDiscriminantAnalysis,0.010401630401611328,0.006478166580200196,0.7494848641210871,0.7516339869281046,0.7625157032509974,0.7516339869281046,0.6956521739130435,0.6666666666666666,0.6,0.631578947368421,0.3750457847507963,0.6,0.7692307692307693
QuadraticDiscriminantAnalysis,0.006995391845703125,0.006861639022827148,0.7296417514374169,0.730718954248366,0.7347268435993926,0.730718954248366,0.6086956521739131,0.5333333333333333,0.8,0.64,0.2722178614686481,0.8,0.46153846153846156
SVC,0.002924060821533203,0.007642889022827148,0.5805511816969616,0.6405228758169935,0.654316508654744,0.6405228758169935,0.7391304347826086,0.625,1.0,0.7692307692307693,0.5801193511153214,1.0,0.5384615384615384
KNeighborsClassifier,0.0006406307220458984,0.006708335876464844,0.6732667169431875,0.6967320261437909,0.7489538239538239,0.6967320261437909,0.9130434782608695,0.8333333333333334,1.0,0.9090909090909091,0.8397191227596315,1.0,0.8461538461538461
GaussianNB,0.0011046409606933593,0.004458189010620117,0.7274072659366777,0.7418300653594772,0.7908099743393862,0.7418300653594772,0.782608695652174,0.6666666666666666,1.0,0.8,0.6405126152203485,1.0,0.6153846153846154
DecisionTreeClassifier,0.019912528991699218,0.004353189468383789,0.6952769177846576,0.6967320261437908,0.7032896188778542,0.6967320261437908,0.6521739130434783,0.5833333333333334,0.7,0.6363636363636364,0.31298621848313535,0.7,0.6153846153846154
ExtraTreeClassifier,0.0008249759674072265,0.004248762130737304,0.6989320313479016,0.7098039215686274,0.7450371523900936,0.7098039215686274,0.782608695652174,0.7777777777777778,0.7,0.7368421052631579,0.5547552232772196,0.7,0.8461538461538461
RandomForestClassifier,0.08929524421691895,0.015970134735107423,0.8290385611980039,0.8320261437908496,0.855254404274012,0.8320261437908496,0.8695652173913043,0.8888888888888888,0.8,0.8421052631578947,0.7344646618036428,0.8,0.9230769230769231
BaggingClassifier,0.03860163688659668,0.025191450119018556,0.8546190230478157,0.8555555555555555,0.8672041847041847,0.8555555555555555,0.9130434782608695,0.9,0.9,0.9,0.823076923076923,0.9,0.9230769230769231
AdaBoostClassifier,0.42180891036987306,0.00926203727722168,0.8415060936655363,0.8431372549019608,0.8610236350432429,0.8431372549019608,0.8695652173913043,0.8181818181818182,0.9,0.8571428571428571,0.7404795900698569,0.9,0.8461538461538461
GradientBoostingClassifier,1.80086407661438,0.0043792724609375,0.7757585139318885,0.7771241830065361,0.7815013109620953,0.7771241830065361,0.6521739130434783,0.5714285714285714,0.8,0.6666666666666666,0.34379196935489664,0.8,0.5384615384615384
HistGradientBoostingClassifier,0.07825002670288086,0.0055945396423339845,0.875236252395695,0.8764705882352942,0.8889096379292457,0.8764705882352942,0.8695652173913043,0.8181818181818182,0.9,0.8571428571428571,0.7404795900698569,0.9,0.8461538461538461
ExtraTrees-ensemble,0.06368908882141114,0.016100549697875978,0.7916289050385159,0.7973856209150327,0.8226236689962182,0.7973856209150327,0.8695652173913043,0.8181818181818182,0.9,0.8571428571428571,0.7404795900698569,0.9,0.8461538461538461
XGBClassifier,0.06698999404907227,0.00644216537475586,0.865202958376333,0.8660130718954248,0.8758259061200239,0.8660130718954248,0.8695652173913043,0.8181818181818182,0.9,0.8571428571428571,0.7404795900698569,0.9,0.8461538461538461
LGBMClassifier,0.04927821159362793,0.007637882232666015,0.818727489400864,0.8215686274509804,0.8449051601992779,0.8215686274509804,0.8260869565217391,0.8,0.8,0.8,0.6461538461538462,0.8,0.8461538461538461
