algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0037799835205078124,0.004281187057495117,0.8730460062813006,0.8764705882352942,0.905530696609128,0.8764705882352942,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
RidgeClassifier,0.0016749382019042968,0.0037536144256591795,0.8976238390092879,0.8980392156862745,0.9051678550207962,0.8980392156862745,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
LogisticRegression,0.011590909957885743,0.005150842666625977,0.8632277998918866,0.8653594771241832,0.8804946524064171,0.8653594771241832,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
SGDClassifier,0.0019159317016601562,0.004619979858398437,0.8490932767521138,0.8542483660130719,0.8849038234822549,0.8542483660130719,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
LinearDiscriminantAnalysis,0.012529706954956055,0.008750057220458985,0.8177581617442297,0.8196078431372549,0.8271106018164842,0.8196078431372549,0.6521739130434783,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.34379196935489664,0.5384615384615384,0.8
QuadraticDiscriminantAnalysis,0.00735621452331543,0.007272863388061523,0.5571147364174689,0.5725490196078431,0.5753470222587869,0.5725490196078431,0.6086956521739131,0.7,0.5384615384615384,0.6086956521739131,0.23846153846153847,0.5384615384615384,0.7
SVC,0.0026909828186035155,0.007642698287963867,0.9093885448916408,0.9098039215686274,0.9157887700534759,0.9098039215686274,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
KNeighborsClassifier,0.0006506443023681641,0.005315351486206055,0.828008166584018,0.8313725490196079,0.8598026646556057,0.8313725490196079,0.782608695652174,0.75,0.9230769230769231,0.8275862068965517,0.5635445125120265,0.9230769230769231,0.6
GaussianNB,0.001065206527709961,0.004271078109741211,0.8342157643436415,0.8418300653594771,0.8880366220562299,0.8418300653594771,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
DecisionTreeClassifier,0.015842962265014648,0.004693269729614258,0.8524914000687993,0.8529411764705882,0.8598828150788936,0.8529411764705882,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435,0.4153846153846154,0.6153846153846154,0.8
ExtraTreeClassifier,0.0008496761322021485,0.004448366165161133,0.7967245319180303,0.7986928104575164,0.8124554367201426,0.7986928104575164,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
RandomForestClassifier,0.08964323997497559,0.01643071174621582,0.8751716300555309,0.8764705882352942,0.8909122268435994,0.8764705882352942,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
BaggingClassifier,0.030406856536865236,0.01968231201171875,0.8862441643323995,0.8875816993464053,0.901131860151468,0.8875816993464053,0.782608695652174,0.9,0.6923076923076923,0.782608695652174,0.5923076923076923,0.6923076923076923,0.9
AdaBoostClassifier,0.43052000999450685,0.009622573852539062,0.9200986534964862,0.9209150326797385,0.9326903017099095,0.9209150326797385,0.782608695652174,0.8333333333333334,0.7692307692307693,0.8,0.5649019553110248,0.7692307692307693,0.8
GradientBoostingClassifier,1.4529432296752929,0.0045413970947265625,0.8428620571035431,0.8431372549019608,0.8445261437908496,0.8431372549019608,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.5235014078813198,0.6153846153846154,0.9
HistGradientBoostingClassifier,0.08236551284790039,0.005601072311401367,0.8743224482775567,0.8764705882352942,0.8984122268435992,0.8764705882352942,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75,0.4885638532419674,0.6923076923076923,0.8
ExtraTrees-ensemble,0.0667344093322754,0.016231298446655273,0.8732094049741109,0.8764705882352942,0.9029235796882855,0.8764705882352942,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
XGBClassifier,0.05740280151367187,0.006192827224731445,0.8756716546267629,0.8764705882352942,0.8846315630629356,0.8764705882352942,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75,0.4885638532419674,0.6923076923076923,0.8
LGBMClassifier,0.052552080154418944,0.007513523101806641,0.9085045948203844,0.9104575163398693,0.9295352214960058,0.9104575163398693,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75,0.4885638532419674,0.6923076923076923,0.8
