Algorithm,Encoder,mean_accuracy_training_x,mean_f_score_training_x,mean_precision_training_x,mean_recall_training_x,mean_accuracy_testing_x,mean_f_score_testing_x,mean_precision_testing_x,mean_recall_testing_x,mean_accuracy_testing_y,mean_f_score_testing_y,mean_precision_testing_y,mean_recall_testing_y,mean_accuracy_training_y,mean_f_score_training_y,mean_precision_training_y,mean_recall_training_y,Voting
AdaBoostClassifier,bepler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
AdaBoostClassifier,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
AdaBoostClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
BaggingClassifier,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
BaggingClassifier,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
GaussianNB,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
GaussianNB,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
GaussianProcessClassifier,protrans_albert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
GaussianProcessClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
HistGradientBoostingClassifier,bepler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
HistGradientBoostingClassifier,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
HistGradientBoostingClassifier,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
HistGradientBoostingClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LGBMClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RandomForestClassifier,bepler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RandomForestClassifier,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RandomForestClassifier,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RandomForestClassifier,protrans_albert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RidgeClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RidgeClassifier,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
SGDClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
XGBClassifier,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
XGBClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
XGBClassifier,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
