algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004230117797851563,0.005069065093994141,0.30408819654343955,0.47312252964426876,0.22413801184208468,0.47312252964426876,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0025186538696289062,0.006037330627441407,0.811421667577274,0.8122529644268773,0.8154988972380277,0.8122529644268773,0.8571428571428571,0.8888888888888888,0.7272727272727273,0.8,0.6990224993351266,0.7272727272727273,0.9411764705882353
LogisticRegression,0.011341142654418945,0.004461145401000977,0.8565450781102955,0.8565217391304347,0.8604413241567391,0.8565217391304347,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7810706122033858,0.9090909090909091,0.8823529411764706
SGDClassifier,0.001607990264892578,0.004442167282104492,0.847682288725767,0.8561264822134387,0.8648393635350157,0.8561264822134387,0.8571428571428571,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.7174348320524659,0.9090909090909091,0.8235294117647058
LinearDiscriminantAnalysis,0.009727096557617188,0.00682673454284668,0.620262239667274,0.6233201581027668,0.6245951413540346,0.6233201581027668,0.6071428571428571,0.5,0.6363636363636364,0.56,0.2193817272381392,0.6363636363636364,0.5882352941176471
QuadraticDiscriminantAnalysis,0.0058062076568603516,0.006652259826660156,0.6194497290149463,0.6237154150197628,0.638390331670964,0.6237154150197628,0.6785714285714286,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.4469477924479479,0.9090909090909091,0.5294117647058824
SVC,0.002670145034790039,0.007481956481933593,0.7741820498342238,0.7766798418972332,0.7955568586003368,0.7766798418972332,0.7857142857142857,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.5488604301969738,0.5454545454545454,0.9411764705882353
KNeighborsClassifier,0.0006471633911132813,0.005496072769165039,0.6741231074031585,0.6873517786561264,0.7490506232897538,0.6873517786561264,0.8214285714285714,1.0,0.5454545454545454,0.7058823529411765,0.6492207662311682,0.5454545454545454,1.0
GaussianNB,0.0010373592376708984,0.004666042327880859,0.763705600273106,0.7675889328063241,0.7971880293619423,0.7675889328063241,0.7857142857142857,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.5488604301969738,0.5454545454545454,0.9411764705882353
DecisionTreeClassifier,0.01473846435546875,0.004323482513427734,0.7252654871190339,0.7316205533596838,0.7627840516970952,0.7316205533596838,0.7142857142857143,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.49732620320855614,0.9090909090909091,0.5882352941176471
ExtraTreeClassifier,0.0007907390594482422,0.0041778564453125,0.6856016447320795,0.6865612648221343,0.6932238556349227,0.6865612648221343,0.7142857142857143,0.6,0.8181818181818182,0.6923076923076923,0.4555973021063105,0.8181818181818182,0.6470588235294118
RandomForestClassifier,0.08873600959777832,0.016342782974243165,0.7533089310892515,0.758498023715415,0.79254262645567,0.758498023715415,0.8214285714285714,0.875,0.6363636363636364,0.7368421052631579,0.6243713415848884,0.6363636363636364,0.9411764705882353
BaggingClassifier,0.03123311996459961,0.025881242752075196,0.7123188405797102,0.7138339920948618,0.7196604383758534,0.7138339920948618,0.7857142857142857,0.7777777777777778,0.6363636363636364,0.7,0.5424414594840582,0.6363636363636364,0.8823529411764706
AdaBoostClassifier,0.28716530799865725,0.009002065658569336,0.7656332398849561,0.7679841897233202,0.7818593966420053,0.7679841897233202,0.8571428571428571,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7005347593582888,0.8181818181818182,0.8823529411764706
GradientBoostingClassifier,1.3159833431243897,0.0043335437774658205,0.6291879287760295,0.632411067193676,0.636503088479373,0.632411067193676,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
HistGradientBoostingClassifier,0.05623793601989746,0.005311059951782227,0.6943539084866316,0.6952569169960474,0.6955908123497057,0.6952569169960474,0.7857142857142857,0.7777777777777778,0.6363636363636364,0.7,0.5424414594840582,0.6363636363636364,0.8823529411764706
ExtraTrees-ensemble,0.06422767639160157,0.016251420974731444,0.794283832109919,0.7948616600790513,0.8008230680167439,0.7948616600790513,0.8214285714285714,0.875,0.6363636363636364,0.7368421052631579,0.6243713415848884,0.6363636363636364,0.9411764705882353
XGBClassifier,0.052637338638305664,0.00622105598449707,0.7303907716996962,0.7312252964426877,0.7329228522904412,0.7312252964426877,0.8571428571428571,0.8888888888888888,0.7272727272727273,0.8,0.6990224993351266,0.7272727272727273,0.9411764705882353
LGBMClassifier,0.04044079780578613,0.006732511520385742,0.7298471475130512,0.7304347826086957,0.7373522393285239,0.7304347826086957,0.7857142857142857,0.7777777777777778,0.6363636363636364,0.7,0.5424414594840582,0.6363636363636364,0.8823529411764706
