algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0033731937408447267,0.004514217376708984,0.8915445761967501,0.8928853754940711,0.9027970338839904,0.8928853754940711,0.75,0.6428571428571429,0.8181818181818182,0.72,0.5118906968889915,0.8181818181818182,0.7058823529411765
RidgeClassifier,0.0015859127044677735,0.0045302391052246095,0.9191868469694556,0.9197628458498024,0.9271210212712189,0.9197628458498024,0.6785714285714286,0.5714285714285714,0.7272727272727273,0.64,0.36563621206356534,0.7272727272727273,0.6470588235294118
LogisticRegression,0.01135721206665039,0.004596185684204101,0.8820397959528394,0.8837944664031621,0.9022623753058536,0.8837944664031621,0.7142857142857143,0.6,0.8181818181818182,0.6923076923076923,0.4555973021063105,0.8181818181818182,0.6470588235294118
SGDClassifier,0.0011439800262451171,0.003931236267089844,0.8562465154982318,0.8573122529644269,0.8679895949461167,0.8573122529644269,0.7142857142857143,0.6,0.8181818181818182,0.6923076923076923,0.4555973021063105,0.8181818181818182,0.6470588235294118
LinearDiscriminantAnalysis,0.003403043746948242,0.006186389923095703,0.6792782503936092,0.6873517786561264,0.7169280538302278,0.6873517786561264,0.6428571428571429,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.25133689839572193,0.5454545454545454,0.7058823529411765
QuadraticDiscriminantAnalysis,0.0026233673095703127,0.006452798843383789,0.7662567729753085,0.7683794466403162,0.7761989218510957,0.7683794466403162,0.6428571428571429,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.34759358288770054,0.8181818181818182,0.5294117647058824
SVC,0.0015494346618652344,0.0065592765808105465,0.8244227579860073,0.8304347826086957,0.8652147894731016,0.8304347826086957,0.6428571428571429,0.5238095238095238,1.0,0.6875,0.464420364012824,1.0,0.4117647058823529
KNeighborsClassifier,0.0005976200103759765,0.0058838844299316405,0.8459245163684523,0.8470355731225295,0.855578216250153,0.8470355731225295,0.7857142857142857,0.6470588235294118,1.0,0.7857142857142857,0.6470588235294118,1.0,0.6470588235294118
GaussianNB,0.0008013248443603516,0.0042438507080078125,0.7806481339172656,0.7849802371541502,0.8061627304210424,0.7849802371541502,0.5714285714285714,0.47368421052631576,0.8181818181818182,0.6,0.24046373977128355,0.8181818181818182,0.4117647058823529
DecisionTreeClassifier,0.0036799430847167967,0.004254865646362305,0.8200917963297826,0.8217391304347826,0.8346187628796325,0.8217391304347826,0.7857142857142857,0.6923076923076923,0.8181818181818182,0.75,0.5708058152826189,0.8181818181818182,0.7647058823529411
ExtraTreeClassifier,0.000689554214477539,0.004204654693603515,0.847364953886693,0.8474308300395258,0.8546219261634281,0.8474308300395258,0.7857142857142857,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5508021390374331,0.7272727272727273,0.8235294117647058
RandomForestClassifier,0.08713922500610352,0.01602935791015625,0.8736446556240607,0.8754940711462451,0.8933625070581593,0.8754940711462451,0.7142857142857143,0.6,0.8181818181818182,0.6923076923076923,0.4555973021063105,0.8181818181818182,0.6470588235294118
BaggingClassifier,0.019443559646606445,0.026445579528808594,0.8376660722953628,0.8391304347826086,0.8537008402225794,0.8391304347826086,0.8571428571428571,0.7333333333333333,1.0,0.8461538461538461,0.7488553356460046,1.0,0.7647058823529411
AdaBoostClassifier,0.08926849365234375,0.007649755477905274,0.7935493775902984,0.7952569169960475,0.8022344322344322,0.7952569169960475,0.7857142857142857,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.6022263188761575,0.9090909090909091,0.7058823529411765
GradientBoostingClassifier,0.3005973339080811,0.0038753509521484374,0.7833551370482317,0.7853754940711463,0.7909946092554788,0.7853754940711463,0.8571428571428571,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.7174348320524659,0.9090909090909091,0.8235294117647058
HistGradientBoostingClassifier,0.029685449600219727,0.005051660537719727,0.8400737282041628,0.8407114624505929,0.8469994037582971,0.8407114624505929,0.8214285714285714,0.6875,1.0,0.8148148148148148,0.696630546019236,1.0,0.7058823529411765
ExtraTrees-ensemble,0.06391139030456543,0.016108322143554687,0.9011822573561705,0.9023715415019764,0.9087643537841166,0.9023715415019764,0.75,0.6428571428571429,0.8181818181818182,0.72,0.5118906968889915,0.8181818181818182,0.7058823529411765
XGBClassifier,0.020711565017700197,0.005999708175659179,0.8095576348390994,0.8130434782608695,0.8317568421916249,0.8130434782608695,0.8928571428571429,0.7857142857142857,1.0,0.88,0.8043996665398437,1.0,0.8235294117647058
LGBMClassifier,0.018767309188842774,0.007198762893676758,0.874453087974827,0.8754940711462451,0.8834882289427745,0.8754940711462451,0.7857142857142857,0.6923076923076923,0.8181818181818182,0.75,0.5708058152826189,0.8181818181818182,0.7647058823529411
