algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0037053585052490234,0.004037094116210937,0.8651823538780061,0.86600790513834,0.8736011572968095,0.86600790513834,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
RidgeClassifier,0.0024295330047607424,0.005991363525390625,0.8650652535869927,0.865612648221344,0.869288006679311,0.865612648221344,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
LogisticRegression,0.011503791809082032,0.0051422119140625,0.8468490205446727,0.8478260869565218,0.8547977384933907,0.8478260869565218,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
SGDClassifier,0.0028667449951171875,0.004639053344726562,0.8136891369500064,0.8205533596837944,0.8468523122231563,0.8205533596837944,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
LinearDiscriminantAnalysis,0.009093618392944336,0.0068814754486083984,0.6319038208168642,0.6335968379446639,0.6370159791898922,0.6335968379446639,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143
QuadraticDiscriminantAnalysis,0.005875349044799805,0.00686798095703125,0.6954265010351967,0.6964426877470355,0.6990618560183778,0.6964426877470355,0.6428571428571429,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.28867513459481287,0.5714285714285714,0.7142857142857143
SVC,0.002246189117431641,0.007239007949829101,0.8266386387576319,0.8300395256916996,0.8530914737436476,0.8300395256916996,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
KNeighborsClassifier,0.0005719184875488282,0.0045299530029296875,0.8833293518076127,0.8837944664031621,0.8909470239905023,0.8837944664031621,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
GaussianNB,0.000994253158569336,0.0044730186462402345,0.6543715559802517,0.6604743083003952,0.6695081488559749,0.6604743083003952,0.75,0.8181818181818182,0.6428571428571429,0.72,0.5118906968889915,0.6428571428571429,0.8571428571428571
DecisionTreeClassifier,0.009711837768554688,0.004420566558837891,0.8194658385093166,0.8205533596837945,0.83481817699209,0.8205533596837945,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
ExtraTreeClassifier,0.0008069038391113281,0.004318094253540039,0.7482763430314918,0.750197628458498,0.7564536550406116,0.750197628458498,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.6428571428571429
RandomForestClassifier,0.09323077201843262,0.016542768478393553,0.8551166948993035,0.8557312252964426,0.86113999527043,0.8557312252964426,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
BaggingClassifier,0.027101421356201173,0.02560577392578125,0.8381176756119547,0.8391304347826087,0.8470353921440876,0.8391304347826087,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
AdaBoostClassifier,0.23707222938537598,0.009319877624511719,0.8013302639389595,0.8039525691699605,0.8127081372733546,0.8039525691699605,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
GradientBoostingClassifier,0.9596637725830078,0.00446934700012207,0.8386249219887665,0.8399209486166008,0.8527656039612562,0.8399209486166008,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
HistGradientBoostingClassifier,0.055252885818481444,0.005411863327026367,0.7847856201769245,0.7853754940711463,0.7932930113364896,0.7853754940711463,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
ExtraTrees-ensemble,0.06488494873046875,0.016159915924072267,0.8562269614443527,0.8565217391304347,0.8601195181629965,0.8565217391304347,0.8214285714285714,1.0,0.6428571428571429,0.782608695652174,0.6882472016116853,0.6428571428571429,1.0
XGBClassifier,0.04374451637268066,0.006133890151977539,0.8381840767927725,0.8383399209486166,0.8394142089794263,0.8383399209486166,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
LGBMClassifier,0.038004827499389646,0.007794475555419922,0.8028345567476002,0.8035573122529645,0.8108409706235793,0.8035573122529645,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
