algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.005440139770507812,0.00443577766418457,0.8910063889835058,0.8936758893280633,0.9099116101290015,0.8936758893280633,0.8571428571428571,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7005347593582888,0.8181818181818182,0.8823529411764706
RidgeClassifier,0.002258586883544922,0.004289817810058594,0.9375290308471087,0.9383399209486166,0.9460417843026538,0.9383399209486166,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
LogisticRegression,0.017522239685058595,0.004052448272705078,0.946392225623347,0.9470355731225297,0.9529218607479478,0.9470355731225297,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
SGDClassifier,0.004283285140991211,0.003717327117919922,0.880198662004154,0.8841897233201582,0.8946148778757473,0.8841897233201582,0.7142857142857143,1.0,0.2727272727272727,0.42857142857142855,0.43064433753916403,0.2727272727272727,1.0
LinearDiscriminantAnalysis,0.016399145126342773,0.006514978408813476,0.7293393684881099,0.7316205533596838,0.7365077456579433,0.7316205533596838,0.5357142857142857,0.4375,0.6363636363636364,0.5185185185185185,0.10555008273018728,0.6363636363636364,0.47058823529411764
QuadraticDiscriminantAnalysis,0.010442066192626952,0.0066301822662353516,0.8070770221048023,0.8126482213438736,0.8441106038036985,0.8126482213438736,0.7857142857142857,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.6022263188761575,0.9090909090909091,0.7058823529411765
SVC,0.0039347648620605465,0.007874584197998047,0.6811590580913983,0.7150197628458498,0.8172916811131914,0.7150197628458498,0.6785714285714286,0.55,1.0,0.7096774193548387,0.5087470190691683,1.0,0.47058823529411764
KNeighborsClassifier,0.0006115436553955078,0.0050143241882324215,0.8622416514999636,0.866798418972332,0.8901637492941841,0.866798418972332,0.7857142857142857,0.6923076923076923,0.8181818181818182,0.75,0.5708058152826189,0.8181818181818182,0.7647058823529411
GaussianNB,0.0010674476623535156,0.0036778926849365236,0.8967032749858838,0.901185770750988,0.920905335074133,0.901185770750988,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
DecisionTreeClassifier,0.024672460556030274,0.003748464584350586,0.8747492446531346,0.8754940711462451,0.8826839848776608,0.8754940711462451,0.9642857142857143,0.9166666666666666,1.0,0.9565217391304348,0.928840728025648,1.0,0.9411764705882353
ExtraTreeClassifier,0.0007608413696289062,0.0035945415496826173,0.8200687159268394,0.8217391304347826,0.8269150919348547,0.8217391304347826,0.8214285714285714,0.7142857142857143,0.9090909090909091,0.8,0.6581451817144176,0.9090909090909091,0.7647058823529411
RandomForestClassifier,0.09168858528137207,0.01802654266357422,0.9184790759710669,0.9197628458498024,0.9280300858561729,0.9197628458498024,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
BaggingClassifier,0.03995351791381836,0.021561717987060545,0.9097994421037899,0.9106719367588934,0.9162853812853813,0.9106719367588934,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
AdaBoostClassifier,0.5317522048950195,0.008041572570800782,0.9005421235261053,0.9023715415019762,0.9153970425709556,0.9023715415019762,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
GradientBoostingClassifier,2.328686809539795,0.003787851333618164,0.8375431860283118,0.8391304347826087,0.8499458896395655,0.8391304347826087,0.9642857142857143,0.9166666666666666,1.0,0.9565217391304348,0.928840728025648,1.0,0.9411764705882353
HistGradientBoostingClassifier,0.13775167465209961,0.005501317977905274,0.9095772866848382,0.9110671936758894,0.9210917343526038,0.9110671936758894,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
ExtraTrees-ensemble,0.0630690574645996,0.016010570526123046,0.9280314854227898,0.9288537549407113,0.9329616036137776,0.9288537549407113,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
XGBClassifier,0.09543123245239257,0.0060154438018798825,0.8924602740254913,0.8932806324110671,0.895840463883942,0.8932806324110671,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
LGBMClassifier,0.07293577194213867,0.007877540588378907,0.8646015007113406,0.866403162055336,0.8757906849408826,0.866403162055336,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
