algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.006895637512207032,0.00453038215637207,0.8646262191914366,0.866798418972332,0.8806722263244003,0.866798418972332,0.8928571428571429,0.8461538461538461,0.9166666666666666,0.88,0.7855533190649869,0.9166666666666666,0.875
RidgeClassifier,0.0029476165771484377,0.005594205856323242,0.8999385879820663,0.9015810276679842,0.9200617037771188,0.9015810276679842,0.8928571428571429,0.8461538461538461,0.9166666666666666,0.88,0.7855533190649869,0.9166666666666666,0.875
LogisticRegression,0.023610544204711915,0.0072896480560302734,0.889615142364503,0.892490118577075,0.9154783704437854,0.892490118577075,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
SGDClassifier,0.0035869121551513673,0.003736448287963867,0.8709014304471298,0.874308300395257,0.9035457839262188,0.874308300395257,0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.928840728025648,0.9166666666666666,1.0
LinearDiscriminantAnalysis,0.015372133255004883,0.006273460388183594,0.7488462427478446,0.7509881422924902,0.761991317860883,0.7509881422924902,0.6785714285714286,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.40109031437471165,0.8333333333333334,0.5625
QuadraticDiscriminantAnalysis,0.010390949249267579,0.006718921661376953,0.7231008302108046,0.7316205533596838,0.7609180312441184,0.7316205533596838,0.6071428571428571,0.5454545454545454,0.5,0.5217391304347826,0.1899901489143371,0.5,0.6875
SVC,0.0032332897186279296,0.00756382942199707,0.7746368931261779,0.7853754940711463,0.8267096714027661,0.7853754940711463,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
KNeighborsClassifier,0.000583648681640625,0.004401063919067383,0.7856495579380731,0.7948616600790513,0.8336498145929092,0.7948616600790513,0.8214285714285714,0.7058823529411765,1.0,0.8275862068965517,0.696630546019236,1.0,0.6875
GaussianNB,0.0010561943054199219,0.0037471771240234373,0.873324714949429,0.8743083003952569,0.8850033661990183,0.8743083003952569,0.9642857142857143,0.9230769230769231,1.0,0.96,0.9302605094190635,1.0,0.9375
DecisionTreeClassifier,0.02229733467102051,0.0038982391357421874,0.8475177624308058,0.84901185770751,0.8650045606567346,0.84901185770751,0.9285714285714286,0.8571428571428571,1.0,0.9230769230769231,0.8660254037844387,1.0,0.875
ExtraTreeClassifier,0.0008143901824951172,0.0036951541900634766,0.9194455110107285,0.9197628458498024,0.9240925521557932,0.9197628458498024,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
RandomForestClassifier,0.09362325668334961,0.01642146110534668,0.9181243876896051,0.9193675889328062,0.9313732183495029,0.9193675889328062,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
BaggingClassifier,0.05389423370361328,0.026898574829101563,0.910520421607378,0.9106719367588934,0.9161964122833688,0.9106719367588934,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
AdaBoostClassifier,0.6343532562255859,0.009385967254638672,0.8893319038638733,0.8920948616600789,0.9166951707712577,0.8920948616600789,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
GradientBoostingClassifier,2.416939401626587,0.004292535781860352,0.8749760765550239,0.875889328063241,0.8903243133677916,0.875889328063241,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
HistGradientBoostingClassifier,0.1424170970916748,0.005503082275390625,0.9376113017417366,0.9379446640316205,0.9440527851595044,0.9379446640316205,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
ExtraTrees-ensemble,0.0715550422668457,0.016159868240356444,0.9460276679841897,0.9462450592885375,0.9533018694085887,0.9462450592885375,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
XGBClassifier,0.10086231231689453,0.006741809844970703,0.8926156597026162,0.8928853754940711,0.8996356542008715,0.8928853754940711,0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.928840728025648,0.9166666666666666,1.0
LGBMClassifier,0.06988058090209961,0.0070270061492919925,0.8924126430396452,0.8932806324110671,0.9076713865844301,0.8932806324110671,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
