algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.0063757419586181,0.0056459426879882,0.7889974186777116,0.7956521739130434,0.8227613307408703,0.7956521739130434,0.6071428571428571,0.5,0.9090909090909092,0.6451612903225806,0.3468729675471602,0.9090909090909092,0.4117647058823529,plusrnn,Embedding-based
RidgeClassifier,0.0029177665710449,0.005906867980957,0.9002553071283721,0.9019762845849802,0.9158902691511388,0.9019762845849802,0.7142857142857143,0.5882352941176471,0.9090909090909092,0.7142857142857143,0.4973262032085561,0.9090909090909092,0.5882352941176471,plusrnn,Embedding-based
LogisticRegression,0.011505651473999,0.0046169757843017,0.7801761745623499,0.7865612648221345,0.8098392528187924,0.7865612648221345,0.6428571428571429,0.5263157894736842,0.9090909090909092,0.6666666666666666,0.3970447796223519,0.9090909090909092,0.4705882352941176,plusrnn,Embedding-based
SGDClassifier,0.003810167312622,0.003922414779663,0.8818177957308393,0.8841897233201582,0.9032869304608436,0.8841897233201582,0.8928571428571429,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.7810706122033858,0.9090909090909092,0.8823529411764706,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0147799968719482,0.0069034099578857,0.7616281363761044,0.7683794466403162,0.7862807553344637,0.7683794466403162,0.6785714285714286,0.5625,0.8181818181818182,0.6666666666666666,0.4010903143747116,0.8181818181818182,0.5882352941176471,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0359136581420898,0.0114151954650878,0.7259632034632035,0.7316205533596838,0.7646947604050602,0.7316205533596838,0.8928571428571429,0.7857142857142857,1.0,0.88,0.8043996665398437,1.0,0.8235294117647058,plusrnn,Embedding-based
SVC,0.003014850616455,0.0075426578521728,0.8717940442131287,0.8754940711462451,0.8978048344742137,0.8754940711462451,0.7142857142857143,0.5882352941176471,0.9090909090909092,0.7142857142857143,0.4973262032085561,0.9090909090909092,0.5882352941176471,plusrnn,Embedding-based
KNeighborsClassifier,0.0006392478942871,0.0050868034362792,0.8911494970831356,0.8920948616600791,0.8975627029974855,0.8920948616600791,0.7857142857142857,0.6470588235294118,1.0,0.7857142857142857,0.6470588235294118,1.0,0.6470588235294118,plusrnn,Embedding-based
GaussianNB,0.0010474681854248,0.0036660194396972,0.7935097922821708,0.7960474308300396,0.8044130507173985,0.7960474308300396,0.5714285714285714,0.4736842105263157,0.8181818181818182,0.6,0.2404637397712835,0.8181818181818182,0.4117647058823529,plusrnn,Embedding-based
DecisionTreeClassifier,0.021365737915039,0.004788589477539,0.7959435347261434,0.7968379446640317,0.8007549236007735,0.7968379446640317,0.75,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.4855303805588614,0.7272727272727273,0.7647058823529411,plusrnn,Embedding-based
