algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003397083282470703,0.004177999496459961,0.7831623540456494,0.7853754940711463,0.7950360026446983,0.7853754940711463,0.6428571428571429,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.28867513459481287,0.5714285714285714,0.7142857142857143
RidgeClassifier,0.001697683334350586,0.004070377349853516,0.7840274599542334,0.7853754940711463,0.7952471200297287,0.7853754940711463,0.6428571428571429,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.28867513459481287,0.5714285714285714,0.7142857142857143
LogisticRegression,0.011405611038208007,0.004648637771606445,0.7831623540456494,0.7853754940711463,0.7950360026446983,0.7853754940711463,0.6428571428571429,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.28867513459481287,0.5714285714285714,0.7142857142857143
SGDClassifier,0.002820587158203125,0.003954935073852539,0.7464505634208151,0.750197628458498,0.7705175983436854,0.750197628458498,0.75,1.0,0.5,0.6666666666666666,0.5773502691896257,0.5,1.0
LinearDiscriminantAnalysis,0.009142684936523437,0.006943511962890625,0.7582526804494767,0.7596837944664033,0.7659116246072768,0.7596837944664033,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
QuadraticDiscriminantAnalysis,0.006102466583251953,0.007053279876708984,0.6501886839385738,0.6612648221343873,0.6803949712549457,0.6612648221343873,0.6785714285714286,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.36563621206356534,0.7857142857142857,0.5714285714285714
SVC,0.0029895782470703127,0.008169317245483398,0.607744059637585,0.6640316205533596,0.6219002725902538,0.6640316205533596,0.7142857142857143,0.8,0.5714285714285714,0.6666666666666666,0.4472135954999579,0.5714285714285714,0.8571428571428571
KNeighborsClassifier,0.0008456707000732422,0.006619071960449219,0.8827364062329737,0.883399209486166,0.89178314439184,0.883399209486166,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
GaussianNB,0.0011270999908447265,0.004601526260375977,0.8735663573649844,0.8747035573122529,0.8835935441370225,0.8747035573122529,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
DecisionTreeClassifier,0.01315608024597168,0.004508256912231445,0.7678806700545832,0.7687747035573123,0.7759597166118906,0.7687747035573123,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
ExtraTreeClassifier,0.0007886409759521485,0.004287576675415039,0.8203826265267914,0.8217391304347826,0.8342567818654775,0.8217391304347826,0.8214285714285714,1.0,0.6428571428571429,0.782608695652174,0.6882472016116853,0.6428571428571429,1.0
RandomForestClassifier,0.10436458587646484,0.017138290405273437,0.9099508462551942,0.9106719367588934,0.9208047990656686,0.9106719367588934,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
BaggingClassifier,0.03115682601928711,0.025661134719848634,0.8385976898768661,0.8395256916996047,0.8495479158522636,0.8395256916996047,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
AdaBoostClassifier,0.2592783451080322,0.008163022994995116,0.8474436090225563,0.8486166007905138,0.8601505016722408,0.8486166007905138,0.75,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.5012804118276031,0.7142857142857143,0.7857142857142857
GradientBoostingClassifier,1.1773569583892822,0.003997135162353516,0.7667197257357441,0.7683794466403162,0.7771870520783564,0.7683794466403162,0.75,0.8181818181818182,0.6428571428571429,0.72,0.5118906968889915,0.6428571428571429,0.8571428571428571
HistGradientBoostingClassifier,0.05337057113647461,0.005374908447265625,0.8833715216895994,0.884189723320158,0.8934691395560961,0.884189723320158,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
ExtraTrees-ensemble,0.0662043571472168,0.01623530387878418,0.9195548654244308,0.9197628458498024,0.9231661092530657,0.9197628458498024,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
XGBClassifier,0.0489290714263916,0.006366729736328125,0.8740942390942392,0.8747035573122529,0.8806257993214516,0.8747035573122529,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
LGBMClassifier,0.03484010696411133,0.007563924789428711,0.9191829474872953,0.9193675889328062,0.9228336880510793,0.9193675889328062,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
