algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002861690521240234,0.004786300659179688,0.6577660717534859,0.6877470355731226,0.77876235869842,0.6877470355731226,0.7142857142857143,1.0,0.3333333333333333,0.5,0.47140452079103173,0.3333333333333333,1.0
RidgeClassifier,0.0014139175415039062,0.004387712478637696,0.708292970187707,0.7126482213438734,0.7293653809958158,0.7126482213438734,0.75,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.5488604301969738,0.9166666666666666,0.625
LogisticRegression,0.019596433639526366,0.005036735534667968,0.6851101072840203,0.6873517786561265,0.6963024656502916,0.6873517786561265,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
SGDClassifier,0.000979137420654297,0.004336357116699219,0.3437840590781767,0.509090909090909,0.2596931681482292,0.509090909090909,0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.0010954856872558594,0.004338359832763672,0.7529197252023339,0.7581027667984189,0.7862057834180595,0.7581027667984189,0.6428571428571429,0.5625,0.75,0.6428571428571429,0.3125,0.75,0.5625
QuadraticDiscriminantAnalysis,0.0009107589721679688,0.004369354248046875,0.7229056111630852,0.7418972332015811,0.8239266892527762,0.7418972332015811,0.75,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.4856618642571827,0.5833333333333334,0.875
SVC,0.0010847091674804688,0.004393434524536133,0.6334389883360135,0.6438735177865612,0.6629130268708274,0.6438735177865612,0.6785714285714286,0.5714285714285714,1.0,0.7272727272727273,0.5,1.0,0.4375
KNeighborsClassifier,0.0013035297393798827,0.007251548767089844,0.6348157842167803,0.642292490118577,0.6459511020380585,0.642292490118577,0.7142857142857143,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.4948812053487255,0.9166666666666666,0.5625
GaussianNB,0.0007926464080810547,0.004501962661743164,0.7022382482336715,0.7047430830039525,0.7175503482025222,0.7047430830039525,0.8214285714285714,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6615185844757785,0.9166666666666666,0.75
DecisionTreeClassifier,0.001466846466064453,0.004425191879272461,0.6494330490257264,0.6521739130434782,0.66173652434522,0.6521739130434782,0.7857142857142857,0.6875,0.9166666666666666,0.7857142857142857,0.6041666666666666,0.9166666666666666,0.6875
ExtraTreeClassifier,0.0007052898406982421,0.004352188110351563,0.6814725257692009,0.6865612648221344,0.6945419495962973,0.6865612648221344,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143,0.4583333333333333,0.8333333333333334,0.625
RandomForestClassifier,0.09403538703918457,0.01698331832885742,0.8255864026492643,0.8300395256916996,0.8631923330292895,0.8300395256916996,0.8928571428571429,0.8461538461538461,0.9166666666666666,0.88,0.7855533190649869,0.9166666666666666,0.875
BaggingClassifier,0.012285232543945312,0.021120357513427734,0.790316021803436,0.7944664031620554,0.8242438358742706,0.7944664031620554,0.8214285714285714,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6615185844757785,0.9166666666666666,0.75
AdaBoostClassifier,0.0613551139831543,0.008896255493164062,0.8093255044661694,0.8118577075098814,0.8272611989459815,0.8118577075098814,0.7142857142857143,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.4948812053487255,0.9166666666666666,0.5625
GradientBoostingClassifier,0.12420902252197266,0.0044648170471191405,0.7587588822971132,0.7675889328063241,0.8005841018884498,0.7675889328063241,0.7142857142857143,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.4948812053487255,0.9166666666666666,0.5625
HistGradientBoostingClassifier,0.022777605056762695,0.004785680770874023,0.8100979494125274,0.8134387351778656,0.8374566556631773,0.8134387351778656,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
ExtraTrees-ensemble,0.06598048210144043,0.016321659088134766,0.8470087715488173,0.8490118577075098,0.868122457252892,0.8490118577075098,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
XGBClassifier,0.01778120994567871,0.005634021759033203,0.8069912478825522,0.8122529644268776,0.8418886995357584,0.8122529644268776,0.75,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.5488604301969738,0.9166666666666666,0.625
LGBMClassifier,0.016944313049316408,0.0067108154296875,0.8019143368708587,0.8039525691699605,0.8200616774529819,0.8039525691699605,0.7142857142857143,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.4948812053487255,0.9166666666666666,0.5625
