algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0060422420501708984,0.00562739372253418,0.7534176783766231,0.758893280632411,0.7807100508187466,0.758893280632411,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
RidgeClassifier,0.0030435562133789063,0.006252813339233399,0.7733768809375217,0.7770750988142293,0.7989404436143567,0.7770750988142293,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7216878364870323,0.9166666666666666,0.8125
LogisticRegression,0.011640453338623047,0.005158901214599609,0.7275672816337778,0.732411067193676,0.7527654833089616,0.732411067193676,0.8571428571428571,0.75,1.0,0.8571428571428571,0.75,1.0,0.75
SGDClassifier,0.0032643795013427733,0.004638862609863281,0.6963635836986025,0.7320158102766798,0.8275689769168031,0.7320158102766798,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.875
LinearDiscriminantAnalysis,0.013812685012817382,0.007231712341308594,0.6357588338435021,0.6422924901185771,0.6491259947781687,0.6422924901185771,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.16666666666666666,0.6666666666666666,0.5
QuadraticDiscriminantAnalysis,0.018482303619384764,0.007522106170654297,0.575427677188258,0.6347826086956522,0.7952452730971038,0.6347826086956522,0.6785714285714286,1.0,0.25,0.4,0.4,0.25,1.0
SVC,0.0036965370178222655,0.00829453468322754,0.7607608850171779,0.7679841897233202,0.8083386179038353,0.7679841897233202,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.875
KNeighborsClassifier,0.00060577392578125,0.004759740829467773,0.7278883704159116,0.7395256916996047,0.7900040780475562,0.7395256916996047,0.7142857142857143,0.75,0.5,0.6,0.41079191812887456,0.5,0.875
GaussianNB,0.0012163162231445313,0.004644441604614258,0.41332290897508284,0.5268774703557312,0.6281915262464463,0.5268774703557312,0.6071428571428571,1.0,0.08333333333333333,0.15384615384615385,0.2222222222222222,0.08333333333333333,1.0
DecisionTreeClassifier,0.012537956237792969,0.004519414901733398,0.6545239911372635,0.6604743083003952,0.6732644167426776,0.6604743083003952,0.6428571428571429,0.5625,0.75,0.6428571428571429,0.3125,0.75,0.5625
ExtraTreeClassifier,0.000880289077758789,0.004394149780273438,0.7045820083806353,0.7063241106719367,0.7155256239149519,0.7063241106719367,0.75,0.631578947368421,1.0,0.7741935483870968,0.5960395606792697,1.0,0.5625
RandomForestClassifier,0.08976602554321289,0.016426753997802735,0.7753232274971406,0.7774703557312254,0.7897580680189376,0.7774703557312254,0.75,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.516811394121702,0.8333333333333334,0.6875
BaggingClassifier,0.02838892936706543,0.018109941482543947,0.7112283079239601,0.7150197628458498,0.7240204964118007,0.7150197628458498,0.8214285714285714,0.8181818181818182,0.75,0.782608695652174,0.6333004963811236,0.75,0.875
AdaBoostClassifier,0.18637423515319823,0.008240509033203124,0.6679823075475249,0.6715415019762846,0.6854552693683129,0.6715415019762846,0.75,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.516811394121702,0.8333333333333334,0.6875
GradientBoostingClassifier,0.8220053672790527,0.003964567184448242,0.6963655185394316,0.6968379446640316,0.699560318908145,0.6968379446640316,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.48553038055886144,0.6666666666666666,0.8125
HistGradientBoostingClassifier,0.09435100555419922,0.005753469467163086,0.676315105946685,0.6794466403162055,0.6911113041547823,0.6794466403162055,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143,0.4583333333333333,0.8333333333333334,0.625
ExtraTrees-ensemble,0.06784086227416992,0.0241790771484375,0.7646110830435774,0.767588932806324,0.7938587258152474,0.767588932806324,0.7857142857142857,0.6875,0.9166666666666666,0.7857142857142857,0.6041666666666666,0.9166666666666666,0.6875
XGBClassifier,0.06966586112976074,0.007029199600219726,0.7209153318077803,0.7233201581027668,0.7373759573759574,0.7233201581027668,0.75,0.6923076923076923,0.75,0.72,0.49613893835683387,0.75,0.75
LGBMClassifier,0.03882436752319336,0.0066185474395751955,0.6654626830073054,0.6703557312252963,0.692596726944553,0.6703557312252963,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8333333333333334,0.75
