algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004121160507202149,0.004943323135375976,0.8020605862482292,0.8031620553359684,0.8120570251005035,0.8031620553359684,0.6785714285714286,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.35805743701971643,0.6428571428571429,0.7142857142857143
RidgeClassifier,0.002527618408203125,0.006069183349609375,0.7831578947368422,0.7849802371541502,0.7960741191175973,0.7849802371541502,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
LogisticRegression,0.011447715759277343,0.004767131805419922,0.7933649340743162,0.7944664031620554,0.8027684875510962,0.7944664031620554,0.6785714285714286,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.35805743701971643,0.6428571428571429,0.7142857142857143
SGDClassifier,0.002808284759521484,0.004278326034545898,0.6719779241313769,0.7114624505928853,0.6760244465679247,0.7114624505928853,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
LinearDiscriminantAnalysis,0.009117889404296874,0.007067632675170898,0.7845165614959665,0.7861660079051384,0.7942132022566805,0.7861660079051384,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
QuadraticDiscriminantAnalysis,0.006030750274658203,0.0070136070251464845,0.6626293995859214,0.6687747035573122,0.6813070603735565,0.6687747035573122,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
SVC,0.0030735492706298827,0.007972621917724609,0.8101754385964913,0.8122529644268776,0.8267975623410406,0.8122529644268776,0.6785714285714286,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.35805743701971643,0.6428571428571429,0.7142857142857143
KNeighborsClassifier,0.0006461620330810546,0.005595588684082031,0.9008881987577639,0.901185770750988,0.9058639910813824,0.901185770750988,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
GaussianNB,0.0008337497711181641,0.0036629676818847657,0.8645217391304347,0.8652173913043478,0.8715023141110099,0.8652173913043478,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
DecisionTreeClassifier,0.010736179351806641,0.0036860942840576173,0.881754980336216,0.88300395256917,0.893720470350905,0.88300395256917,0.75,0.8181818181818182,0.6428571428571429,0.72,0.5118906968889915,0.6428571428571429,0.8571428571428571
ExtraTreeClassifier,0.0006794929504394531,0.0036942005157470704,0.7941906644080559,0.7948616600790513,0.7990461470896253,0.7948616600790513,0.7142857142857143,0.75,0.6428571428571429,0.6923076923076923,0.43301270189221935,0.6428571428571429,0.7857142857142857
RandomForestClassifier,0.09152460098266602,0.01639246940612793,0.9191170713344627,0.9193675889328062,0.9255092733353603,0.9193675889328062,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
BaggingClassifier,0.031194353103637697,0.025696229934692384,0.8753623188405797,0.8754940711462451,0.8780566534914362,0.8754940711462451,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
AdaBoostClassifier,0.2899932384490967,0.009250736236572266,0.8824469275956691,0.883399209486166,0.8925560912517433,0.883399209486166,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
GradientBoostingClassifier,1.2667924880981445,0.0044438838958740234,0.8307819548872182,0.8316205533596838,0.8409248963596788,0.8316205533596838,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
HistGradientBoostingClassifier,0.05558333396911621,0.005246210098266602,0.8565446125194409,0.8573122529644269,0.8664218390305347,0.8573122529644269,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
ExtraTrees-ensemble,0.06668095588684082,0.01630854606628418,0.9191170713344627,0.9193675889328062,0.9255092733353603,0.9193675889328062,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
XGBClassifier,0.04544539451599121,0.0060634613037109375,0.8827950142915817,0.8841897233201582,0.900672877846791,0.8841897233201582,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
LGBMClassifier,0.03340907096862793,0.006990242004394531,0.8661387163561077,0.866403162055336,0.8710053714401541,0.866403162055336,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
