algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.19834284782409667,0.05324478149414062,0.71418106800996,0.7422924901185771,0.8303851154566259,0.7422924901185771,0.6071428571428571,1.0,0.35294117647058826,0.5217391304347826,0.420084025208403,0.35294117647058826,1.0
RidgeClassifier,0.06984705924987793,0.00790104866027832,0.7825558133952559,0.7956521739130435,0.8469369555602559,0.7956521739130435,0.8214285714285714,1.0,0.7058823529411765,0.8275862068965517,0.696630546019236,0.7058823529411765,1.0
LogisticRegression,0.21113314628601074,0.017795276641845704,0.7583885491647739,0.7782608695652173,0.8487754843980447,0.7782608695652173,0.7142857142857143,1.0,0.5294117647058824,0.6923076923076923,0.5536258194734203,0.5294117647058824,1.0
SGDClassifier,0.09464793205261231,0.01000981330871582,0.91870911188989,0.9193675889328062,0.9264237212063298,0.9193675889328062,0.8928571428571429,1.0,0.8235294117647058,0.9032258064516129,0.8043996665398437,0.8235294117647058,1.0
LinearDiscriminantAnalysis,0.7470746517181397,0.00864238739013672,0.7680540345648208,0.7853754940711462,0.8512281087804375,0.7853754940711462,0.8214285714285714,1.0,0.7058823529411765,0.8275862068965517,0.696630546019236,0.7058823529411765,1.0
QuadraticDiscriminantAnalysis,0.2984959602355957,0.023406791687011718,0.5476754056029124,0.5731225296442688,0.6151933440320169,0.5731225296442688,0.5,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.015710251796769326,0.47058823529411764,0.5454545454545454
SVC,0.10640745162963867,0.09778165817260742,0.7496795972979273,0.7691699604743082,0.8343707224932828,0.7691699604743082,0.6428571428571429,1.0,0.4117647058823529,0.5833333333333334,0.464420364012824,0.4117647058823529,1.0
KNeighborsClassifier,0.009704303741455079,0.019461584091186524,0.8463542254846603,0.8474308300395258,0.8667866915693002,0.8474308300395258,0.8571428571428571,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7005347593582888,0.8823529411764706,0.8181818181818182
GaussianNB,0.0375971794128418,0.010196828842163086,0.8555561829474871,0.8565217391304347,0.8692584227366836,0.8565217391304347,0.8571428571428571,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7005347593582888,0.8823529411764706,0.8181818181818182
DecisionTreeClassifier,0.06407127380371094,0.004692363739013672,0.8451608142683658,0.8474308300395256,0.8621909129517824,0.8474308300395256,0.8928571428571429,1.0,0.8235294117647058,0.9032258064516129,0.8043996665398437,0.8235294117647058,1.0
ExtraTreeClassifier,0.011835622787475585,0.004557466506958008,0.793470887109331,0.8035573122529645,0.8398376623376624,0.8035573122529645,0.7142857142857143,1.0,0.5294117647058824,0.6923076923076923,0.5536258194734203,0.5294117647058824,1.0
RandomForestClassifier,0.11176271438598633,0.021263599395751953,0.7583885491647739,0.7782608695652173,0.8487754843980447,0.7782608695652173,0.7142857142857143,1.0,0.5294117647058824,0.6923076923076923,0.5536258194734203,0.5294117647058824,1.0
BaggingClassifier,0.3277022361755371,0.160782527923584,0.8439618693327132,0.8478260869565217,0.8735530773574253,0.8478260869565217,0.75,1.0,0.5882352941176471,0.7407407407407407,0.5995641118204179,0.5882352941176471,1.0
AdaBoostClassifier,1.7448611736297608,0.048629236221313474,0.8632823665169876,0.8660079051383398,0.8866702379745858,0.8660079051383398,0.8928571428571429,1.0,0.8235294117647058,0.9032258064516129,0.8043996665398437,0.8235294117647058,1.0
GradientBoostingClassifier,5.142494773864746,0.005631446838378906,0.8724098225700055,0.8747035573122529,0.8919833427442123,0.8747035573122529,0.8214285714285714,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.6581451817144176,0.7647058823529411,0.9090909090909091
HistGradientBoostingClassifier,11.569350481033325,0.005409336090087891,0.8346516203169857,0.8383399209486166,0.8540805571240353,0.8383399209486166,0.75,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.5488604301969738,0.6470588235294118,0.9090909090909091
ExtraTrees-ensemble,0.09860463142395019,0.017647933959960938,0.761140560364781,0.7778656126482213,0.838032049724404,0.7778656126482213,0.7142857142857143,1.0,0.5294117647058824,0.6923076923076923,0.5536258194734203,0.5294117647058824,1.0
XGBClassifier,0.9851045608520508,0.02419767379760742,0.8658621617385919,0.866798418972332,0.8730065103978148,0.866798418972332,0.8571428571428571,1.0,0.7647058823529411,0.8666666666666667,0.7488553356460046,0.7647058823529411,1.0
LGBMClassifier,0.11505398750305176,0.007683944702148437,0.8421588059809754,0.8478260869565217,0.8767725851869074,0.8478260869565217,0.6428571428571429,1.0,0.4117647058823529,0.5833333333333334,0.464420364012824,0.4117647058823529,1.0
