algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.06621952056884765,0.01971430778503418,0.680106586317231,0.7055335968379447,0.7952532215992978,0.7055335968379447,0.75,1.0,0.4166666666666667,0.5882352941176471,0.5383819020581655,0.4166666666666667,1.0
RidgeClassifier,0.023006248474121093,0.0068800926208496095,0.7774750946445657,0.7853754940711463,0.8295263985801071,0.7853754940711463,0.7857142857142857,0.8,0.6666666666666666,0.7272727272727273,0.5594309277855158,0.6666666666666666,0.875
LogisticRegression,0.16063170433044432,0.0067635059356689455,0.7789670436352358,0.7857707509881422,0.8310636656608523,0.7857707509881422,0.8214285714285714,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.6401906392481045,0.6666666666666666,0.9375
SGDClassifier,0.0332087516784668,0.0072021007537841795,0.7918110874632613,0.7936758893280633,0.8025420495183342,0.7936758893280633,0.8571428571428571,0.75,1.0,0.8571428571428571,0.75,1.0,0.75
LinearDiscriminantAnalysis,0.20517783164978026,0.009500217437744141,0.6481353878768067,0.6509881422924901,0.6532287760548631,0.6509881422924901,0.75,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.5488604301969738,0.9166666666666666,0.625
QuadraticDiscriminantAnalysis,0.09562387466430664,0.013970375061035156,0.585615491553608,0.6434782608695653,0.7973657794023927,0.6434782608695653,0.6428571428571429,1.0,0.16666666666666666,0.2857142857142857,0.32025630761017426,0.16666666666666666,1.0
SVC,0.035589981079101565,0.043832254409790036,0.8009683032451911,0.8031620553359684,0.821475229864558,0.8031620553359684,0.7857142857142857,0.8,0.6666666666666666,0.7272727272727273,0.5594309277855158,0.6666666666666666,0.875
KNeighborsClassifier,0.0023163795471191407,0.02989683151245117,0.6199833800994512,0.6612648221343873,0.8015968610591037,0.6612648221343873,0.6428571428571429,1.0,0.16666666666666666,0.2857142857142857,0.32025630761017426,0.16666666666666666,1.0
GaussianNB,0.01610565185546875,0.006677055358886718,0.7753364255881418,0.7762845849802371,0.7788787299656865,0.7762845849802371,0.75,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.5488604301969738,0.9166666666666666,0.625
DecisionTreeClassifier,0.022707176208496094,0.0040969371795654295,0.6832862789384528,0.6865612648221344,0.7062565788083109,0.6865612648221344,0.7857142857142857,1.0,0.5,0.6666666666666666,0.6030226891555273,0.5,1.0
ExtraTreeClassifier,0.004893827438354492,0.0040531158447265625,0.7825765630250756,0.7845849802371541,0.7987221737419367,0.7845849802371541,0.8214285714285714,0.8181818181818182,0.75,0.782608695652174,0.6333004963811236,0.75,0.875
RandomForestClassifier,0.09645500183105468,0.017238330841064454,0.7257665884839798,0.7411067193675889,0.8002656508027352,0.7411067193675889,0.7857142857142857,1.0,0.5,0.6666666666666666,0.6030226891555273,0.5,1.0
BaggingClassifier,0.19518632888793946,0.14176630973815918,0.7167426573124652,0.7324110671936758,0.8133226446046139,0.7324110671936758,0.6428571428571429,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.251259453814803,0.3333333333333333,0.875
AdaBoostClassifier,0.5031246185302735,0.023231124877929686,0.7912224960394296,0.7948616600790513,0.8141835941835941,0.7948616600790513,0.6071428571428571,0.5384615384615384,0.5833333333333334,0.56,0.20672455764868078,0.5833333333333334,0.625
GradientBoostingClassifier,1.426093626022339,0.00435481071472168,0.8181250447154337,0.8213438735177865,0.8509683794466403,0.8213438735177865,0.75,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.4856618642571827,0.5833333333333334,0.875
HistGradientBoostingClassifier,4.589924573898315,0.006164646148681641,0.6910124762939407,0.6960474308300395,0.7113501616960115,0.6960474308300395,0.75,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.4856618642571827,0.5833333333333334,0.875
ExtraTrees-ensemble,0.07770810127258301,0.016787242889404298,0.7857066808096558,0.7932806324110672,0.8238927717636159,0.7932806324110672,0.7142857142857143,0.7,0.5833333333333334,0.6363636363636364,0.40881490876633847,0.5833333333333334,0.8125
XGBClassifier,0.3982105731964111,0.01079111099243164,0.7795339366964081,0.7857707509881422,0.8326162797134664,0.7857707509881422,0.75,0.8571428571428571,0.5,0.631578947368421,0.5,0.5,0.9375
LGBMClassifier,0.06970357894897461,0.007048749923706054,0.668600937358509,0.6786561264822134,0.7119846763714468,0.6786561264822134,0.7142857142857143,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.4271410714851651,0.4166666666666667,0.9375
