algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004548406600952149,0.004281806945800781,0.6387277916691886,0.6790513833992093,0.8050095400479031,0.6790513833992093,0.6428571428571429,1.0,0.2857142857142857,0.4444444444444444,0.40824829046386296,0.2857142857142857,1.0
RidgeClassifier,0.0025035858154296873,0.005113554000854492,0.7672237907020516,0.7679841897233203,0.7727548055808924,0.7679841897233203,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
LogisticRegression,0.011410093307495118,0.00416417121887207,0.7934658385093168,0.7948616600790513,0.8038458401501879,0.7948616600790513,0.8571428571428571,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.7216878364870323,0.7857142857142857,0.9285714285714286
SGDClassifier,0.0023751258850097656,0.00474400520324707,0.7820414474922485,0.7853754940711463,0.798303061672627,0.7853754940711463,0.8214285714285714,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.6581451817144176,0.9285714285714286,0.7142857142857143
LinearDiscriminantAnalysis,0.01331796646118164,0.00728912353515625,0.5846831376099111,0.5976284584980236,0.6017025003981525,0.5976284584980236,0.6785714285714286,0.7272727272727273,0.5714285714285714,0.64,0.36563621206356534,0.5714285714285714,0.7857142857142857
QuadraticDiscriminantAnalysis,0.008763456344604492,0.00726475715637207,0.6259729401033749,0.6703557312252965,0.8023114051112434,0.6703557312252965,0.6428571428571429,1.0,0.2857142857142857,0.4444444444444444,0.40824829046386296,0.2857142857142857,1.0
SVC,0.003918313980102539,0.00862135887145996,0.7721686881641115,0.7774703557312254,0.8016142432446781,0.7774703557312254,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.8660254037844387,0.8571428571428571,1.0
KNeighborsClassifier,0.0007593631744384766,0.0061376094818115234,0.7997092387229687,0.8035573122529645,0.8257087115782766,0.8035573122529645,0.7857142857142857,0.9,0.6428571428571429,0.75,0.5962847939999439,0.6428571428571429,0.9285714285714286
GaussianNB,0.0012729167938232422,0.004813957214355469,0.4829679697966143,0.5715415019762846,0.5157477575151044,0.5715415019762846,0.6428571428571429,1.0,0.2857142857142857,0.4444444444444444,0.40824829046386296,0.2857142857142857,1.0
DecisionTreeClassifier,0.007988691329956055,0.004623889923095703,0.7478244217008518,0.7505928853754942,0.7604727398205658,0.7505928853754942,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
ExtraTreeClassifier,0.0008828639984130859,0.0044272422790527345,0.7489158667419538,0.7513833992094863,0.760375301027475,0.7513833992094863,0.8214285714285714,0.8,0.8571428571428571,0.8275862068965517,0.6445033866354896,0.8571428571428571,0.7857142857142857
RandomForestClassifier,0.09634404182434082,0.016857051849365236,0.7576456787555186,0.7596837944664033,0.7685806222762744,0.7596837944664033,0.8928571428571429,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.7877263614433762,0.8571428571428571,0.9285714285714286
BaggingClassifier,0.024167537689208984,0.018386983871459962,0.6712115185324012,0.6798418972332015,0.7060394068174389,0.6798418972332015,0.6785714285714286,0.7777777777777778,0.5,0.6086956521739131,0.3823595564509363,0.5,0.8571428571428571
AdaBoostClassifier,0.12032914161682129,0.00849919319152832,0.7544509257976054,0.7600790513833993,0.7685624193936212,0.7600790513833993,0.6428571428571429,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.28867513459481287,0.5714285714285714,0.7142857142857143
GradientBoostingClassifier,0.5103698253631592,0.003979539871215821,0.7315102974828376,0.7328063241106719,0.7396680734724213,0.7328063241106719,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.7857142857142857,0.7857142857142857
HistGradientBoostingClassifier,0.08798785209655761,0.005720806121826172,0.7538892372954135,0.7604743083003953,0.7721533574410813,0.7604743083003953,0.8214285714285714,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.6445033866354896,0.7857142857142857,0.8571428571428571
ExtraTrees-ensemble,0.06394166946411133,0.01626267433166504,0.784751818230079,0.7869565217391304,0.8010663732402863,0.7869565217391304,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.8660254037844387,0.8571428571428571,1.0
XGBClassifier,0.03943328857421875,0.006035804748535156,0.6997231540389436,0.7075098814229249,0.7216977225672878,0.7075098814229249,0.7142857142857143,0.75,0.6428571428571429,0.6923076923076923,0.43301270189221935,0.6428571428571429,0.7857142857142857
LGBMClassifier,0.028156328201293945,0.006554698944091797,0.755244420974398,0.7600790513833992,0.7749706694271912,0.7600790513833992,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.7857142857142857,0.7857142857142857
