algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.005742311477661133,0.0055656909942626955,0.5624652641574222,0.625691699604743,0.7908090218959785,0.625691699604743,0.6071428571428571,1.0,0.08333333333333333,0.15384615384615385,0.2222222222222222,0.08333333333333333,1.0
RidgeClassifier,0.0030372142791748047,0.006234216690063477,0.7210944814148476,0.7241106719367588,0.7359970365602776,0.7241106719367588,0.6785714285714286,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.33776026473659926,0.5833333333333334,0.75
LogisticRegression,0.011560010910034179,0.004773855209350586,0.6462243070938722,0.6509881422924901,0.6610446075663468,0.6509881422924901,0.6785714285714286,0.6,0.75,0.6666666666666666,0.3721042037676254,0.75,0.625
SGDClassifier,0.001959562301635742,0.004334306716918946,0.6764235997920208,0.6794466403162055,0.6836565367000149,0.6794466403162055,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143,0.4583333333333333,0.8333333333333334,0.625
LinearDiscriminantAnalysis,0.012844371795654296,0.007338142395019532,0.6394899507545893,0.6513833992094862,0.6712674101261058,0.6513833992094862,0.4642857142857143,0.4,0.5,0.4444444444444444,-0.062017367294604234,0.5,0.4375
QuadraticDiscriminantAnalysis,0.007785320281982422,0.007194662094116211,0.6649298889516281,0.6972332015810278,0.8160773941363523,0.6972332015810278,0.6785714285714286,1.0,0.25,0.4,0.4,0.25,1.0
SVC,0.004125165939331055,0.008383607864379883,0.8073670967411714,0.8122529644268773,0.8502177976832126,0.8122529644268773,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.48553038055886144,0.6666666666666666,0.8125
KNeighborsClassifier,0.0006193161010742187,0.004867410659790039,0.6420400242540643,0.6604743083003952,0.7316584794559622,0.6604743083003952,0.75,1.0,0.4166666666666667,0.5882352941176471,0.5383819020581655,0.4166666666666667,1.0
GaussianNB,0.0012425899505615235,0.004680824279785156,0.5493859022766888,0.6055335968379446,0.627321492091313,0.6055335968379446,0.75,1.0,0.4166666666666667,0.5882352941176471,0.5383819020581655,0.4166666666666667,1.0
DecisionTreeClassifier,0.0059414863586425785,0.00457310676574707,0.7300336378597249,0.733596837944664,0.7383974984172613,0.733596837944664,0.6785714285714286,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.40109031437471165,0.8333333333333334,0.5625
ExtraTreeClassifier,0.0008772373199462891,0.004411935806274414,0.7486467156032373,0.7494071146245058,0.7551609260304912,0.7494071146245058,0.8214285714285714,0.8181818181818182,0.75,0.782608695652174,0.6333004963811236,0.75,0.875
RandomForestClassifier,0.09482870101928711,0.01755046844482422,0.8110276679841897,0.8114624505928854,0.8139410830715178,0.8114624505928854,0.8214285714285714,0.7692307692307693,0.8333333333333334,0.8,0.6408461287109104,0.8333333333333334,0.8125
BaggingClassifier,0.021600866317749025,0.014758062362670899,0.7473360262925481,0.750197628458498,0.7678333260941956,0.750197628458498,0.6428571428571429,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.2708333333333333,0.5833333333333334,0.6875
AdaBoostClassifier,0.1352456569671631,0.009739065170288086,0.7920246709811927,0.7936758893280633,0.8072554981250633,0.7936758893280633,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8333333333333334,0.75
GradientBoostingClassifier,0.5677642822265625,0.00454559326171875,0.7400781268058156,0.7415019762845849,0.746403162055336,0.7415019762845849,0.75,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.516811394121702,0.8333333333333334,0.6875
HistGradientBoostingClassifier,0.08796682357788085,0.005659675598144532,0.7295449097050928,0.7324110671936758,0.7459352867159191,0.7324110671936758,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8333333333333334,0.75
ExtraTrees-ensemble,0.06523251533508301,0.016143035888671876,0.7933568605307736,0.7940711462450591,0.7970060133103611,0.7940711462450591,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8333333333333334,0.75
XGBClassifier,0.03908782005310059,0.0064297676086425785,0.759004618569836,0.7600790513833993,0.7656568815462096,0.7600790513833993,0.75,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.516811394121702,0.8333333333333334,0.6875
LGBMClassifier,0.027428722381591795,0.006334829330444336,0.7775875261275719,0.7786561264822135,0.7866448044708914,0.7786561264822135,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8333333333333334,0.75
