algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0048639774322509766,0.004329252243041992,0.7705645226151885,0.7865612648221344,0.8371741490438488,0.7865612648221344,0.6785714285714286,0.5,0.7777777777777778,0.6086956521739131,0.3823595564509363,0.7777777777777778,0.631578947368421
RidgeClassifier,0.0020170688629150392,0.0040532112121582035,0.8548469218016796,0.8573122529644269,0.8723117824204781,0.8573122529644269,0.7857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5087719298245614,0.6666666666666666,0.8421052631578947
LogisticRegression,0.011480045318603516,0.004503726959228516,0.7811796562248542,0.7952569169960475,0.8412662206551019,0.7952569169960475,0.7142857142857143,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.43262511765690437,0.7777777777777778,0.6842105263157895
SGDClassifier,0.003621673583984375,0.0039749622344970705,0.8507787502352719,0.8569169960474309,0.8780761641797632,0.8569169960474309,0.7857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5087719298245614,0.6666666666666666,0.8421052631578947
LinearDiscriminantAnalysis,0.017092180252075196,0.007112884521484375,0.6597573838494555,0.6624505928853754,0.6692970797318625,0.6624505928853754,0.6428571428571429,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.33405230603887553,0.7777777777777778,0.5789473684210527
QuadraticDiscriminantAnalysis,0.0362515926361084,0.008511543273925781,0.6725254428794608,0.6790513833992096,0.6963483348138079,0.6790513833992096,0.8928571428571429,0.8,0.8888888888888888,0.8421052631578947,0.7637838843300591,0.8888888888888888,0.8947368421052632
SVC,0.0027967453002929687,0.0074024200439453125,0.8732013638684792,0.8747035573122529,0.8897919471832516,0.8747035573122529,0.75,0.625,0.5555555555555556,0.5882352941176471,0.41110320839567327,0.5555555555555556,0.8421052631578947
KNeighborsClassifier,0.000714254379272461,0.00454554557800293,0.826233228191769,0.8300395256916996,0.8490768169029039,0.8300395256916996,0.6428571428571429,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.2792896329177484,0.6666666666666666,0.631578947368421
GaussianNB,0.0011681556701660157,0.003787851333618164,0.7473794952125947,0.7604743083003952,0.7881263225136743,0.7604743083003952,0.7142857142857143,0.5294117647058824,1.0,0.6923076923076923,0.5536258194734203,1.0,0.5789473684210527
DecisionTreeClassifier,0.018892288208007812,0.0036800384521484377,0.8206820232907189,0.8221343873517786,0.8287932401371136,0.8221343873517786,0.7857142857142857,0.6363636363636364,0.7777777777777778,0.7,0.5424414594840582,0.7777777777777778,0.7894736842105263
ExtraTreeClassifier,0.0010323047637939454,0.00405430793762207,0.8090432753949912,0.8114624505928854,0.8270878517617648,0.8114624505928854,0.7142857142857143,0.5454545454545454,0.6666666666666666,0.6,0.3858604196329899,0.6666666666666666,0.7368421052631579
RandomForestClassifier,0.13297786712646484,0.020047521591186522,0.9084728429614686,0.9098814229249012,0.9210736123779603,0.9098814229249012,0.7857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5087719298245614,0.6666666666666666,0.8421052631578947
BaggingClassifier,0.0342803955078125,0.017928314208984376,0.8643487225539852,0.866798418972332,0.88427648438518,0.866798418972332,0.8571428571428571,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.672514619883041,0.7777777777777778,0.8947368421052632
AdaBoostClassifier,0.5208707332611084,0.009393262863159179,0.8739355269698519,0.8750988142292491,0.890452204800031,0.8750988142292491,0.75,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.4856618642571827,0.7777777777777778,0.7368421052631579
GradientBoostingClassifier,2.1123745441436768,0.0043701171875,0.9005567704606605,0.9019762845849802,0.9133248657359327,0.9019762845849802,0.8571428571428571,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.672514619883041,0.7777777777777778,0.8947368421052632
HistGradientBoostingClassifier,0.10296516418457032,0.005487775802612305,0.9186999545077349,0.9193675889328062,0.9234559906496665,0.9193675889328062,0.7142857142857143,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.43262511765690437,0.7777777777777778,0.6842105263157895
ExtraTrees-ensemble,0.06294193267822265,0.01640634536743164,0.8997440644935597,0.901185770750988,0.9130468565251174,0.901185770750988,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.6041872517834797,0.7777777777777778,0.8421052631578947
XGBClassifier,0.07622790336608887,0.006044626235961914,0.8818991580501878,0.883399209486166,0.9017691487256704,0.883399209486166,0.8214285714285714,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.6401906392481045,0.8888888888888888,0.7894736842105263
LGBMClassifier,0.07870125770568848,0.0073468685150146484,0.9088411657832707,0.9102766798418973,0.9211841902059295,0.9102766798418973,0.7142857142857143,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.43262511765690437,0.7777777777777778,0.6842105263157895
