algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.018009090423583986,0.008698368072509765,0.9185792148355076,0.9193675889328062,0.9260684725902116,0.9193675889328062,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
RidgeClassifier,0.005849218368530274,0.005336761474609375,0.9194580918699913,0.9197628458498024,0.9243187730144251,0.9197628458498024,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
LogisticRegression,0.13048186302185058,0.012533426284790039,0.9098504363675989,0.9106719367588934,0.9180417167373689,0.9106719367588934,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
SGDClassifier,0.006435585021972656,0.003967571258544922,0.8916135397782995,0.8944664031620555,0.9059729159729158,0.8944664031620555,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
LinearDiscriminantAnalysis,0.148919677734375,0.007824325561523437,0.7375525953832591,0.7403162055335969,0.7545815054510706,0.7403162055335969,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7810706122033858,0.9090909090909091,0.8823529411764706
QuadraticDiscriminantAnalysis,0.037079143524169925,0.009824371337890625,0.777837306300946,0.7853754940711463,0.814415202586558,0.7853754940711463,0.75,0.625,0.9090909090909091,0.7407407407407407,0.5488604301969738,0.9090909090909091,0.6470588235294118
SVC,0.00840291976928711,0.00948033332824707,0.8911475384518862,0.8924901185770752,0.9064102564102564,0.8924901185770752,0.9285714285714286,1.0,0.8181818181818182,0.9,0.8556035391861949,0.8181818181818182,1.0
KNeighborsClassifier,0.001136636734008789,0.004971647262573242,0.9090389539268259,0.9102766798418973,0.9182124397341788,0.9102766798418973,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
GaussianNB,0.0033431053161621094,0.004671669006347657,0.8629292107014546,0.866403162055336,0.8851298059647862,0.866403162055336,0.7857142857142857,0.7777777777777778,0.6363636363636364,0.7,0.5424414594840582,0.6363636363636364,0.8823529411764706
DecisionTreeClassifier,0.06766409873962402,0.004422521591186524,0.8296040331395023,0.8312252964426877,0.8380634100199318,0.8312252964426877,0.8571428571428571,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.7174348320524659,0.9090909090909091,0.8235294117647058
ExtraTreeClassifier,0.0015219688415527345,0.004126358032226563,0.8257343594072628,0.8296442687747035,0.8410179554744772,0.8296442687747035,0.6785714285714286,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.33776026473659926,0.6363636363636364,0.7058823529411765
RandomForestClassifier,0.10056710243225098,0.01729106903076172,0.872832674571805,0.8750988142292491,0.8882135014743711,0.8750988142292491,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7810706122033858,0.9090909090909091,0.8823529411764706
BaggingClassifier,0.18712635040283204,0.025194740295410155,0.8655472871903077,0.866798418972332,0.8748474713692105,0.866798418972332,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
AdaBoostClassifier,2.0721442222595217,0.012108612060546874,0.9105777982505672,0.9110671936758893,0.9145204553900206,0.9110671936758893,0.8928571428571429,0.9,0.8181818181818182,0.8571428571428571,0.7739827625318122,0.8181818181818182,0.9411764705882353
GradientBoostingClassifier,7.805509328842163,0.004887199401855469,0.7993896651201806,0.8039525691699605,0.8196107515672733,0.8039525691699605,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7810706122033858,0.9090909090909091,0.8823529411764706
HistGradientBoostingClassifier,0.8348106861114502,0.005893421173095703,0.8742434275615054,0.8754940711462451,0.8861227178618483,0.8754940711462451,0.8214285714285714,0.75,0.8181818181818182,0.782608695652174,0.6333004963811236,0.8181818181818182,0.8235294117647058
ExtraTrees-ensemble,0.07485599517822265,0.016988849639892577,0.8635754197493327,0.86600790513834,0.8835439681091856,0.86600790513834,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7810706122033858,0.9090909090909091,0.8823529411764706
XGBClassifier,0.753127908706665,0.008704948425292968,0.8648410983880093,0.866403162055336,0.8773220258002865,0.866403162055336,0.9285714285714286,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8502673796791443,0.9090909090909091,0.9411764705882353
LGBMClassifier,0.9079004287719726,0.008883810043334961,0.8375608208216905,0.8403162055335969,0.8575669499582543,0.8403162055335969,0.9285714285714286,1.0,0.8181818181818182,0.9,0.8556035391861949,0.8181818181818182,1.0
