algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.006387853622436523,0.005583333969116211,0.8756243177112741,0.875889328063241,0.8796554170467215,0.875889328063241,0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.928840728025648,0.9166666666666666,1.0
RidgeClassifier,0.00228118896484375,0.0046657085418701175,0.8935576886881236,0.8936758893280633,0.8979319955406911,0.8936758893280633,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,0.011539936065673828,0.004685878753662109,0.8757236965932618,0.875889328063241,0.8798459511502991,0.875889328063241,0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.928840728025648,0.9166666666666666,1.0
SGDClassifier,0.0028521060943603516,0.004317808151245117,0.8752060982495765,0.8754940711462451,0.8820735785953178,0.8754940711462451,0.9642857142857143,0.9230769230769231,1.0,0.96,0.9302605094190635,1.0,0.9375
LinearDiscriminantAnalysis,0.015071678161621093,0.007059144973754883,0.6571372106154715,0.6620553359683794,0.6640323225303462,0.6620553359683794,0.75,0.6923076923076923,0.75,0.72,0.49613893835683387,0.75,0.75
QuadraticDiscriminantAnalysis,0.009968423843383789,0.007500648498535156,0.8300157234070277,0.8308300395256918,0.8336145979624241,0.8308300395256918,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8333333333333334,0.75
SVC,0.0030594825744628905,0.007823753356933593,0.9023527197440242,0.9023715415019762,0.9074769433465086,0.9023715415019762,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNeighborsClassifier,0.0005982398986816406,0.0047190189361572266,0.874671502410633,0.8754940711462451,0.8837201204592509,0.8754940711462451,0.8928571428571429,0.8,1.0,0.8888888888888888,0.806225774829855,1.0,0.8125
GaussianNB,0.0012192726135253906,0.0046580791473388675,0.8465555941642897,0.8486166007905138,0.87261810653115,0.8486166007905138,0.8214285714285714,1.0,0.5833333333333334,0.7368421052631579,0.6666666666666666,0.5833333333333334,1.0
DecisionTreeClassifier,0.023050832748413085,0.0044921875,0.8491564088085827,0.8494071146245059,0.8536176142697883,0.8494071146245059,0.8571428571428571,0.9,0.75,0.8181818181818182,0.7100469468046932,0.75,0.9375
ExtraTreeClassifier,0.0008860588073730469,0.004361009597778321,0.9020169395821569,0.9023715415019764,0.9108104477867325,0.9023715415019764,0.8928571428571429,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.7810706122033858,0.8333333333333334,0.9375
RandomForestClassifier,0.0962456226348877,0.016661357879638673,0.9110483719179371,0.9110671936758894,0.915513833992095,0.9110671936758894,0.9642857142857143,0.9230769230769231,1.0,0.96,0.9302605094190635,1.0,0.9375
BaggingClassifier,0.03366246223449707,0.014882898330688477,0.8744174665913796,0.8750988142292491,0.8868520609824959,0.8750988142292491,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
AdaBoostClassifier,0.5320767879486084,0.009634065628051757,0.866514586862413,0.866798418972332,0.8697242875701374,0.866798418972332,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
GradientBoostingClassifier,1.9030300617218017,0.003861093521118164,0.8754361001317523,0.875889328063241,0.8836763960677004,0.875889328063241,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
HistGradientBoostingClassifier,0.11391444206237793,0.005811023712158203,0.866075069095664,0.866403162055336,0.8678659504746461,0.866403162055336,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.0652834415435791,0.016133928298950197,0.9110107284020327,0.9110671936758894,0.9153623188405797,0.9110671936758894,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,0.07929601669311523,0.006297874450683594,0.9110528891398456,0.9110671936758894,0.9140776877931028,0.9110671936758894,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.9375
LGBMClassifier,0.0647627830505371,0.008510828018188477,0.9023903632599286,0.9023715415019762,0.9047131392981195,0.9023715415019762,0.9642857142857143,0.9230769230769231,1.0,0.96,0.9302605094190635,1.0,0.9375
