algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.006815338134765625,0.006005430221557617,0.8378245095865232,0.8399209486166008,0.8476403789447268,0.8399209486166008,0.8928571428571429,0.9375,0.8823529411764706,0.9090909090909091,0.7810706122033858,0.8823529411764706,0.9090909090909091
RidgeClassifier,0.0023422718048095705,0.00469822883605957,0.8208584072931899,0.8213438735177865,0.8261318654994543,0.8213438735177865,0.8571428571428571,0.9333333333333333,0.8235294117647058,0.875,0.7174348320524659,0.8235294117647058,0.9090909090909091
LogisticRegression,0.011434268951416016,0.004168462753295898,0.7757154668367482,0.7766798418972332,0.7789912283588173,0.7766798418972332,0.7857142857142857,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.5424414594840582,0.8823529411764706,0.6363636363636364
SGDClassifier,0.003562307357788086,0.00464162826538086,0.8645113340765513,0.8648221343873518,0.8681441746659138,0.8648221343873518,0.7857142857142857,1.0,0.6470588235294118,0.7857142857142857,0.6470588235294118,0.6470588235294118,1.0
LinearDiscriminantAnalysis,0.01672353744506836,0.007415914535522461,0.6792941607882079,0.6881422924901186,0.716497222584179,0.6881422924901186,0.6071428571428571,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.16351748504193217,0.7058823529411765,0.45454545454545453
QuadraticDiscriminantAnalysis,0.009779024124145507,0.007046365737915039,0.6509493694711086,0.6525691699604744,0.6612238003542352,0.6525691699604744,0.7142857142857143,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.3858604196329899,0.8235294117647058,0.5454545454545454
SVC,0.00328216552734375,0.008079910278320312,0.836869016566957,0.8395256916996047,0.8503953655040611,0.8395256916996047,0.7857142857142857,0.9230769230769231,0.7058823529411765,0.8,0.6022263188761575,0.7058823529411765,0.9090909090909091
KNeighborsClassifier,0.0006468296051025391,0.005623674392700196,0.8119661924650483,0.8130434782608695,0.8167117906248341,0.8130434782608695,0.8928571428571429,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.7739827625318122,0.9411764705882353,0.8181818181818182
GaussianNB,0.001096200942993164,0.003975057601928711,0.7483850378095902,0.7592885375494071,0.7948920403268229,0.7592885375494071,0.7857142857142857,0.8666666666666667,0.7647058823529411,0.8125,0.5708058152826189,0.7647058823529411,0.8181818181818182
DecisionTreeClassifier,0.020494842529296876,0.0036612033843994142,0.7380908945636875,0.7418972332015811,0.7637263986368845,0.7418972332015811,0.6785714285714286,0.75,0.7058823529411765,0.7272727272727273,0.33776026473659926,0.7058823529411765,0.6363636363636364
ExtraTreeClassifier,0.0009195327758789063,0.0040188789367675785,0.8106591989246452,0.8114624505928854,0.8130236912845609,0.8114624505928854,0.7142857142857143,0.8,0.7058823529411765,0.75,0.4241767985127718,0.7058823529411765,0.7272727272727273
RandomForestClassifier,0.09628772735595703,0.01712827682495117,0.8272596726455091,0.8308300395256918,0.8474167421098369,0.8308300395256918,0.8571428571428571,1.0,0.7647058823529411,0.8666666666666667,0.7488553356460046,0.7647058823529411,1.0
BaggingClassifier,0.03978724479675293,0.014854717254638671,0.7915176369034734,0.7944664031620554,0.8094297291228237,0.7944664031620554,0.8214285714285714,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.6581451817144176,0.7647058823529411,0.9090909090909091
AdaBoostClassifier,0.5390376091003418,0.009685230255126954,0.8476190476190476,0.8478260869565218,0.8567183080424188,0.8478260869565218,0.7857142857142857,0.8666666666666667,0.7647058823529411,0.8125,0.5708058152826189,0.7647058823529411,0.8181818181818182
GradientBoostingClassifier,2.363020086288452,0.0045296669006347655,0.7176114830464003,0.7237154150197628,0.7439031379248771,0.7237154150197628,0.8928571428571429,1.0,0.8235294117647058,0.9032258064516129,0.8043996665398437,0.8235294117647058,1.0
HistGradientBoostingClassifier,0.10356874465942383,0.005843114852905273,0.8565910956574572,0.8577075098814229,0.8618713894800851,0.8577075098814229,0.8571428571428571,1.0,0.7647058823529411,0.8666666666666667,0.7488553356460046,0.7647058823529411,1.0
ExtraTrees-ensemble,0.06330056190490722,0.01612367630004883,0.8555857953386556,0.8569169960474309,0.8642259913999044,0.8569169960474309,0.8928571428571429,1.0,0.8235294117647058,0.9032258064516129,0.8043996665398437,0.8235294117647058,1.0
XGBClassifier,0.09022235870361328,0.0066588401794433595,0.8099664576460915,0.8118577075098814,0.8230978705089378,0.8118577075098814,0.8928571428571429,1.0,0.8235294117647058,0.9032258064516129,0.8043996665398437,0.8235294117647058,1.0
LGBMClassifier,0.08243093490600586,0.008297204971313477,0.8476829836829838,0.8482213438735178,0.8517649039585798,0.8482213438735178,0.8571428571428571,1.0,0.7647058823529411,0.8666666666666667,0.7488553356460046,0.7647058823529411,1.0
