algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.00498809814453125,0.004374074935913086,0.8745019473280344,0.8750988142292491,0.8838668577799013,0.8750988142292491,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
RidgeClassifier,0.0025642871856689452,0.005247592926025391,0.9372988895162809,0.9375494071146244,0.9436910915171784,0.9375494071146244,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
LogisticRegression,0.023517894744873046,0.004032802581787109,0.9369506869941653,0.9371541501976285,0.9421024627546368,0.9371541501976285,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
SGDClassifier,0.003423261642456055,0.0034865379333496095,0.8901042230081131,0.891699604743083,0.9073996655518395,0.891699604743083,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.6324555320336759,0.5714285714285714,1.0
LinearDiscriminantAnalysis,0.015371465682983398,0.007186222076416016,0.6489339737303124,0.6521739130434782,0.6627009222661397,0.6521739130434782,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.7857142857142857,0.7857142857142857
QuadraticDiscriminantAnalysis,0.009533977508544922,0.007015514373779297,0.7364157374111608,0.7415019762845849,0.7599588575675532,0.7415019762845849,0.8928571428571429,0.8666666666666667,0.9285714285714286,0.896551724137931,0.7877263614433762,0.9285714285714286,0.8571428571428571
SVC,0.00334930419921875,0.007942581176757812,0.7142464855340771,0.7320158102766797,0.8083274586311671,0.7320158102766797,0.7142857142857143,0.65,0.9285714285714286,0.7647058823529411,0.47434164902525694,0.9285714285714286,0.5
KNeighborsClassifier,0.0005844593048095703,0.0045262336730957035,0.9098181818181817,0.9102766798418973,0.9198216276477146,0.9102766798418973,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
GaussianNB,0.0010361671447753906,0.0037608623504638674,0.7623007789312137,0.7675889328063242,0.790120081680184,0.7675889328063242,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.6428571428571429
DecisionTreeClassifier,0.01875624656677246,0.0037832736968994142,0.8377701863354037,0.8387351778656127,0.8475595901682859,0.8387351778656127,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.9285714285714286
ExtraTreeClassifier,0.0007275581359863281,0.0036668777465820312,0.8027131729191226,0.8047430830039526,0.8118610857741292,0.8047430830039526,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.5773502691896257,0.7142857142857143,0.8571428571428571
RandomForestClassifier,0.09165019989013672,0.016108322143554687,0.9460604178430266,0.9462450592885375,0.95043579608797,0.9462450592885375,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
BaggingClassifier,0.0369875431060791,0.027649974822998045,0.9189941652550349,0.9193675889328062,0.9263212874082439,0.9193675889328062,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.9285714285714286
AdaBoostClassifier,0.5348776340484619,0.009554147720336914,0.9099217014869188,0.9102766798418973,0.9138787540961454,0.9102766798418973,0.8928571428571429,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.7877263614433762,0.8571428571428571,0.9285714285714286
GradientBoostingClassifier,2.081368160247803,0.004437637329101562,0.8469175607001693,0.8478260869565217,0.8560444386531343,0.8478260869565217,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.9285714285714286
HistGradientBoostingClassifier,0.11416511535644532,0.0055447578430175785,0.9460604178430266,0.9462450592885375,0.95043579608797,0.9462450592885375,0.8928571428571429,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.7877263614433762,0.8571428571428571,0.9285714285714286
ExtraTrees-ensemble,0.06591587066650391,0.01625094413757324,0.9369130434782609,0.9371541501976285,0.9419509476031216,0.9371541501976285,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.7453559924999299,0.7142857142857143,1.0
XGBClassifier,0.0755119800567627,0.006437778472900391,0.9103457556935819,0.9106719367588934,0.9160256410256409,0.9106719367588934,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
LGBMClassifier,0.05794005393981934,0.008782577514648438,0.9279171842650105,0.9280632411067193,0.9306688963210703,0.9280632411067193,0.8214285714285714,0.9090909090909091,0.7142857142857143,0.8,0.6581451817144176,0.7142857142857143,0.9285714285714286
