algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.00516214370727539,0.0045334815979003905,0.8624614767137835,0.866403162055336,0.8824906757713082,0.866403162055336,0.75,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.4856618642571827,0.7777777777777778,0.7368421052631579
RidgeClassifier,0.0029258251190185545,0.0060328483581542965,0.9086043567416565,0.9106719367588934,0.9231090996889648,0.9106719367588934,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.6041872517834797,0.7777777777777778,0.8421052631578947
LogisticRegression,0.011621713638305664,0.005125093460083008,0.8452708412622785,0.84901185770751,0.8653421721010653,0.84901185770751,0.7857142857142857,0.6363636363636364,0.7777777777777778,0.7,0.5424414594840582,0.7777777777777778,0.7894736842105263
SGDClassifier,0.003063821792602539,0.0043545722961425785,0.8400983601423551,0.849802371541502,0.881189144831627,0.849802371541502,0.5357142857142857,0.4090909090909091,1.0,0.5806451612903226,0.35942537872389224,1.0,0.3157894736842105
LinearDiscriminantAnalysis,0.015034198760986328,0.0071543693542480465,0.7225399467047064,0.7229249011857707,0.7297072273356857,0.7229249011857707,0.6428571428571429,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.33405230603887553,0.7777777777777778,0.5789473684210527
QuadraticDiscriminantAnalysis,0.009563541412353516,0.007154703140258789,0.8113172610930048,0.8122529644268776,0.8167822515648602,0.8122529644268776,0.7857142857142857,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5859606023960603,0.8888888888888888,0.7368421052631579
SVC,0.007847738265991212,0.012470245361328125,0.945937637241985,0.9462450592885375,0.9532470954605341,0.9462450592885375,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.6041872517834797,0.7777777777777778,0.8421052631578947
KNeighborsClassifier,0.0014163970947265625,0.007415962219238281,0.8745846068500531,0.8750988142292491,0.8786310308049439,0.8750988142292491,0.7857142857142857,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5859606023960603,0.8888888888888888,0.7368421052631579
GaussianNB,0.0027350902557373045,0.006112098693847656,0.8144969485378691,0.8209486166007904,0.8575564929529124,0.8209486166007904,0.8928571428571429,0.875,0.7777777777777778,0.8235294117647058,0.7496587917803454,0.7777777777777778,0.9473684210526315
DecisionTreeClassifier,0.02179374694824219,0.005588245391845703,0.837549038060547,0.8391304347826087,0.8520026350461134,0.8391304347826087,0.7142857142857143,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.43262511765690437,0.7777777777777778,0.6842105263157895
ExtraTreeClassifier,0.000801992416381836,0.003828763961791992,0.79897122252271,0.8019762845849803,0.8108073654109459,0.8019762845849803,0.7857142857142857,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5859606023960603,0.8888888888888888,0.7368421052631579
RandomForestClassifier,0.08936147689819336,0.017527151107788085,0.899914172783738,0.9019762845849802,0.9135565968558297,0.9019762845849802,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.6041872517834797,0.7777777777777778,0.8421052631578947
BaggingClassifier,0.04084630012512207,0.022664737701416016,0.8384799130016521,0.8391304347826086,0.848624059295996,0.8391304347826086,0.7857142857142857,0.6363636363636364,0.7777777777777778,0.7,0.5424414594840582,0.7777777777777778,0.7894736842105263
AdaBoostClassifier,0.5509515762329101,0.010423803329467773,0.8907096206765072,0.8920948616600791,0.901752090684897,0.8920948616600791,0.8571428571428571,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.672514619883041,0.7777777777777778,0.8947368421052632
GradientBoostingClassifier,2.0857721328735352,0.004621124267578125,0.8111929942399723,0.8130434782608695,0.8244463748811576,0.8130434782608695,0.7857142857142857,0.6,1.0,0.75,0.6407232755171874,1.0,0.6842105263157895
HistGradientBoostingClassifier,0.13344922065734863,0.005754947662353516,0.8910989727282634,0.8913043478260869,0.8950890172629304,0.8913043478260869,0.7857142857142857,0.6363636363636364,0.7777777777777778,0.7,0.5424414594840582,0.7777777777777778,0.7894736842105263
ExtraTrees-ensemble,0.06670007705688477,0.016381311416625976,0.9188337198856645,0.9197628458498024,0.9261494927996903,0.9197628458498024,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.6041872517834797,0.7777777777777778,0.8421052631578947
XGBClassifier,0.07668852806091309,0.006403779983520508,0.856349490326607,0.8565217391304347,0.8630235465018075,0.8565217391304347,0.7857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5087719298245614,0.6666666666666666,0.8421052631578947
LGBMClassifier,0.07251811027526855,0.007667064666748047,0.8731060576003369,0.8735177865612649,0.8825567186436751,0.8735177865612649,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.6041872517834797,0.7777777777777778,0.8421052631578947
