algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003204679489135742,0.0047909259796142575,0.29420204603580563,0.46397058823529413,0.21544387975778548,0.46397058823529413,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0016789913177490234,0.004343652725219726,0.6452392344497607,0.6544117647058825,0.6576247935071465,0.6544117647058825,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.17857142857142858,0.75,0.42857142857142855
LogisticRegression,0.011406135559082032,0.004401874542236328,0.6511415983397407,0.6551470588235294,0.6607018716577541,0.6551470588235294,0.5454545454545454,0.4166666666666667,0.625,0.5,0.12076147288491199,0.625,0.5
SGDClassifier,0.0015201568603515625,0.004105567932128906,0.6697237076648841,0.6794117647058824,0.7121356421356422,0.6794117647058824,0.6363636363636364,0.5,0.5,0.5,0.21428571428571427,0.5,0.7142857142857143
LinearDiscriminantAnalysis,0.006210136413574219,0.006737279891967774,0.5774310776942355,0.5838235294117647,0.5888044308632544,0.5838235294117647,0.6818181818181818,0.5454545454545454,0.75,0.631578947368421,0.37796447300922725,0.75,0.6428571428571429
QuadraticDiscriminantAnalysis,0.004228544235229492,0.00687704086303711,0.6708904614477371,0.6764705882352942,0.675833969951617,0.6764705882352942,0.5909090909090909,0.4666666666666667,0.875,0.6086956521739131,0.31352722326440996,0.875,0.42857142857142855
SVC,0.0021318435668945313,0.0071049690246582035,0.6976878281677044,0.7147058823529412,0.749633307868602,0.7147058823529412,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.17857142857142858,0.75,0.42857142857142855
KNeighborsClassifier,0.00062408447265625,0.00857076644897461,0.6548228881093332,0.6779411764705883,0.6955192846369317,0.6779411764705883,0.5909090909090909,0.47058823529411764,1.0,0.64,0.4099600308453939,1.0,0.35714285714285715
GaussianNB,0.0007763385772705078,0.00357670783996582,0.6607523522229405,0.6683823529411764,0.6872404984721161,0.6683823529411764,0.6363636363636364,0.5,0.75,0.6,0.3105295017040594,0.75,0.5714285714285714
DecisionTreeClassifier,0.00889582633972168,0.003672361373901367,0.5658988156666174,0.5698529411764706,0.5754134039979628,0.5698529411764706,0.7272727272727273,0.6,0.75,0.6666666666666666,0.4485426135725303,0.75,0.7142857142857143
ExtraTreeClassifier,0.0006550788879394531,0.003623199462890625,0.5805280357757138,0.5838235294117647,0.5920617944147356,0.5838235294117647,0.6818181818181818,0.5555555555555556,0.625,0.5882352941176471,0.33195686496194077,0.625,0.7142857142857143
RandomForestClassifier,0.08898348808288574,0.01614804267883301,0.7038260758848993,0.7139705882352941,0.7357641745509392,0.7139705882352941,0.45454545454545453,0.375,0.75,0.5,0.03857583749052298,0.75,0.2857142857142857
BaggingClassifier,0.026775360107421875,0.021539592742919923,0.514268835739424,0.5242647058823529,0.5299360198624904,0.5242647058823529,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.17857142857142858,0.75,0.42857142857142855
AdaBoostClassifier,0.23133277893066406,0.009116458892822265,0.574657174610735,0.5830882352941177,0.5879650496562261,0.5830882352941177,0.6818181818181818,0.5555555555555556,0.625,0.5882352941176471,0.33195686496194077,0.625,0.7142857142857143
GradientBoostingClassifier,0.9979966163635254,0.004490566253662109,0.5154512979280781,0.5235294117647059,0.5313177998472116,0.5235294117647059,0.6363636363636364,0.5,0.75,0.6,0.3105295017040594,0.75,0.5714285714285714
HistGradientBoostingClassifier,0.04547834396362305,0.005231666564941406,0.6348710010319918,0.6411764705882353,0.6507308377896613,0.6411764705882353,0.6818181818181818,0.5454545454545454,0.75,0.631578947368421,0.37796447300922725,0.75,0.6428571428571429
ExtraTrees-ensemble,0.06434855461120606,0.01606593132019043,0.6163622291021672,0.6308823529411766,0.6404302233713999,0.6308823529411766,0.5454545454545454,0.4166666666666667,0.625,0.5,0.12076147288491199,0.625,0.5
XGBClassifier,0.04896469116210937,0.006260013580322266,0.574484004127967,0.5823529411764705,0.5896256684491978,0.5823529411764705,0.7272727272727273,0.5833333333333334,0.875,0.7,0.5002975305232068,0.875,0.6428571428571429
LGBMClassifier,0.029936599731445312,0.006717061996459961,0.5883969728242173,0.5941176470588235,0.5974204227145404,0.5941176470588235,0.7272727272727273,0.6,0.75,0.6666666666666666,0.4485426135725303,0.75,0.7142857142857143
