algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0021439075469970705,0.003710651397705078,0.8426143790849672,0.8455882352941175,0.8735115864527631,0.8455882352941175,0.6363636363636364,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.32539568672798425,0.9090909090909091,0.36363636363636365
RidgeClassifier,0.0011897563934326171,0.0034780502319335938,0.8205985552115583,0.8227941176470587,0.8442746795687972,0.8227941176470587,0.6363636363636364,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.32539568672798425,0.9090909090909091,0.36363636363636365
LogisticRegression,0.013348102569580078,0.004686498641967773,0.8442930856553147,0.8463235294117647,0.8683082930141754,0.8463235294117647,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
SGDClassifier,0.0010278701782226562,0.003973722457885742,0.8554621848739495,0.8580882352941176,0.8824004753416519,0.8580882352941176,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
LinearDiscriminantAnalysis,0.002553081512451172,0.006178617477416992,0.6757103543171654,0.6772058823529411,0.6814379084967319,0.6772058823529411,0.45454545454545453,0.46153846153846156,0.5454545454545454,0.5,-0.09245003270420485,0.5454545454545454,0.36363636363636365
QuadraticDiscriminantAnalysis,0.001959371566772461,0.006334495544433594,0.5896766652679964,0.6213235294117647,0.683232208967503,0.6213235294117647,0.6363636363636364,1.0,0.2727272727272727,0.42857142857142855,0.39735970711951313,0.2727272727272727,1.0
SVC,0.0013469696044921876,0.006380414962768555,0.7657531082608482,0.7735294117647058,0.8077616501145913,0.7735294117647058,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
KNeighborsClassifier,0.0005740165710449219,0.005141735076904297,0.7714005602240895,0.7735294117647058,0.7841995586113233,0.7735294117647058,0.6818181818181818,0.625,0.9090909090909091,0.7407407407407407,0.408248290463863,0.9090909090909091,0.45454545454545453
GaussianNB,0.0008154869079589844,0.004350185394287109,0.7841486446130409,0.7867647058823529,0.8026470588235295,0.7867647058823529,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
DecisionTreeClassifier,0.0027720451354980467,0.004303407669067383,0.8067819435466493,0.8088235294117647,0.8214799253034547,0.8088235294117647,0.6818181818181818,0.7,0.6363636363636364,0.6666666666666666,0.3651483716701107,0.6363636363636364,0.7272727272727273
ExtraTreeClassifier,0.0006688594818115235,0.004175519943237305,0.7482800137598898,0.7492647058823529,0.7547058823529411,0.7492647058823529,0.6818181818181818,0.7,0.6363636363636364,0.6666666666666666,0.3651483716701107,0.6363636363636364,0.7272727272727273
RandomForestClassifier,0.088753080368042,0.01611471176147461,0.8329446164430683,0.8345588235294118,0.8506153976742212,0.8345588235294118,0.5909090909090909,0.5625,0.8181818181818182,0.6666666666666666,0.2041241452319315,0.8181818181818182,0.36363636363636365
BaggingClassifier,0.021293067932128908,0.027936410903930665,0.8321981424148607,0.8330882352941178,0.8360971055088703,0.8330882352941178,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
AdaBoostClassifier,0.08665776252746582,0.008475208282470703,0.7961009235003043,0.7977941176470588,0.8141698497580849,0.7977941176470588,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
GradientBoostingClassifier,0.2627423763275146,0.004407405853271484,0.8902133160956689,0.8919117647058823,0.9030345471521942,0.8919117647058823,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3651483716701107,0.7272727272727273,0.6363636363636364
HistGradientBoostingClassifier,0.02404303550720215,0.004560232162475586,0.8209224040493389,0.8220588235294117,0.833375350140056,0.8220588235294117,0.6363636363636364,0.6,0.8181818181818182,0.6923076923076923,0.2927700218845599,0.8181818181818182,0.45454545454545453
ExtraTrees-ensemble,0.06383986473083496,0.01616840362548828,0.8809098727210183,0.8816176470588235,0.8903641456582634,0.8816176470588235,0.6363636363636364,0.6,0.8181818181818182,0.6923076923076923,0.2927700218845599,0.8181818181818182,0.45454545454545453
XGBClassifier,0.01688556671142578,0.005666351318359375,0.8810732714138286,0.8816176470588235,0.8856582633053222,0.8816176470588235,0.6363636363636364,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.2773500981126146,0.7272727272727273,0.5454545454545454
LGBMClassifier,0.01273050308227539,0.006385517120361328,0.8311456431425471,0.8330882352941178,0.8506404379933791,0.8330882352941178,0.5909090909090909,0.5714285714285714,0.7272727272727273,0.64,0.18898223650461363,0.7272727272727273,0.45454545454545453
