algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003318452835083008,0.004817581176757813,0.6748865376109958,0.6786764705882353,0.6873232323232323,0.6786764705882353,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.647150228929434,0.9090909090909091,0.7272727272727273
RidgeClassifier,0.0016832351684570312,0.004343509674072266,0.7314942109833751,0.7375,0.7636388774624069,0.7375,0.8636363636363636,0.7857142857142857,1.0,0.88,0.7559289460184545,1.0,0.7272727272727273
LogisticRegression,0.011320686340332032,0.004405355453491211,0.6759251068848592,0.6779411764705883,0.6810877684407096,0.6779411764705883,0.8636363636363636,0.7857142857142857,1.0,0.88,0.7559289460184545,1.0,0.7272727272727273
SGDClassifier,0.0019394397735595704,0.004156351089477539,0.651734483266991,0.6882352941176471,0.6574509803921569,0.6882352941176471,0.6363636363636364,1.0,0.2727272727272727,0.42857142857142855,0.39735970711951313,0.2727272727272727,1.0
LinearDiscriminantAnalysis,0.006033897399902344,0.006417989730834961,0.639592419963937,0.6433823529411764,0.6512121212121212,0.6433823529411764,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.48795003647426655,0.9090909090909091,0.5454545454545454
QuadraticDiscriminantAnalysis,0.004063463211059571,0.006578779220581055,0.5364392882659136,0.5463235294117647,0.5437942449707156,0.5463235294117647,0.45454545454545453,0.46153846153846156,0.5454545454545454,0.5,-0.09245003270420485,0.5454545454545454,0.36363636363636365
SVC,0.00207977294921875,0.007159233093261719,0.6579372261725203,0.6661764705882353,0.6820401493930905,0.6661764705882353,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
KNeighborsClassifier,0.0005907058715820312,0.0050641059875488285,0.6437535014005602,0.6536764705882352,0.6700602665308548,0.6536764705882352,0.8636363636363636,0.9,0.8181818181818182,0.8571428571428571,0.7302967433402214,0.8181818181818182,0.9090909090909091
GaussianNB,0.0009474277496337891,0.004392242431640625,0.6170742363931219,0.6301470588235294,0.6402301619948678,0.6301470588235294,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.09090909090909091,0.5454545454545454,0.5454545454545454
DecisionTreeClassifier,0.009458398818969727,0.00442814826965332,0.5935190918472651,0.5948529411764707,0.5957002801120449,0.5948529411764707,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7302967433402214,0.9090909090909091,0.8181818181818182
ExtraTreeClassifier,0.0007708549499511718,0.004248714447021485,0.6128952093657977,0.6176470588235294,0.6257270180799592,0.6176470588235294,0.5909090909090909,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.18257418583505536,0.6363636363636364,0.5454545454545454
RandomForestClassifier,0.08869104385375977,0.016126441955566406,0.7174674654550814,0.725735294117647,0.7536138371432489,0.725735294117647,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
BaggingClassifier,0.02172222137451172,0.015144824981689453,0.6201809954751132,0.6294117647058824,0.6458823529411765,0.6294117647058824,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.45454545454545453,0.7272727272727273,0.7272727272727273
AdaBoostClassifier,0.19566068649291993,0.009037637710571289,0.6157993021770111,0.6183823529411765,0.6224208471267294,0.6183823529411765,0.7727272727272727,0.75,0.8181818181818182,0.782608695652174,0.5477225575051661,0.8181818181818182,0.7272727272727273
GradientBoostingClassifier,0.8152116298675537,0.004380702972412109,0.5655405482030869,0.5713235294117647,0.5735973177149647,0.5713235294117647,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.45454545454545453,0.7272727272727273,0.7272727272727273
HistGradientBoostingClassifier,0.043141651153564456,0.0051899909973144535,0.7244731738849387,0.7272058823529413,0.7338842203548086,0.7272058823529413,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,0.5477225575051661,0.7272727272727273,0.8181818181818182
ExtraTrees-ensemble,0.06506552696228027,0.016181802749633788,0.661244513999932,0.6654411764705882,0.6711259655377303,0.6654411764705882,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.8181818181818182
XGBClassifier,0.03612203598022461,0.005974721908569336,0.6758212272763356,0.6786764705882352,0.6854570919276801,0.6786764705882352,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,0.5477225575051661,0.7272727272727273,0.8181818181818182
LGBMClassifier,0.02709164619445801,0.007141923904418946,0.7607968828557063,0.763235294117647,0.780891690009337,0.763235294117647,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,0.5477225575051661,0.7272727272727273,0.8181818181818182
