algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003879737854003906,0.004155492782592774,0.6446609737012213,0.6566176470588235,0.7030752580752581,0.6566176470588235,0.9545454545454546,1.0,0.9230769230769231,0.96,0.9114654303752999,0.9230769230769231,1.0
RidgeClassifier,0.0016779422760009766,0.0036859989166259767,0.7227677035726571,0.7279411764705882,0.7552584670231729,0.7279411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,0.013487958908081054,0.004645013809204101,0.7258260848198929,0.7279411764705882,0.7416806722689075,0.7279411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,0.004371500015258789,0.003789949417114258,0.6177310924369748,0.6558823529411765,0.752774806892454,0.6558823529411765,0.9090909090909091,0.8666666666666667,1.0,0.9285714285714286,0.821020142307163,1.0,0.7777777777777778
LinearDiscriminantAnalysis,0.011284542083740235,0.006632280349731445,0.6745245466607696,0.6772058823529411,0.6784534419828537,0.6772058823529411,0.6363636363636364,0.8571428571428571,0.46153846153846156,0.6,0.369910174006524,0.46153846153846156,0.8888888888888888
QuadraticDiscriminantAnalysis,0.007258272171020508,0.006734895706176758,0.5938323637147167,0.6294117647058824,0.6003713606654782,0.6294117647058824,0.7272727272727273,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.5042735042735043,0.6153846153846154,0.8888888888888888
SVC,0.0030505180358886717,0.007655477523803711,0.38546551487727954,0.5,0.33858131487889276,0.5,0.5,1.0,0.15384615384615385,0.26666666666666666,0.26311740579210874,0.15384615384615385,1.0
KNeighborsClassifier,0.0005736351013183594,0.004428386688232422,0.6071286058282963,0.6088235294117647,0.6158169934640523,0.6088235294117647,0.7727272727272727,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5241424183609591,0.8461538461538461,0.6666666666666666
GaussianNB,0.0011532306671142578,0.004410600662231446,0.6057738510423933,0.6316176470588235,0.6658636788048552,0.6316176470588235,0.8636363636363636,0.8125,1.0,0.896551724137931,0.7359800721939873,1.0,0.6666666666666666
DecisionTreeClassifier,0.02344503402709961,0.004296588897705078,0.7108108884579473,0.7147058823529411,0.7271377641965877,0.7147058823529411,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTreeClassifier,0.0008388519287109375,0.00419011116027832,0.6408956214064572,0.6433823529411764,0.6483218742042272,0.6433823529411764,0.9545454545454546,1.0,0.9230769230769231,0.96,0.9114654303752999,0.9230769230769231,1.0
RandomForestClassifier,0.09020752906799316,0.01644864082336426,0.7345201238390093,0.7382352941176471,0.748770902300314,0.7382352941176471,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BaggingClassifier,0.03954763412475586,0.02653369903564453,0.7371797517927549,0.7397058823529411,0.7531932773109243,0.7397058823529411,0.9090909090909091,1.0,0.8461538461538461,0.9166666666666666,0.8320502943378437,0.8461538461538461,1.0
AdaBoostClassifier,0.41807236671447756,0.00803236961364746,0.7001914098972921,0.7036764705882352,0.7253051523639759,0.7036764705882352,0.9545454545454546,1.0,0.9230769230769231,0.96,0.9114654303752999,0.9230769230769231,1.0
GradientBoostingClassifier,1.8686946392059327,0.003921365737915039,0.7113772175536881,0.713235294117647,0.723885918003565,0.713235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HistGradientBoostingClassifier,0.1113065242767334,0.005633878707885742,0.724719150818222,0.7264705882352941,0.7385918003565062,0.7264705882352941,0.9545454545454546,1.0,0.9230769230769231,0.96,0.9114654303752999,0.9230769230769231,1.0
ExtraTrees-ensemble,0.06452775001525879,0.016122865676879882,0.7218667142970548,0.7279411764705882,0.7523529411764706,0.7279411764705882,0.9090909090909091,1.0,0.8461538461538461,0.9166666666666666,0.8320502943378437,0.8461538461538461,1.0
XGBClassifier,0.0927431583404541,0.00626668930053711,0.713641210870313,0.7147058823529411,0.7171942110177405,0.7147058823529411,0.9545454545454546,1.0,0.9230769230769231,0.96,0.9114654303752999,0.9230769230769231,1.0
LGBMClassifier,0.053957033157348636,0.0076081275939941405,0.6755929038281979,0.6794117647058824,0.7014171122994652,0.6794117647058824,0.9545454545454546,1.0,0.9230769230769231,0.96,0.9114654303752999,0.9230769230769231,1.0
