algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.005675029754638672,0.005112266540527344,0.8925662572721397,0.8941176470588236,0.9053921568627452,0.8941176470588236,0.8636363636363636,0.7272727272727273,1.0,0.8421052631578947,0.7559289460184545,1.0,0.7857142857142857
RidgeClassifier,0.001990079879760742,0.004277229309082031,0.857469654528478,0.8580882352941177,0.8696150846702316,0.8580882352941177,0.8181818181818182,0.7,0.875,0.7777777777777778,0.6383106423916777,0.875,0.7857142857142857
LogisticRegression,0.02552504539489746,0.004035425186157226,0.8781673924630582,0.8808823529411764,0.8974072659366777,0.8808823529411764,0.8181818181818182,0.6666666666666666,1.0,0.8,0.6900655593423543,1.0,0.7142857142857143
SGDClassifier,0.0026957511901855467,0.0034630298614501953,0.8523511610508514,0.8566176470588236,0.8773963046757164,0.8566176470588236,0.8181818181818182,0.6666666666666666,1.0,0.8,0.6900655593423543,1.0,0.7142857142857143
LinearDiscriminantAnalysis,0.011140251159667968,0.006456518173217773,0.8071809425524595,0.8080882352941176,0.8252941441728205,0.8080882352941176,0.6818181818181818,0.5454545454545454,0.75,0.631578947368421,0.37796447300922725,0.75,0.6428571428571429
QuadraticDiscriminantAnalysis,0.008381843566894531,0.007117128372192383,0.7942672858617131,0.7955882352941176,0.8088286223580342,0.7955882352941176,0.7272727272727273,0.625,0.625,0.625,0.4107142857142857,0.625,0.7857142857142857
SVC,0.0028644084930419924,0.007167816162109375,0.7177839807251571,0.75,0.8349568078979843,0.75,0.5454545454545454,0.4444444444444444,1.0,0.6153846153846154,0.3563483225498992,1.0,0.2857142857142857
KNeighborsClassifier,0.0006145954132080079,0.0048504829406738285,0.8212243844906382,0.8220588235294116,0.8290026313555725,0.8220588235294116,0.7727272727272727,0.6363636363636364,0.875,0.7368421052631579,0.5669467095138409,0.875,0.7142857142857143
GaussianNB,0.0009979248046875,0.003739023208618164,0.6958059587471352,0.7264705882352941,0.8035842588783764,0.7264705882352941,0.5909090909090909,0.47058823529411764,1.0,0.64,0.4099600308453939,1.0,0.35714285714285715
DecisionTreeClassifier,0.013962268829345703,0.0036130428314208986,0.8924874970231006,0.8933823529411764,0.9055652109328578,0.8933823529411764,0.8636363636363636,0.7272727272727273,1.0,0.8421052631578947,0.7559289460184545,1.0,0.7857142857142857
ExtraTreeClassifier,0.0007069110870361328,0.00360255241394043,0.7845356037151703,0.7867647058823529,0.8049949070537306,0.7867647058823529,0.9090909090909091,0.8,1.0,0.8888888888888888,0.8280786712108251,1.0,0.8571428571428571
RandomForestClassifier,0.09357671737670899,0.016443967819213867,0.8881661037620789,0.8926470588235293,0.912848621966269,0.8926470588235293,0.8181818181818182,0.6666666666666666,1.0,0.8,0.6900655593423543,1.0,0.7142857142857143
BaggingClassifier,0.03679113388061524,0.025450754165649413,0.876401397879726,0.8808823529411764,0.9023911056263998,0.8808823529411764,0.8181818181818182,0.7,0.875,0.7777777777777778,0.6383106423916777,0.875,0.7857142857142857
AdaBoostClassifier,0.4775726795196533,0.009200859069824218,0.8922326933472444,0.8933823529411764,0.905465049656226,0.8933823529411764,0.8636363636363636,0.7777777777777778,0.875,0.8235294117647058,0.7163279717599775,0.875,0.8571428571428571
GradientBoostingClassifier,1.6131240844726562,0.004297399520874023,0.9292483660130719,0.9294117647058824,0.9365686274509804,0.9294117647058824,0.8181818181818182,0.7,0.875,0.7777777777777778,0.6383106423916777,0.875,0.7857142857142857
HistGradientBoostingClassifier,0.10935206413269043,0.005400371551513672,0.8924049376835754,0.8933823529411764,0.9054344919786097,0.8933823529411764,0.8636363636363636,0.7272727272727273,1.0,0.8421052631578947,0.7559289460184545,1.0,0.7857142857142857
ExtraTrees-ensemble,0.066357421875,0.017244720458984376,0.8781673924630582,0.8808823529411764,0.8974072659366777,0.8808823529411764,0.9090909090909091,0.8,1.0,0.8888888888888888,0.8280786712108251,1.0,0.8571428571428571
XGBClassifier,0.0652134895324707,0.006096553802490234,0.8917179260368115,0.8933823529411764,0.9040203505644682,0.8933823529411764,0.8636363636363636,0.7272727272727273,1.0,0.8421052631578947,0.7559289460184545,1.0,0.7857142857142857
LGBMClassifier,0.055847978591918944,0.008008384704589843,0.9033612878349718,0.9051470588235293,0.917704248366013,0.9051470588235293,0.8181818181818182,0.6666666666666666,1.0,0.8,0.6900655593423543,1.0,0.7142857142857143
