algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.0042362213134765,0.0048949241638183,0.7509861311718897,0.7632352941176471,0.8199870717517778,0.7632352941176471,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5002975305232068,0.9,0.5833333333333334,plusrnn,Embedding-based
RidgeClassifier,0.0018929958343505,0.0043192386627197,0.8015186121068474,0.8102941176470587,0.8578200557612321,0.8102941176470587,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5002975305232068,0.9,0.5833333333333334,plusrnn,Embedding-based
LogisticRegression,0.0114906787872314,0.0048708438873291,0.7647645096561505,0.775,0.8260956690368456,0.775,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5002975305232068,0.9,0.5833333333333334,plusrnn,Embedding-based
SGDClassifier,0.0033370971679687,0.0043819427490234,0.780190805066966,0.7867647058823529,0.8257476836888602,0.7867647058823529,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0103203773498535,0.0066276550292968,0.6575279553607727,0.6676470588235295,0.6621741004093945,0.6676470588235295,0.6818181818181818,0.6666666666666666,0.6,0.631578947368421,0.3544587784792833,0.6,0.75,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0067281246185302,0.0069735527038574,0.6839977171091722,0.6897058823529412,0.71449873655756,0.6897058823529412,0.6363636363636364,0.6666666666666666,0.4,0.5,0.2608745973749754,0.4,0.8333333333333334,plusrnn,Embedding-based
SVC,0.0042266368865966,0.0090364933013916,0.7913547821287759,0.7985294117647059,0.8394235176588118,0.7985294117647059,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5002975305232068,0.9,0.5833333333333334,plusrnn,Embedding-based
KNeighborsClassifier,0.0006663799285888,0.0052242755889892,0.8675849314084608,0.8698529411764705,0.8901931075460487,0.8698529411764705,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
GaussianNB,0.0011341571807861,0.0044744491577148,0.7886446886446887,0.7970588235294118,0.8450089126559714,0.7970588235294118,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5002975305232068,0.9,0.5833333333333334,plusrnn,Embedding-based
DecisionTreeClassifier,0.0161713123321533,0.004309606552124,0.7692237947810703,0.775,0.798921568627451,0.775,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
ExtraTreeClassifier,0.0007778167724609,0.0041547298431396,0.7714774681802545,0.7742647058823529,0.7822391987097868,0.7742647058823529,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
RandomForestClassifier,0.0923895835876464,0.0163327693939209,0.8926762985896113,0.8933823529411764,0.906031746031746,0.8933823529411764,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
BaggingClassifier,0.0297072887420654,0.0148315906524658,0.8435714285714285,0.8455882352941175,0.8624183006535947,0.8455882352941175,0.8181818181818182,0.75,0.9,0.8181818181818182,0.65,0.9,0.75,plusrnn,Embedding-based
AdaBoostClassifier,0.3418444156646728,0.008077049255371,0.8562401478810149,0.8580882352941176,0.8702801120448178,0.8580882352941176,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
GradientBoostingClassifier,1.4545039653778076,0.003915786743164,0.7582072829131652,0.763235294117647,0.7828940667175962,0.763235294117647,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0707264900207519,0.0054420471191406,0.8078664799253034,0.8088235294117647,0.8168627450980391,0.8088235294117647,0.8181818181818182,0.75,0.9,0.8181818181818182,0.65,0.9,0.75,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0639517784118652,0.0225829124450683,0.893250773993808,0.8933823529411764,0.8972549019607843,0.8933823529411764,0.9090909090909092,0.8333333333333334,1.0,0.9090909090909092,0.8333333333333334,1.0,0.8333333333333334,plusrnn,Embedding-based
XGBClassifier,0.0547085762023925,0.0060664176940917,0.8207548282470883,0.8227941176470587,0.836085221967575,0.8227941176470587,0.8181818181818182,0.75,0.9,0.8181818181818182,0.65,0.9,0.75,plusrnn,Embedding-based
LGBMClassifier,0.0558078289031982,0.0079777717590332,0.8087281930315985,0.8110294117647058,0.8230574654104066,0.8110294117647058,0.8636363636363636,0.8181818181818182,0.9,0.8571428571428571,0.7302967433402214,0.9,0.8333333333333334,plusrnn,Embedding-based
GaussianProcessClassifier,0.0034908294677734,0.004175853729248,0.7479888681934719,0.7632352941176471,0.8263477698771817,0.7632352941176471,0.6363636363636364,0.5625,0.9,0.6923076923076923,0.3540440964374667,0.9,0.4166666666666667,plusrnn,Embedding-based
RidgeClassifier,0.0015929698944091,0.0036105632781982,0.7746806616156461,0.7867647058823529,0.8440206851971558,0.7867647058823529,0.5909090909090909,0.5333333333333333,0.8,0.64,0.2316264096574344,0.8,0.4166666666666667,plusrnn,Embedding-based
LogisticRegression,0.01150803565979,0.0048285484313964,0.736224162311119,0.7514705882352942,0.8155634561516913,0.7514705882352942,0.6363636363636364,0.5625,0.9,0.6923076923076923,0.3540440964374667,0.9,0.4166666666666667,plusrnn,Embedding-based
SGDClassifier,0.0033344745635986,0.004119873046875,0.5990652513158907,0.6536764705882353,0.7982805429864251,0.6536764705882353,0.5909090909090909,0.6666666666666666,0.2,0.3076923076923077,0.169277791692336,0.2,0.9166666666666666,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0112813472747802,0.0069368362426757,0.7078467284349638,0.7147058823529412,0.7273949579831933,0.7147058823529412,0.4090909090909091,0.2857142857142857,0.2,0.2352941176470588,-0.2316264096574344,0.2,0.5833333333333334,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0070991992950439,0.0068110942840576,0.6839342700643011,0.6919117647058823,0.715390132743074,0.6919117647058823,0.4090909090909091,0.2857142857142857,0.2,0.2352941176470588,-0.2316264096574344,0.2,0.5833333333333334,plusrnn,Embedding-based
SVC,0.0028027534484863,0.0076125144958496,0.7746806616156461,0.7867647058823529,0.8440206851971558,0.7867647058823529,0.6363636363636364,0.5625,0.9,0.6923076923076923,0.3540440964374667,0.9,0.4166666666666667,plusrnn,Embedding-based
KNeighborsClassifier,0.0007910728454589,0.005834674835205,0.7660045630324268,0.7742647058823529,0.8133031674208144,0.7742647058823529,0.5909090909090909,0.5384615384615384,0.7,0.6086956521739131,0.2025478734167333,0.7,0.5,plusrnn,Embedding-based
GaussianNB,0.0009350776672363,0.0036643981933593,0.7746806616156461,0.7867647058823529,0.8440206851971558,0.7867647058823529,0.6363636363636364,0.5625,0.9,0.6923076923076923,0.3540440964374667,0.9,0.4166666666666667,plusrnn,Embedding-based
DecisionTreeClassifier,0.0164657115936279,0.0036789894104003,0.6684401463241145,0.6794117647058824,0.6894957983193277,0.6794117647058824,0.5454545454545454,0.5,0.5,0.5,0.0833333333333333,0.5,0.5833333333333334,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008025646209716,0.0036985874176025,0.7064044727202622,0.7139705882352941,0.7240310669722435,0.7139705882352941,0.7272727272727273,0.7,0.7,0.7,0.45,0.7,0.75,plusrnn,Embedding-based
RandomForestClassifier,0.0916804790496826,0.0165815353393554,0.7807612322318204,0.7867647058823529,0.8189007397830927,0.7867647058823529,0.5909090909090909,0.5333333333333333,0.8,0.64,0.2316264096574344,0.8,0.4166666666666667,plusrnn,Embedding-based
BaggingClassifier,0.0318329811096191,0.0149083137512207,0.700297066194899,0.7036764705882353,0.7151116204057381,0.7036764705882353,0.6363636363636364,0.6,0.6,0.6,0.2666666666666666,0.6,0.6666666666666666,plusrnn,Embedding-based
AdaBoostClassifier,0.3514092445373535,0.0081526279449462,0.7634093953787049,0.775,0.8228829993535876,0.775,0.5454545454545454,0.5,0.7,0.5833333333333334,0.1207614728849119,0.7,0.4166666666666667,plusrnn,Embedding-based
GradientBoostingClassifier,1.67424373626709,0.003889513015747,0.6866552882961552,0.6911764705882353,0.6941176470588235,0.6911764705882353,0.5,0.4444444444444444,0.4,0.4210526315789473,-0.0168789894513944,0.4,0.5833333333333334,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0700878143310546,0.0053530693054199,0.7804391033802798,0.7860294117647058,0.8140221216691804,0.7860294117647058,0.6818181818181818,0.6363636363636364,0.7,0.6666666666666666,0.3651483716701107,0.7,0.6666666666666666,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0640018463134765,0.0160847187042236,0.8053425006366183,0.8095588235294118,0.8304523907465085,0.8095588235294118,0.6363636363636364,0.5833333333333334,0.7,0.6363636363636364,0.2833333333333333,0.7,0.5833333333333334,plusrnn,Embedding-based
XGBClassifier,0.0648725032806396,0.0060237884521484,0.7690739257302724,0.775,0.8044516268045679,0.775,0.5,0.4615384615384615,0.6,0.5217391304347826,0.0168789894513944,0.6,0.4166666666666667,plusrnn,Embedding-based
LGBMClassifier,0.0483025550842285,0.0067266941070556,0.7176560637430203,0.7264705882352941,0.7518894830659536,0.7264705882352941,0.6363636363636364,0.5714285714285714,0.8,0.6666666666666666,0.3105295017040594,0.8,0.5,plusrnn,Embedding-based
GaussianProcessClassifier,0.0042284965515136,0.0049756050109863,0.7033473200346265,0.713970588235294,0.7389749466220055,0.713970588235294,0.9545454545454546,0.9285714285714286,1.0,0.9629629629629628,0.908513525158996,1.0,0.8888888888888888,plusrnn,Embedding-based
RidgeClassifier,0.0018836021423339,0.004269790649414,0.681267327443798,0.6904411764705882,0.7005002840296959,0.6904411764705882,0.9545454545454546,1.0,0.9230769230769232,0.96,0.9114654303753,0.9230769230769232,1.0,plusrnn,Embedding-based
LogisticRegression,0.0114351749420166,0.0039897918701171,0.6956012580470785,0.7022058823529411,0.7160122230710465,0.7022058823529411,0.9545454545454546,0.9285714285714286,1.0,0.9629629629629628,0.908513525158996,1.0,0.8888888888888888,plusrnn,Embedding-based
SGDClassifier,0.0037162780761718,0.0043334484100341,0.7544849423022798,0.7625,0.770757738993033,0.7625,0.5909090909090909,1.0,0.3076923076923077,0.4705882352941176,0.3922322702763681,0.3076923076923077,1.0,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0102433681488037,0.0064433574676513,0.7060010096542605,0.7147058823529411,0.7520044661221131,0.7147058823529411,0.7727272727272727,1.0,0.6153846153846154,0.7619047619047619,0.628970902033151,0.6153846153846154,1.0,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.006565237045288,0.0067263126373291,0.7605274773386228,0.7713235294117646,0.788656441597618,0.7713235294117646,0.8181818181818182,0.9090909090909092,0.7692307692307693,0.8333333333333334,0.647150228929434,0.7692307692307693,0.8888888888888888,plusrnn,Embedding-based
SVC,0.0026506900787353,0.0072590827941894,0.6118860566902026,0.6433823529411764,0.6842475171886937,0.6433823529411764,0.8636363636363636,0.8125,1.0,0.896551724137931,0.7359800721939873,1.0,0.6666666666666666,plusrnn,Embedding-based
KNeighborsClassifier,0.0007665634155273,0.0064249992370605,0.6630099759201926,0.6794117647058824,0.7336185383244206,0.6794117647058824,0.9090909090909092,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.811965811965812,0.9230769230769232,0.8888888888888888,plusrnn,Embedding-based
GaussianNB,0.0009411334991455,0.0036993026733398,0.6980201824319472,0.7264705882352941,0.8165460030165912,0.7264705882352941,0.8636363636363636,0.8125,1.0,0.896551724137931,0.7359800721939873,1.0,0.6666666666666666,plusrnn,Embedding-based
DecisionTreeClassifier,0.0155444622039794,0.0046206474304199,0.6939972480220157,0.7014705882352942,0.7190913335030983,0.7014705882352942,0.8181818181818182,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6239316239316239,0.8461538461538461,0.7777777777777778,plusrnn,Embedding-based
ExtraTreeClassifier,0.0006718158721923,0.0035127162933349,0.6419739393733201,0.6448529411764705,0.6564468211527035,0.6448529411764705,0.9090909090909092,1.0,0.8461538461538461,0.9166666666666666,0.8320502943378437,0.8461538461538461,1.0,plusrnn,Embedding-based
RandomForestClassifier,0.0936551094055175,0.016379165649414,0.7811709326105611,0.786029411764706,0.8162745098039215,0.786029411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
BaggingClassifier,0.031666612625122,0.0150234222412109,0.7421719457013574,0.7492647058823529,0.7770588235294118,0.7492647058823529,0.8636363636363636,0.9166666666666666,0.8461538461538461,0.88,0.725796546409961,0.8461538461538461,0.8888888888888888,plusrnn,Embedding-based
AdaBoostClassifier,0.344297981262207,0.0083507061004638,0.7937610050767945,0.7977941176470588,0.823738222561752,0.7977941176470588,0.8636363636363636,0.9166666666666666,0.8461538461538461,0.88,0.725796546409961,0.8461538461538461,0.8888888888888888,plusrnn,Embedding-based
GradientBoostingClassifier,1.488968563079834,0.0039328575134277,0.7002390780873753,0.7014705882352941,0.7028151260504202,0.7014705882352941,0.6363636363636364,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.2773500981126146,0.6153846153846154,0.6666666666666666,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0661946773529052,0.0053522586822509,0.7662332060784072,0.7742647058823529,0.8048222365869424,0.7742647058823529,0.9090909090909092,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.811965811965812,0.9230769230769232,0.8888888888888888,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0641490936279296,0.0162455081939697,0.8064052098572223,0.8102941176470588,0.834331550802139,0.8102941176470588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
XGBClassifier,0.0644043922424316,0.0061897277832031,0.7947137829490771,0.7970588235294118,0.8113398692810456,0.7970588235294118,0.8636363636363636,0.9166666666666666,0.8461538461538461,0.88,0.725796546409961,0.8461538461538461,0.8888888888888888,plusrnn,Embedding-based
LGBMClassifier,0.0459760189056396,0.0071272850036621,0.7931050476870911,0.7970588235294118,0.8107749766573296,0.7970588235294118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
GaussianProcessClassifier,0.00425705909729,0.0049796104431152,0.7629311246029513,0.7727941176470589,0.8177679836503365,0.7727941176470589,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.8,plusrnn,Embedding-based
RidgeClassifier,0.0019074916839599,0.0043315410614013,0.7896918767507003,0.7970588235294118,0.8357100415923945,0.7970588235294118,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.8,plusrnn,Embedding-based
LogisticRegression,0.011396312713623,0.0043104648590087,0.767875571281144,0.773529411764706,0.8023970800441388,0.773529411764706,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.8,plusrnn,Embedding-based
SGDClassifier,0.002721881866455,0.0041913032531738,0.7663994909384598,0.7742647058823529,0.8058908411849588,0.7742647058823529,0.7727272727272727,1.0,0.5833333333333334,0.7368421052631579,0.6236095644623235,0.5833333333333334,1.0,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0108557224273681,0.0068143844604492,0.6997336478451028,0.7029411764705882,0.7093404634581104,0.7029411764705882,0.8636363636363636,1.0,0.75,0.8571428571428571,0.7595545253127499,0.75,1.0,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0063973426818847,0.0067214488983154,0.7225030490665165,0.7272058823529413,0.7425095166271637,0.7272058823529413,0.6818181818181818,0.6923076923076923,0.75,0.72,0.3544587784792833,0.75,0.6,plusrnn,Embedding-based
SVC,0.0024553298950195,0.0071459770202636,0.798476360241066,0.8080882352941176,0.8570957147427734,0.8080882352941176,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.8,plusrnn,Embedding-based
KNeighborsClassifier,0.0006898880004882,0.0083912372589111,0.8180519927269152,0.8205882352941176,0.8376024955436719,0.8205882352941176,0.8636363636363636,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.7302967433402214,0.8333333333333334,0.9,plusrnn,Embedding-based
GaussianNB,0.0010956764221191,0.0043451786041259,0.7752737458619812,0.7845588235294118,0.829868823986471,0.7845588235294118,0.8636363636363636,0.8461538461538461,0.9166666666666666,0.88,0.725796546409961,0.9166666666666666,0.8,plusrnn,Embedding-based
DecisionTreeClassifier,0.0181246280670166,0.0043798446655273,0.7724089635854342,0.7735294117647059,0.7818674136321195,0.7735294117647059,0.8181818181818182,0.9,0.75,0.8181818181818182,0.65,0.75,0.9,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008076667785644,0.0042191505432128,0.7244255245958031,0.725,0.7293697478991596,0.725,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.8,plusrnn,Embedding-based
RandomForestClassifier,0.0941206932067871,0.0165779113769531,0.8288910813988213,0.8323529411764706,0.8440196078431372,0.8323529411764706,0.9090909090909092,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8166666666666667,0.9166666666666666,0.9,plusrnn,Embedding-based
BaggingClassifier,0.0315883159637451,0.0146741867065429,0.8287259627197707,0.8323529411764706,0.8410644257703079,0.8323529411764706,0.8636363636363636,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.7302967433402214,0.8333333333333334,0.9,plusrnn,Embedding-based
