algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002464485168457031,0.00393381118774414,0.6470642876215631,0.6669117647058824,0.739778848602378,0.6669117647058824,0.6363636363636364,0.6666666666666666,0.5454545454545454,0.6,0.2773500981126146,0.5454545454545454,0.7272727272727273
RidgeClassifier,0.0013782024383544923,0.0035668373107910155,0.668080383668619,0.6779411764705883,0.7135841609371021,0.6779411764705883,0.6363636363636364,0.6666666666666666,0.5454545454545454,0.6,0.2773500981126146,0.5454545454545454,0.7272727272727273
LogisticRegression,0.011550140380859376,0.005077981948852539,0.6250442488368184,0.6426470588235295,0.707181348063701,0.6426470588235295,0.6363636363636364,0.6666666666666666,0.5454545454545454,0.6,0.2773500981126146,0.5454545454545454,0.7272727272727273
SGDClassifier,0.0026506900787353514,0.004489469528198242,0.5272835523609517,0.6080882352941177,0.5511575621610223,0.6080882352941177,0.5909090909090909,0.55,1.0,0.7096774193548387,0.31622776601683794,1.0,0.18181818181818182
LinearDiscriminantAnalysis,0.00637350082397461,0.006763839721679687,0.6617417223299575,0.6683823529411764,0.6702554961378491,0.6683823529411764,0.7272727272727273,0.6923076923076923,0.8181818181818182,0.75,0.46225016352102427,0.8181818181818182,0.6363636363636364
QuadraticDiscriminantAnalysis,0.004132747650146484,0.006733083724975586,0.6135172154986398,0.6198529411764706,0.6277400703871292,0.6198529411764706,0.6363636363636364,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.2773500981126146,0.7272727272727273,0.5454545454545454
SVC,0.0020038604736328123,0.007054471969604492,0.36594117647058827,0.5014705882352941,0.30216262975778546,0.5014705882352941,0.5909090909090909,0.625,0.45454545454545453,0.5263157894736842,0.18898223650461363,0.45454545454545453,0.7272727272727273
KNeighborsClassifier,0.0006151199340820312,0.0045741558074951175,0.7590083050764165,0.7617647058823529,0.7824603174603174,0.7617647058823529,0.5909090909090909,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.18257418583505536,0.6363636363636364,0.5454545454545454
GaussianNB,0.0008069515228271484,0.0036581993103027345,0.8196078431372549,0.8213235294117647,0.8322599949070538,0.8213235294117647,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3651483716701107,0.7272727272727273,0.6363636363636364
DecisionTreeClassifier,0.007802581787109375,0.0035823822021484376,0.8084932920536636,0.8088235294117647,0.8106722689075629,0.8088235294117647,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.647150228929434,0.9090909090909091,0.7272727272727273
ExtraTreeClassifier,0.000641775131225586,0.0035394668579101563,0.694501582009322,0.7014705882352941,0.7337105051810935,0.7014705882352941,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
RandomForestClassifier,0.0928809642791748,0.01644411087036133,0.8048179271708683,0.8080882352941176,0.8281724811136575,0.8080882352941176,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
BaggingClassifier,0.02186756134033203,0.018208932876586915,0.7813025210084034,0.7838235294117647,0.8037878787878787,0.7838235294117647,0.8636363636363636,0.7857142857142857,1.0,0.88,0.7559289460184545,1.0,0.7272727272727273
AdaBoostClassifier,0.22585864067077638,0.008981037139892577,0.8314376627844119,0.8323529411764705,0.8431529581529581,0.8323529411764705,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
GradientBoostingClassifier,0.9309161186218262,0.00431218147277832,0.7616924664602683,0.7625,0.7654761904761905,0.7625,0.6818181818181818,0.7,0.6363636363636364,0.6666666666666666,0.3651483716701107,0.6363636363636364,0.7272727272727273
HistGradientBoostingClassifier,0.0476435661315918,0.005428695678710937,0.8297913902403066,0.8308823529411764,0.8358615567439097,0.8308823529411764,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.48795003647426655,0.9090909090909091,0.5454545454545454
ExtraTrees-ensemble,0.06452155113220215,0.016048955917358398,0.8295385522630104,0.8316176470588236,0.8468177574059927,0.8316176470588236,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
XGBClassifier,0.03655133247375488,0.006158113479614258,0.8184466067128605,0.8198529411764705,0.8302724726254137,0.8198529411764705,0.8636363636363636,0.7857142857142857,1.0,0.88,0.7559289460184545,1.0,0.7272727272727273
LGBMClassifier,0.02530083656311035,0.006237316131591797,0.8295752012005883,0.8316176470588236,0.8480625583566759,0.8316176470588236,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.647150228929434,0.9090909090909091,0.7272727272727273
