algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0018881797790527345,0.003688144683837891,0.40184763233356585,0.499264705882353,0.5494117647058824,0.499264705882353,0.7272727272727273,1.0,0.3333333333333333,0.5,0.47756693294091923,0.3333333333333333,1.0
RidgeClassifier,0.0015000343322753907,0.004146099090576172,0.5416659295297066,0.5477941176470588,0.5562787539258128,0.5477941176470588,0.4090909090909091,0.3333333333333333,0.4444444444444444,0.38095238095238093,-0.16878989451394444,0.4444444444444444,0.38461538461538464
LogisticRegression,0.017568635940551757,0.004978847503662109,0.6162263879910939,0.6205882352941177,0.6323291740938799,0.6205882352941177,0.45454545454545453,0.4,0.6666666666666666,0.5,-0.02706659809803834,0.6666666666666666,0.3076923076923077
SGDClassifier,0.0008001327514648438,0.0037105560302734377,0.33374358974358975,0.5,0.25069204152249136,0.5,0.4090909090909091,0.4090909090909091,1.0,0.5806451612903226,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.0010829448699951171,0.0038526058197021484,0.5755494505494505,0.5838235294117647,0.5816993464052288,0.5838235294117647,0.45454545454545453,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.05982905982905983,0.5555555555555556,0.38461538461538464
QuadraticDiscriminantAnalysis,0.0008753299713134766,0.003937196731567383,0.6603247846214597,0.6889705882352941,0.740844645550528,0.6889705882352941,0.5909090909090909,0.5,0.7777777777777778,0.6086956521739131,0.24459979523511427,0.7777777777777778,0.46153846153846156
SVC,0.000809335708618164,0.0037717342376708983,0.35434087481146304,0.5117647058823529,0.2711072664359862,0.5117647058823529,0.4090909090909091,0.4090909090909091,1.0,0.5806451612903226,0.0,1.0,0.0
KNeighborsClassifier,0.0005900859832763672,0.004707813262939453,0.5028157875835895,0.511764705882353,0.5151604278074866,0.511764705882353,0.5,0.4375,0.7777777777777778,0.56,0.09435641951204965,0.7777777777777778,0.3076923076923077
GaussianNB,0.0006684303283691406,0.003621482849121094,0.6385116225363904,0.6529411764705882,0.6688167061696474,0.6529411764705882,0.5,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.016878989451394443,0.5555555555555556,0.46153846153846156
DecisionTreeClassifier,0.0011053085327148438,0.003569936752319336,0.6293137254901962,0.6308823529411764,0.6303781512605042,0.6308823529411764,0.5,0.4,0.4444444444444444,0.42105263157894735,-0.016878989451394443,0.4444444444444444,0.5384615384615384
ExtraTreeClassifier,0.0005589008331298828,0.0035291671752929687,0.6879301194161874,0.7036764705882352,0.7390387063916475,0.7036764705882352,0.5,0.4,0.4444444444444444,0.42105263157894735,-0.016878989451394443,0.4444444444444444,0.5384615384615384
RandomForestClassifier,0.08818340301513672,0.01635150909423828,0.751835739080321,0.7610294117647058,0.7902270278740868,0.7610294117647058,0.5909090909090909,0.5,0.5555555555555556,0.5263157894736842,0.16878989451394444,0.5555555555555556,0.6153846153846154
BaggingClassifier,0.011495685577392578,0.01510920524597168,0.6790880945679707,0.6889705882352941,0.6971514759750054,0.6889705882352941,0.5909090909090909,0.5,0.4444444444444444,0.47058823529411764,0.13977131156292244,0.4444444444444444,0.6923076923076923
AdaBoostClassifier,0.06031022071838379,0.00889592170715332,0.6374149740868007,0.6426470588235295,0.638781512605042,0.6426470588235295,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.1282051282051282,0.6666666666666666,0.46153846153846156
GradientBoostingClassifier,0.1146456241607666,0.004552173614501953,0.6848741763912042,0.6889705882352941,0.6925286478227655,0.6889705882352941,0.5909090909090909,0.5,0.5555555555555556,0.5263157894736842,0.16878989451394444,0.5555555555555556,0.6153846153846154
HistGradientBoostingClassifier,0.020816755294799805,0.005612945556640625,0.6444611528822055,0.6544117647058824,0.6650522026992615,0.6544117647058824,0.45454545454545453,0.36363636363636365,0.4444444444444444,0.4,-0.09245003270420485,0.4444444444444444,0.46153846153846156
ExtraTrees-ensemble,0.06407642364501953,0.01627936363220215,0.7433320858707856,0.7485294117647059,0.7588727612257025,0.7485294117647059,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.3162393162393162,0.7777777777777778,0.5384615384615384
XGBClassifier,0.018630361557006835,0.005831718444824219,0.6518732248144012,0.6654411764705882,0.6788728918140683,0.6654411764705882,0.5909090909090909,0.5,0.5555555555555556,0.5263157894736842,0.16878989451394444,0.5555555555555556,0.6153846153846154
LGBMClassifier,0.01672701835632324,0.007563924789428711,0.6875085698615111,0.7022058823529412,0.7384288587229764,0.7022058823529412,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.1282051282051282,0.3333333333333333,0.5384615384615384
