algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003338527679443359,0.003978872299194336,0.6874508360576472,0.7022058823529411,0.7436363636363635,0.7022058823529411,0.5454545454545454,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.23063512107853829,0.8888888888888888,0.3076923076923077
RidgeClassifier,0.0015797138214111329,0.0036162853240966795,0.7530672423551681,0.7617647058823529,0.8024068088773971,0.7617647058823529,0.5454545454545454,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.23063512107853829,0.8888888888888888,0.3076923076923077
LogisticRegression,0.011405420303344727,0.004499626159667969,0.6874508360576472,0.7022058823529411,0.7436363636363635,0.7022058823529411,0.5454545454545454,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.23063512107853829,0.8888888888888888,0.3076923076923077
SGDClassifier,0.002771472930908203,0.0039943218231201175,0.657345293016312,0.6794117647058824,0.7086172650878533,0.6794117647058824,0.5454545454545454,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.23063512107853829,0.8888888888888888,0.3076923076923077
LinearDiscriminantAnalysis,0.008684062957763672,0.006821060180664062,0.6395297066194898,0.6441176470588236,0.6597046091163737,0.6441176470588236,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.1282051282051282,0.6666666666666666,0.46153846153846156
QuadraticDiscriminantAnalysis,0.005033969879150391,0.006766843795776367,0.6304172951231776,0.6426470588235295,0.6722398190045248,0.6426470588235295,0.6363636363636364,1.0,0.1111111111111111,0.2,0.26226526415648105,0.1111111111111111,1.0
SVC,0.0027226924896240233,0.007458257675170899,0.6779294492916784,0.7029411764705882,0.7688256841198017,0.7029411764705882,0.5454545454545454,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.23063512107853829,0.8888888888888888,0.3076923076923077
KNeighborsClassifier,0.0016968250274658203,0.008640766143798828,0.5668656492697414,0.5948529411764707,0.6103574856516033,0.5948529411764707,0.4090909090909091,0.3888888888888889,0.7777777777777778,0.5185185185185185,-0.0871627267280818,0.7777777777777778,0.15384615384615385
GaussianNB,0.0036240577697753905,0.0060821533203125,0.5085084327437268,0.5830882352941177,0.6997775263951735,0.5830882352941177,0.45454545454545453,0.42857142857142855,1.0,0.6,0.18156825980064073,1.0,0.07692307692307693
DecisionTreeClassifier,0.0062945842742919925,0.003737640380859375,0.5755675765582886,0.5830882352941177,0.5986911128087599,0.5830882352941177,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.1282051282051282,0.3333333333333333,0.5384615384615384
ExtraTreeClassifier,0.0007022380828857422,0.003624725341796875,0.5963882557071412,0.6066176470588236,0.6102062643239113,0.6066176470588236,0.5454545454545454,0.45454545454545453,0.5555555555555556,0.5,0.09245003270420485,0.5555555555555556,0.5384615384615384
RandomForestClassifier,0.0919797420501709,0.016552066802978514,0.7660381104963148,0.7742647058823529,0.7976004387769093,0.7742647058823529,0.4090909090909091,0.35714285714285715,0.5555555555555556,0.43478260869565216,-0.13977131156292244,0.5555555555555556,0.3076923076923077
BaggingClassifier,0.021619653701782225,0.018202447891235353,0.5821335200746965,0.5852941176470587,0.5892479416008827,0.5852941176470587,0.36363636363636365,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.3162393162393162,0.2222222222222222,0.46153846153846156
AdaBoostClassifier,0.1457669258117676,0.008225059509277344,0.6284527495208609,0.6316176470588235,0.6348175027586793,0.6316176470588235,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.6,0.2773500981126146,0.6666666666666666,0.6153846153846154
GradientBoostingClassifier,0.5732978820800781,0.003957939147949219,0.5794584500466853,0.5838235294117646,0.5851358119005178,0.5838235294117646,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.1282051282051282,0.6666666666666666,0.46153846153846156
HistGradientBoostingClassifier,0.0742607593536377,0.005316448211669922,0.6327739975882392,0.6419117647058823,0.6516450216450217,0.6419117647058823,0.5,0.4,0.4444444444444444,0.42105263157894735,-0.016878989451394443,0.4444444444444444,0.5384615384615384
ExtraTrees-ensemble,0.06456184387207031,0.016298389434814452,0.7328454620714682,0.7389705882352942,0.7554570919276802,0.7389705882352942,0.45454545454545453,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.010027613959936446,0.7777777777777778,0.23076923076923078
XGBClassifier,0.05020713806152344,0.006364154815673828,0.6119457769612568,0.6183823529411765,0.637458619811561,0.6183823529411765,0.5454545454545454,0.45454545454545453,0.5555555555555556,0.5,0.09245003270420485,0.5555555555555556,0.5384615384615384
LGBMClassifier,0.02967944145202637,0.007695627212524414,0.5977454949591173,0.6066176470588236,0.6177005347593584,0.6066176470588236,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.1282051282051282,0.6666666666666666,0.46153846153846156
