algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0031311511993408203,0.004807615280151367,0.745702982947565,0.7492647058823529,0.7726305067481538,0.7492647058823529,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.6363636363636364
RidgeClassifier,0.0017066478729248046,0.004337692260742187,0.7474595803233575,0.7485294117647058,0.7639767422120363,0.7485294117647058,0.6818181818181818,0.7,0.6363636363636364,0.6666666666666666,0.3651483716701107,0.6363636363636364,0.7272727272727273
LogisticRegression,0.01143488883972168,0.00474858283996582,0.734421101774043,0.7367647058823529,0.7582726423902895,0.7367647058823529,0.6818181818181818,0.7,0.6363636363636364,0.6666666666666666,0.3651483716701107,0.6363636363636364,0.7272727272727273
SGDClassifier,0.0023514270782470704,0.004524898529052734,0.6472091046208692,0.6904411764705882,0.670502321592287,0.6904411764705882,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3651483716701107,0.7272727272727273,0.6363636363636364
LinearDiscriminantAnalysis,0.0061724185943603516,0.00653681755065918,0.7828013472595515,0.7860294117647058,0.7930718954248366,0.7860294117647058,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.647150228929434,0.9090909090909091,0.7272727272727273
QuadraticDiscriminantAnalysis,0.004101181030273437,0.006610107421875,0.5907120743034057,0.5933823529411766,0.5967490026313556,0.5933823529411766,0.5909090909090909,0.5714285714285714,0.7272727272727273,0.64,0.18898223650461363,0.7272727272727273,0.45454545454545453
SVC,0.0020965576171875,0.007065296173095703,0.6984890634708915,0.7139705882352942,0.7647903403785756,0.7139705882352942,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.6363636363636364
KNeighborsClassifier,0.0011405467987060547,0.007118654251098633,0.7470802005012531,0.75,0.7685434173669468,0.75,0.7272727272727273,0.6923076923076923,0.8181818181818182,0.75,0.46225016352102427,0.8181818181818182,0.6363636363636364
GaussianNB,0.0018328189849853515,0.00526580810546875,0.7693141945773524,0.7742647058823529,0.7978320698908933,0.7742647058823529,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
DecisionTreeClassifier,0.009903240203857421,0.004440021514892578,0.7842311661506708,0.7845588235294118,0.7886181139122316,0.7845588235294118,0.6363636363636364,0.6,0.8181818181818182,0.6923076923076923,0.2927700218845599,0.8181818181818182,0.45454545454545453
ExtraTreeClassifier,0.0007546424865722656,0.004286813735961914,0.8066430782839451,0.8095588235294118,0.8311875053051523,0.8095588235294118,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
RandomForestClassifier,0.09317855834960938,0.017637252807617188,0.7812199616688781,0.7838235294117647,0.8059447415329768,0.7838235294117647,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
BaggingClassifier,0.02908768653869629,0.02230978012084961,0.805858027421495,0.8073529411764706,0.8219289533995416,0.8073529411764706,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.3651483716701107,0.7272727272727273,0.6363636363636364
AdaBoostClassifier,0.19889216423034667,0.00798206329345703,0.9035213032581453,0.9044117647058822,0.9159663865546219,0.9044117647058822,0.6363636363636364,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.2773500981126146,0.7272727272727273,0.5454545454545454
GradientBoostingClassifier,0.8595400810241699,0.003984212875366211,0.7831559290382819,0.7838235294117647,0.7949316696375519,0.7838235294117647,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.46225016352102427,0.6363636363636364,0.8181818181818182
HistGradientBoostingClassifier,0.045989704132080075,0.005446863174438476,0.8414418398938522,0.8448529411764707,0.8767422120363296,0.8448529411764707,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
ExtraTrees-ensemble,0.06496806144714355,0.01621384620666504,0.8667421003489114,0.8683823529411765,0.8891605126899245,0.8683823529411765,0.7272727272727273,0.6923076923076923,0.8181818181818182,0.75,0.46225016352102427,0.8181818181818182,0.6363636363636364
XGBClassifier,0.035101127624511716,0.005963659286499024,0.842891296869625,0.8433823529411765,0.8510037348272641,0.8433823529411765,0.6818181818181818,0.6428571428571429,0.8181818181818182,0.72,0.37796447300922725,0.8181818181818182,0.5454545454545454
LGBMClassifier,0.030398464202880858,0.006415462493896485,0.8559769521843824,0.8566176470588236,0.8653081232492996,0.8566176470588236,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.48795003647426655,0.9090909090909091,0.5454545454545454
