algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.01935291290283203,0.009529972076416015,0.6285225436683237,0.6786764705882352,0.802467679379444,0.6786764705882352,0.6818181818181818,0.5625,1.0,0.72,0.5095246653650681,1.0,0.46153846153846156
RidgeClassifier,0.00868053436279297,0.00698394775390625,0.7203156461253111,0.7382352941176471,0.7781516522692993,0.7382352941176471,0.8181818181818182,0.6923076923076923,1.0,0.8181818181818182,0.6923076923076923,1.0,0.6923076923076923
LogisticRegression,0.12603359222412108,0.017872953414916994,0.6418107638312242,0.6786764705882352,0.7600564141740612,0.6786764705882352,0.7727272727272727,0.6428571428571429,1.0,0.782608695652174,0.628970902033151,1.0,0.6153846153846154
SGDClassifier,0.007134532928466797,0.0038194656372070312,0.7955361631832221,0.8,0.8182072829131652,0.8,0.7727272727272727,0.7,0.7777777777777778,0.7368421052631579,0.5401276624446222,0.7777777777777778,0.7692307692307693
LinearDiscriminantAnalysis,0.14735012054443358,0.01206064224243164,0.6884731436434223,0.6911764705882353,0.7001752822341057,0.6911764705882353,0.5909090909090909,0.5,0.7777777777777778,0.6086956521739131,0.24459979523511427,0.7777777777777778,0.46153846153846156
QuadraticDiscriminantAnalysis,0.033763980865478514,0.009061861038208007,0.6230821397384865,0.6308823529411764,0.6417443340972753,0.6308823529411764,0.5909090909090909,0.5,0.6666666666666666,0.5714285714285714,0.20254787341673333,0.6666666666666666,0.5384615384615384
SVC,0.010539817810058593,0.009956598281860352,0.6086140469362975,0.6669117647058823,0.7984970911441499,0.6669117647058823,0.6363636363636364,0.5294117647058824,1.0,0.6923076923076923,0.4512426281971401,1.0,0.38461538461538464
KNeighborsClassifier,0.00105743408203125,0.005432653427124024,0.6151652269299328,0.6301470588235294,0.6511388611388612,0.6301470588235294,0.7727272727272727,0.7,0.7777777777777778,0.7368421052631579,0.5401276624446222,0.7777777777777778,0.7692307692307693
GaussianNB,0.0036263465881347656,0.0045169353485107425,0.7060483788657164,0.713970588235294,0.7268754774637128,0.713970588235294,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8320502943378437,1.0,0.8461538461538461
DecisionTreeClassifier,0.015325355529785156,0.0039215087890625,0.5351335351954547,0.5485294117647059,0.555650623885918,0.5485294117647059,0.7272727272727273,0.6,1.0,0.75,0.5683985600588052,1.0,0.5384615384615384
ExtraTreeClassifier,0.001590394973754883,0.0038748741149902343,0.6005968352253181,0.6102941176470588,0.6265546218487394,0.6102941176470588,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.6,0.2773500981126146,0.6666666666666666,0.6153846153846154
RandomForestClassifier,0.0922628402709961,0.01645321846008301,0.6748694102146787,0.6919117647058823,0.6966961143431731,0.6919117647058823,0.7272727272727273,0.6,1.0,0.75,0.5683985600588052,1.0,0.5384615384615384
BaggingClassifier,0.13964471817016602,0.051646757125854495,0.6809319112260288,0.6919117647058824,0.731641169288228,0.6919117647058824,0.8636363636363636,0.8,0.8888888888888888,0.8421052631578947,0.725796546409961,0.8888888888888888,0.8461538461538461
AdaBoostClassifier,0.26238489151000977,0.011234045028686523,0.580807391782624,0.5955882352941176,0.6101260504201681,0.5955882352941176,0.7727272727272727,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.573885641347411,0.8888888888888888,0.6923076923076923
GradientBoostingClassifier,1.2370633602142334,0.005314540863037109,0.687874097007224,0.7022058823529411,0.7364582802818097,0.7022058823529411,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5042735042735043,0.8888888888888888,0.6153846153846154
HistGradientBoostingClassifier,1.4961398601531983,0.006748485565185547,0.5582791377420533,0.5852941176470587,0.6025897631779985,0.5852941176470587,0.8181818181818182,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6239316239316239,0.7777777777777778,0.8461538461538461
ExtraTrees-ensemble,0.07729501724243164,0.01734299659729004,0.7108906779495016,0.7264705882352941,0.764630467571644,0.7264705882352941,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.38821675738207223,0.7777777777777778,0.6153846153846154
XGBClassifier,0.18722801208496093,0.007726907730102539,0.6269411960588431,0.6426470588235295,0.6725231631113984,0.6426470588235295,0.8636363636363636,0.75,1.0,0.8571428571428571,0.7595545253127499,1.0,0.7692307692307693
LGBMClassifier,0.042752647399902345,0.007077503204345703,0.6558650812103497,0.6676470588235294,0.6895891690009337,0.6676470588235294,0.8181818181818182,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6239316239316239,0.7777777777777778,0.8461538461538461
