algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.043854808807373045,0.014708900451660156,0.5643118347977684,0.6191176470588236,0.7360698125404006,0.6191176470588236,0.6363636363636364,1.0,0.2,0.3333333333333333,0.3464101615137754,0.2,1.0
RidgeClassifier,0.016827106475830078,0.006996726989746094,0.6282913165266107,0.6301470588235294,0.632692470927765,0.6301470588235294,0.6363636363636364,0.5833333333333334,0.7,0.6363636363636364,0.2833333333333333,0.7,0.5833333333333334
LogisticRegression,0.15942759513854982,0.005782270431518554,0.6275954592363261,0.6294117647058824,0.6368444953739072,0.6294117647058824,0.5909090909090909,0.5454545454545454,0.6,0.5714285714285714,0.18257418583505536,0.6,0.5833333333333334
SGDClassifier,0.02929387092590332,0.007224512100219726,0.6268370020072807,0.6316176470588235,0.6382989559460148,0.6316176470588235,0.7272727272727273,0.6666666666666666,0.8,0.7272727272727273,0.4666666666666667,0.8,0.6666666666666666
LinearDiscriminantAnalysis,0.19532241821289062,0.009374427795410156,0.6257142857142857,0.6286764705882353,0.6316866140395552,0.6286764705882353,0.5,0.4666666666666667,0.7,0.56,0.035634832254989916,0.7,0.3333333333333333
QuadraticDiscriminantAnalysis,0.07016797065734863,0.012421894073486327,0.5164359204606883,0.5382352941176471,0.5326559714795008,0.5382352941176471,0.6818181818181818,0.6666666666666666,0.6,0.631578947368421,0.3544587784792833,0.6,0.75
SVC,0.020301246643066408,0.032177972793579104,0.5165683512281978,0.5955882352941176,0.6523648871313231,0.5955882352941176,0.5909090909090909,0.5263157894736842,1.0,0.6896551724137931,0.36273812505500586,1.0,0.25
KNeighborsClassifier,0.0018761157989501953,0.0293027400970459,0.35143486805890906,0.47720588235294115,0.38860438292964244,0.47720588235294115,0.5909090909090909,0.6666666666666666,0.2,0.3076923076923077,0.16927779169233606,0.2,0.9166666666666666
GaussianNB,0.01318364143371582,0.006911325454711914,0.6382129342965255,0.6411764705882353,0.6520091673032848,0.6411764705882353,0.5454545454545454,0.5,0.4,0.4444444444444444,0.06900655593423542,0.4,0.6666666666666666
DecisionTreeClassifier,0.024834823608398438,0.004954195022583008,0.5848217829641978,0.5955882352941176,0.6096095407860114,0.5955882352941176,0.5,0.4666666666666667,0.7,0.56,0.035634832254989916,0.7,0.3333333333333333
ExtraTreeClassifier,0.004014062881469727,0.004648351669311523,0.5894247685578955,0.5948529411764706,0.6007384772090655,0.5948529411764706,0.5,0.45454545454545453,0.5,0.47619047619047616,0.0,0.5,0.5
RandomForestClassifier,0.09411158561706542,0.016804885864257813,0.6498972922502334,0.6558823529411765,0.672785841609371,0.6558823529411765,0.5909090909090909,0.5714285714285714,0.4,0.47058823529411764,0.16035674514745463,0.4,0.75
BaggingClassifier,0.18009109497070314,0.14000749588012695,0.6219307627357162,0.6301470588235294,0.6388147799912506,0.6301470588235294,0.5454545454545454,0.5,0.5,0.5,0.08333333333333333,0.5,0.5833333333333334
AdaBoostClassifier,0.3849127769470215,0.020243120193481446,0.6642166691237898,0.6676470588235295,0.6781156098803158,0.6676470588235295,0.45454545454545453,0.4,0.4,0.4,-0.1,0.4,0.5
GradientBoostingClassifier,1.126204013824463,0.004361343383789062,0.5653179328411527,0.5830882352941177,0.6157902554961379,0.5830882352941177,0.45454545454545453,0.4,0.4,0.4,-0.1,0.4,0.5
HistGradientBoostingClassifier,3.2949567794799806,0.0057427406311035155,0.35530022918258214,0.4389705882352941,0.33102906320899406,0.4389705882352941,0.6818181818181818,0.6666666666666666,0.6,0.631578947368421,0.3544587784792833,0.6,0.75
ExtraTrees-ensemble,0.06971988677978516,0.01807713508605957,0.684534583063995,0.6904411764705883,0.7041176470588235,0.6904411764705883,0.5909090909090909,0.6,0.3,0.4,0.1584236068762679,0.3,0.8333333333333334
XGBClassifier,0.2880115509033203,0.009250068664550781,0.6171362229102166,0.6183823529411765,0.6230718954248365,0.6183823529411765,0.45454545454545453,0.4,0.4,0.4,-0.1,0.4,0.5
LGBMClassifier,0.0644688606262207,0.007623434066772461,0.35530022918258214,0.4389705882352941,0.33102906320899406,0.4389705882352941,0.5909090909090909,0.5555555555555556,0.5,0.5263157894736842,0.16878989451394444,0.5,0.6666666666666666
