algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003323984146118164,0.004059934616088867,0.3839584592730373,0.5,0.4440945790080738,0.5,0.7272727272727273,1.0,0.3333333333333333,0.5,0.47756693294091923,0.3333333333333333,1.0
RidgeClassifier,0.0015450477600097655,0.003556632995605469,0.6581780242461357,0.6661764705882354,0.6811811391223157,0.6661764705882354,0.7272727272727273,0.6,1.0,0.75,0.5683985600588052,1.0,0.5384615384615384
LogisticRegression,0.019580841064453125,0.0044653892517089845,0.5903641456582632,0.5955882352941176,0.5951158645276292,0.5955882352941176,0.7727272727272727,0.6428571428571429,1.0,0.782608695652174,0.628970902033151,1.0,0.6153846153846154
SGDClassifier,0.001876974105834961,0.003476524353027344,0.5811654805462855,0.6073529411764705,0.6500566100566101,0.6073529411764705,0.8181818181818182,0.7272727272727273,0.8888888888888888,0.8,0.647150228929434,0.8888888888888888,0.7692307692307693
LinearDiscriminantAnalysis,0.008080148696899414,0.006523418426513672,0.5399966734332059,0.5463235294117648,0.5449206349206349,0.5463235294117648,0.5909090909090909,0.5,0.7777777777777778,0.6086956521739131,0.24459979523511427,0.7777777777777778,0.46153846153846156
QuadraticDiscriminantAnalysis,0.0050144195556640625,0.006718349456787109,0.6127966976264191,0.6191176470588236,0.628235294117647,0.6191176470588236,0.5909090909090909,0.5,0.6666666666666666,0.5714285714285714,0.20254787341673333,0.6666666666666666,0.5384615384615384
SVC,0.00275273323059082,0.007479715347290039,0.5884290219584337,0.6191176470588236,0.6591704374057314,0.6191176470588236,0.7272727272727273,0.6,1.0,0.75,0.5683985600588052,1.0,0.5384615384615384
KNeighborsClassifier,0.0006684303283691406,0.007601022720336914,0.5133141368435485,0.5477941176470588,0.5509653092006033,0.5477941176470588,0.6818181818181818,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4367853486341326,0.8888888888888888,0.5384615384615384
GaussianNB,0.0008965969085693359,0.0036358356475830076,0.40230732666026786,0.511764705882353,0.45810287463401644,0.511764705882353,0.45454545454545453,0.42857142857142855,1.0,0.6,0.18156825980064073,1.0,0.07692307692307693
DecisionTreeClassifier,0.004486751556396484,0.0034883975982666015,0.6851968155683327,0.6911764705882353,0.7032492997198879,0.6911764705882353,0.6818181818181818,0.6,0.6666666666666666,0.631578947368421,0.3544587784792833,0.6666666666666666,0.6923076923076923
ExtraTreeClassifier,0.0006643295288085938,0.003487682342529297,0.5527477697964978,0.5720588235294117,0.5790819964349376,0.5720588235294117,0.7727272727272727,0.6428571428571429,1.0,0.782608695652174,0.628970902033151,1.0,0.6153846153846154
RandomForestClassifier,0.09332447052001953,0.016599512100219725,0.5987295676459763,0.6080882352941177,0.6254911101969926,0.6080882352941177,0.7727272727272727,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.573885641347411,0.8888888888888888,0.6923076923076923
BaggingClassifier,0.024387598037719727,0.02178349494934082,0.591327516652594,0.6088235294117648,0.6466280451574569,0.6088235294117648,0.7727272727272727,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.573885641347411,0.8888888888888888,0.6923076923076923
AdaBoostClassifier,0.11339693069458008,0.00932002067565918,0.67749864858224,0.6794117647058824,0.6852686529157117,0.6794117647058824,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.7,0.46225016352102427,0.7777777777777778,0.6923076923076923
GradientBoostingClassifier,0.447100305557251,0.00438075065612793,0.6517627401837928,0.6536764705882353,0.6608186911128089,0.6536764705882353,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.38821675738207223,0.7777777777777778,0.6153846153846154
HistGradientBoostingClassifier,0.06888866424560547,0.005373239517211914,0.6496476485330975,0.6536764705882353,0.6649112978524743,0.6536764705882353,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.38821675738207223,0.7777777777777778,0.6153846153846154
ExtraTrees-ensemble,0.0653618335723877,0.016150617599487306,0.647261204044755,0.6558823529411766,0.6789075630252102,0.6558823529411766,0.7727272727272727,0.6428571428571429,1.0,0.782608695652174,0.628970902033151,1.0,0.6153846153846154
XGBClassifier,0.03435549736022949,0.006102132797241211,0.7089334195216548,0.7139705882352941,0.734723707664884,0.7139705882352941,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.38821675738207223,0.7777777777777778,0.6153846153846154
LGBMClassifier,0.026618432998657227,0.006094169616699219,0.6378475600766622,0.6433823529411764,0.6537764196587725,0.6433823529411764,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.38821675738207223,0.7777777777777778,0.6153846153846154
