algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0031351089477539063,0.003887653350830078,0.4075736551030669,0.5470588235294118,0.4694636678200692,0.5470588235294118,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0015408992767333984,0.003563404083251953,0.5032661518945003,0.5235294117647059,0.5115794009911657,0.5235294117647059,0.8181818181818182,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.647150228929434,0.7692307692307693,0.8888888888888888
LogisticRegression,0.01966891288757324,0.004739999771118164,0.5306825888250037,0.5352941176470589,0.5328189457601222,0.5352941176470589,0.7727272727272727,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5241424183609591,0.8461538461538461,0.6666666666666666
SGDClassifier,0.001296663284301758,0.003539371490478516,0.573598166539343,0.5830882352941177,0.5822045601457365,0.5830882352941177,0.6818181818181818,0.75,0.6923076923076923,0.72,0.3544587784792833,0.6923076923076923,0.6666666666666666
LinearDiscriminantAnalysis,0.008399295806884765,0.006674385070800782,0.5161307680967123,0.5205882352941177,0.5225935828877005,0.5205882352941177,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.3162393162393162,0.5384615384615384,0.7777777777777778
QuadraticDiscriminantAnalysis,0.005244541168212891,0.006902217864990234,0.6023696496142317,0.6058823529411765,0.6083974195738902,0.6058823529411765,0.6818181818181818,0.8,0.6153846153846154,0.6956521739130435,0.38821675738207223,0.6153846153846154,0.7777777777777778
SVC,0.002951812744140625,0.007759809494018555,0.49459699777346844,0.5345588235294118,0.5940261862320686,0.5345588235294118,0.7272727272727273,0.8181818181818182,0.6923076923076923,0.75,0.46225016352102427,0.6923076923076923,0.7777777777777778
KNeighborsClassifier,0.0006541252136230469,0.006879568099975586,0.5043367420333364,0.5588235294117647,0.591827731092437,0.5588235294117647,0.6818181818181818,1.0,0.46153846153846156,0.631578947368421,0.5095246653650681,0.46153846153846156,1.0
GaussianNB,0.0009187698364257812,0.0037445068359375,0.42702751298147723,0.525,0.5163354753666172,0.525,0.6363636363636364,0.6190476190476191,1.0,0.7647058823529411,0.26226526415648105,1.0,0.1111111111111111
DecisionTreeClassifier,0.004369163513183593,0.003801870346069336,0.6179738562091502,0.6191176470588236,0.6234873949579832,0.6191176470588236,0.6363636363636364,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.24786324786324787,0.6923076923076923,0.5555555555555556
ExtraTreeClassifier,0.0008147239685058593,0.003882312774658203,0.5721492267622298,0.5808823529411765,0.5872981920040743,0.5808823529411765,0.5454545454545454,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.09245003270420485,0.5384615384615384,0.5555555555555556
RandomForestClassifier,0.08917450904846191,0.016264820098876955,0.48633824379954405,0.5007352941176471,0.4942602495543672,0.5007352941176471,0.5,0.625,0.38461538461538464,0.47619047619047616,0.052414241836095915,0.38461538461538464,0.6666666666666666
BaggingClassifier,0.027123165130615235,0.0224459171295166,0.6587362826372114,0.6794117647058824,0.6854341736694678,0.6794117647058824,0.6363636363636364,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.2773500981126146,0.6153846153846154,0.6666666666666666
AdaBoostClassifier,0.11653676033020019,0.009551477432250977,0.6315061409179057,0.6426470588235295,0.6555941770647653,0.6426470588235295,0.5,0.6,0.46153846153846156,0.5217391304347826,0.016878989451394443,0.46153846153846156,0.5555555555555556
GradientBoostingClassifier,0.47283449172973635,0.004463291168212891,0.572945939509407,0.5816176470588236,0.5824276377217554,0.5816176470588236,0.6363636363636364,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.24786324786324787,0.6923076923076923,0.5555555555555556
HistGradientBoostingClassifier,0.09054603576660156,0.005461311340332032,0.69296833197762,0.7014705882352941,0.7194440853264383,0.7014705882352941,0.6363636363636364,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.24786324786324787,0.6923076923076923,0.5555555555555556
ExtraTrees-ensemble,0.06330547332763672,0.01603078842163086,0.5802279454291839,0.5941176470588235,0.5957957728545964,0.5941176470588235,0.6363636363636364,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.24786324786324787,0.6923076923076923,0.5555555555555556
XGBClassifier,0.03411054611206055,0.006279850006103515,0.6497220085966889,0.6654411764705882,0.6872875816993463,0.6654411764705882,0.6818181818181818,0.75,0.6923076923076923,0.72,0.3544587784792833,0.6923076923076923,0.6666666666666666
LGBMClassifier,0.02427530288696289,0.006582307815551758,0.6943630157252448,0.7022058823529412,0.7180370609782374,0.7022058823529412,0.6363636363636364,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.24786324786324787,0.6923076923076923,0.5555555555555556
