algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004378414154052735,0.005054664611816406,0.8448567497174307,0.8463235294117647,0.8562257024021729,0.8463235294117647,0.6363636363636364,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.32539568672798425,0.9090909090909091,0.36363636363636365
RidgeClassifier,0.0019680023193359374,0.004355669021606445,0.8564580569069733,0.8580882352941176,0.8715524997877939,0.8580882352941176,0.6818181818181818,0.625,0.9090909090909091,0.7407407407407407,0.408248290463863,0.9090909090909091,0.45454545454545453
LogisticRegression,0.011397314071655274,0.003976583480834961,0.8448567497174307,0.8463235294117647,0.8562257024021729,0.8463235294117647,0.6363636363636364,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.32539568672798425,0.9090909090909091,0.36363636363636365
SGDClassifier,0.002568626403808594,0.004423856735229492,0.8203508771929824,0.8213235294117647,0.8331177319412614,0.8213235294117647,0.5909090909090909,0.75,0.2727272727272727,0.4,0.23570226039551584,0.2727272727272727,0.9090909090909091
LinearDiscriminantAnalysis,0.010245752334594727,0.006703567504882812,0.6258243648336527,0.6294117647058823,0.6344690603514133,0.6294117647058823,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.6363636363636364
QuadraticDiscriminantAnalysis,0.006351900100708008,0.00671534538269043,0.6972935354978699,0.7022058823529411,0.7266004583651642,0.7022058823529411,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.45454545454545453,0.7272727272727273,0.7272727272727273
SVC,0.0035413265228271484,0.008615350723266602,0.8678065261192195,0.8698529411764706,0.8892453951277481,0.8698529411764706,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
KNeighborsClassifier,0.0006621360778808593,0.005287742614746094,0.8188888888888888,0.8227941176470587,0.8503403785756726,0.8227941176470587,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
GaussianNB,0.0011205196380615235,0.004370403289794922,0.8674269383866907,0.8698529411764705,0.8920112893642307,0.8698529411764705,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.4714045207910317,1.0,0.36363636363636365
DecisionTreeClassifier,0.016790103912353516,0.004266119003295899,0.7723065015479875,0.774264705882353,0.7860741872506578,0.774264705882353,0.5909090909090909,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.18257418583505536,0.6363636363636364,0.5454545454545454
ExtraTreeClassifier,0.0007968902587890625,0.0041469097137451175,0.8206862745098039,0.8213235294117647,0.830718954248366,0.8213235294117647,0.5909090909090909,0.5714285714285714,0.7272727272727273,0.64,0.18898223650461363,0.7272727272727273,0.45454545454545453
RandomForestClassifier,0.09087901115417481,0.01837291717529297,0.8572136222910217,0.8580882352941177,0.8715864527629235,0.8580882352941177,0.6818181818181818,0.625,0.9090909090909091,0.7407407407407407,0.408248290463863,0.9090909090909091,0.45454545454545453
BaggingClassifier,0.02776474952697754,0.01481485366821289,0.8080298786181139,0.8088235294117647,0.8146078431372548,0.8088235294117647,0.8181818181818182,0.7333333333333333,1.0,0.8461538461538461,0.6831300510639732,1.0,0.6363636363636364
AdaBoostClassifier,0.33530502319335936,0.008081865310668946,0.8334967320261437,0.8338235294117646,0.8432352941176472,0.8338235294117646,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
GradientBoostingClassifier,1.4973614692687989,0.003822660446166992,0.7115546218487395,0.713235294117647,0.7195518207282914,0.713235294117647,0.7272727272727273,0.6923076923076923,0.8181818181818182,0.75,0.46225016352102427,0.8181818181818182,0.6363636363636364
HistGradientBoostingClassifier,0.06766357421875,0.005367422103881836,0.8084967320261438,0.8088235294117647,0.8182352941176472,0.8088235294117647,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.48795003647426655,0.9090909090909091,0.5454545454545454
ExtraTrees-ensemble,0.06459765434265137,0.016254520416259764,0.8695579635362917,0.8698529411764706,0.8784313725490197,0.8698529411764706,0.6818181818181818,0.625,0.9090909090909091,0.7407407407407407,0.408248290463863,0.9090909090909091,0.45454545454545453
XGBClassifier,0.05891528129577637,0.006392335891723633,0.8077605779153766,0.8080882352941178,0.8123109243697479,0.8080882352941178,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.48795003647426655,0.9090909090909091,0.5454545454545454
LGBMClassifier,0.05885114669799805,0.008365726470947266,0.8334967320261437,0.8338235294117646,0.8432352941176472,0.8338235294117646,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.5669467095138409,0.9090909090909091,0.6363636363636364
