algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.012996196746826172,0.007695341110229492,0.7604803040097159,0.7735294117647059,0.8238612368024132,0.7735294117647059,0.6818181818181818,0.5625,1.0,0.72,0.5095246653650681,1.0,0.46153846153846156
RidgeClassifier,0.004752588272094726,0.0051959514617919925,0.7535358346503858,0.7625,0.7892704027998146,0.7625,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5042735042735043,0.8888888888888888,0.6153846153846154
LogisticRegression,0.12731943130493165,0.008389043807983398,0.7635728564521134,0.7742647058823529,0.8067817150170091,0.7742647058823529,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.7,0.46225016352102427,0.7777777777777778,0.6923076923076923
SGDClassifier,0.00963897705078125,0.004630041122436523,0.7418618945553931,0.75,0.790635638870933,0.75,0.6363636363636364,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.24786324786324787,0.5555555555555556,0.6923076923076923
LinearDiscriminantAnalysis,0.141131591796875,0.007564640045166016,0.718849287966935,0.725,0.7463097033685269,0.725,0.5909090909090909,0.5,0.6666666666666666,0.5714285714285714,0.20254787341673333,0.6666666666666666,0.5384615384615384
QuadraticDiscriminantAnalysis,0.036669015884399414,0.008426904678344727,0.6156501547987615,0.6198529411764706,0.6325103980986334,0.6198529411764706,0.5909090909090909,0.5,0.8888888888888888,0.64,0.3019405424385589,0.8888888888888888,0.38461538461538464
SVC,0.007957935333251953,0.00957021713256836,0.7093877742484553,0.7375,0.8117647058823529,0.7375,0.6363636363636364,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.369910174006524,0.8888888888888888,0.46153846153846156
KNeighborsClassifier,0.000954294204711914,0.005662298202514649,0.6552427623527368,0.6779411764705883,0.7040612655318539,0.6779411764705883,0.7272727272727273,0.6,1.0,0.75,0.5683985600588052,1.0,0.5384615384615384
GaussianNB,0.0027053356170654297,0.004974985122680664,0.7938679277378968,0.7977941176470589,0.8206476530005942,0.7977941176470589,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.38821675738207223,0.7777777777777778,0.6153846153846154
DecisionTreeClassifier,0.06756572723388672,0.0044476032257080075,0.6591354723707664,0.6676470588235295,0.7005882352941176,0.6676470588235295,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.7,0.46225016352102427,0.7777777777777778,0.6923076923076923
ExtraTreeClassifier,0.001822519302368164,0.004112672805786133,0.6401960784313725,0.6411764705882352,0.6465546218487395,0.6411764705882352,0.7727272727272727,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.573885641347411,0.8888888888888888,0.6923076923076923
RandomForestClassifier,0.1036198616027832,0.017822647094726564,0.7955395842547545,0.7985294117647059,0.8133944486885664,0.7985294117647059,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.7,0.46225016352102427,0.7777777777777778,0.6923076923076923
BaggingClassifier,0.18485031127929688,0.02906832695007324,0.7116723180500271,0.7147058823529412,0.7231864867158986,0.7147058823529412,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.7,0.46225016352102427,0.7777777777777778,0.6923076923076923
AdaBoostClassifier,1.4063815593719482,0.011620807647705077,0.734157698166986,0.7375,0.7461777438248027,0.7375,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4358974358974359,0.6666666666666666,0.7692307692307693
GradientBoostingClassifier,7.34440770149231,0.004573392868041992,0.7014939309056956,0.7029411764705882,0.7087721755368814,0.7029411764705882,0.7727272727272727,0.7,0.7777777777777778,0.7368421052631579,0.5401276624446222,0.7777777777777778,0.7692307692307693
HistGradientBoostingClassifier,0.6491647243499756,0.006678581237792969,0.7466954150081084,0.7485294117647059,0.7526682794329853,0.7485294117647059,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5042735042735043,0.8888888888888888,0.6153846153846154
ExtraTrees-ensemble,0.08072190284729004,0.017696428298950195,0.8192510688485919,0.8213235294117647,0.830564468211527,0.8213235294117647,0.7272727272727273,0.6363636363636364,0.7777777777777778,0.7,0.46225016352102427,0.7777777777777778,0.6923076923076923
XGBClassifier,0.810361671447754,0.011056232452392577,0.772264976165905,0.7750000000000001,0.7823563364739836,0.7750000000000001,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.6,0.2773500981126146,0.6666666666666666,0.6153846153846154
LGBMClassifier,0.6241367816925049,0.009705638885498047,0.7204889486158835,0.725,0.731894151600034,0.725,0.6818181818181818,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4367853486341326,0.8888888888888888,0.5384615384615384
