algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0034609317779541017,0.0039652824401855465,0.7494467898802264,0.7617647058823529,0.8302877514642221,0.7617647058823529,0.6818181818181818,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.3268602252303067,0.9230769230769231,0.3333333333333333
RidgeClassifier,0.0015773773193359375,0.003596925735473633,0.8083419332645339,0.8095588235294118,0.8261616161616161,0.8095588235294118,0.6818181818181818,0.6875,0.8461538461538461,0.7586206896551724,0.32081182634096883,0.8461538461538461,0.4444444444444444
LogisticRegression,0.011446285247802734,0.004582548141479492,0.8445378151260503,0.8455882352941175,0.8648412698412699,0.8455882352941175,0.6363636363636364,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.21057989315866538,0.8461538461538461,0.3333333333333333
SGDClassifier,0.0020283222198486327,0.004094505310058593,0.8212492014349599,0.8220588235294117,0.8272268907563026,0.8220588235294117,0.6818181818181818,0.875,0.5384615384615384,0.6666666666666666,0.4367853486341326,0.5384615384615384,0.8888888888888888
LinearDiscriminantAnalysis,0.010178804397583008,0.006920051574707031,0.6873843734524849,0.6911764705882353,0.6993837535014006,0.6911764705882353,0.5909090909090909,0.7,0.5384615384615384,0.6086956521739131,0.20254787341673333,0.5384615384615384,0.6666666666666666
QuadraticDiscriminantAnalysis,0.006424045562744141,0.006722640991210937,0.7136025398301613,0.7279411764705882,0.7505185990480108,0.7279411764705882,0.8181818181818182,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6239316239316239,0.8461538461538461,0.7777777777777778
SVC,0.0025490760803222657,0.0071332454681396484,0.8060676200304684,0.8102941176470587,0.853929208046855,0.8102941176470587,0.6818181818181818,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.3268602252303067,0.9230769230769231,0.3333333333333333
KNeighborsClassifier,0.0005524635314941406,0.00435490608215332,0.6881687266981384,0.7044117647058823,0.7751734539969833,0.7044117647058823,0.8181818181818182,0.8,0.9230769230769231,0.8571428571428571,0.6225317562548818,0.9230769230769231,0.6666666666666666
GaussianNB,0.000935506820678711,0.003681182861328125,0.8445378151260503,0.8455882352941175,0.8648412698412699,0.8455882352941175,0.6363636363636364,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.21057989315866538,0.8461538461538461,0.3333333333333333
DecisionTreeClassifier,0.014011621475219727,0.0036429405212402345,0.7840102707749766,0.7852941176470588,0.7913165266106442,0.7852941176470588,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4358974358974359,0.7692307692307693,0.6666666666666666
ExtraTreeClassifier,0.0007039070129394531,0.0036174297332763673,0.746297115337363,0.7499999999999999,0.7710669722434428,0.7499999999999999,0.6363636363636364,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.24786324786324787,0.6923076923076923,0.5555555555555556
RandomForestClassifier,0.09136981964111328,0.01637277603149414,0.8454248366013072,0.8455882352941175,0.8514379084967321,0.8455882352941175,0.6818181818181818,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.33195686496194077,0.7692307692307693,0.5555555555555556
BaggingClassifier,0.03698077201843262,0.0276611328125,0.842891296869625,0.8433823529411765,0.8510037348272643,0.8433823529411765,0.6818181818181818,0.75,0.6923076923076923,0.72,0.3544587784792833,0.6923076923076923,0.6666666666666666
AdaBoostClassifier,0.3902443885803223,0.009000825881958007,0.832284141726866,0.8330882352941176,0.8407703081232493,0.8330882352941176,0.6818181818181818,0.75,0.6923076923076923,0.72,0.3544587784792833,0.6923076923076923,0.6666666666666666
GradientBoostingClassifier,1.5587893962860107,0.003938007354736328,0.7588028895768835,0.7610294117647058,0.7791825821237586,0.7610294117647058,0.6818181818181818,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.33195686496194077,0.7692307692307693,0.5555555555555556
HistGradientBoostingClassifier,0.08020939826965331,0.005280256271362305,0.8556363949088407,0.8558823529411764,0.8629084967320262,0.8558823529411764,0.7727272727272727,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5241424183609591,0.8461538461538461,0.6666666666666666
ExtraTrees-ensemble,0.0674832820892334,0.016275691986083984,0.8448503611971103,0.8455882352941175,0.8546638655462184,0.8455882352941175,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4358974358974359,0.7692307692307693,0.6666666666666666
XGBClassifier,0.05786519050598145,0.006083202362060547,0.8310690943043884,0.8323529411764706,0.8440896358543416,0.8323529411764706,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4358974358974359,0.7692307692307693,0.6666666666666666
LGBMClassifier,0.042702770233154295,0.006364965438842773,0.8458634330925353,0.8463235294117647,0.8542343604108311,0.8463235294117647,0.6363636363636364,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.2255549841503195,0.7692307692307693,0.4444444444444444
