algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0037011146545410157,0.004688262939453125,0.7398968008255933,0.7617647058823529,0.8212087912087911,0.7617647058823529,0.5909090909090909,0.47058823529411764,1.0,0.64,0.4099600308453939,1.0,0.35714285714285715
RidgeClassifier,0.0020698070526123046,0.004425621032714844,0.737080136402387,0.75,0.7947963800904976,0.75,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.17857142857142858,0.75,0.42857142857142855
LogisticRegression,0.011503839492797851,0.004455661773681641,0.7060895107644333,0.7264705882352941,0.7832353920589213,0.7264705882352941,0.5454545454545454,0.4375,0.875,0.5833333333333334,0.25074294368839933,0.875,0.35714285714285715
SGDClassifier,0.003192901611328125,0.0045375823974609375,0.7704018624993857,0.775,0.7936070791953144,0.775,0.7272727272727273,0.6666666666666666,0.5,0.5714285714285714,0.38575837490522974,0.5,0.8571428571428571
LinearDiscriminantAnalysis,0.011945581436157227,0.007504796981811524,0.7800101858925388,0.7845588235294116,0.7915166900093371,0.7845588235294116,0.7272727272727273,0.6,0.75,0.6666666666666666,0.4485426135725303,0.75,0.7142857142857143
QuadraticDiscriminantAnalysis,0.007197332382202148,0.0070702552795410155,0.7051840574286394,0.7139705882352942,0.7609500242404654,0.7139705882352942,0.6818181818181818,0.5454545454545454,0.75,0.631578947368421,0.37796447300922725,0.75,0.6428571428571429
SVC,0.0027457714080810548,0.007691335678100586,0.7398968008255933,0.7617647058823529,0.8212087912087911,0.7617647058823529,0.5909090909090909,0.47058823529411764,1.0,0.64,0.4099600308453939,1.0,0.35714285714285715
KNeighborsClassifier,0.0007623672485351562,0.00617523193359375,0.7323168661403955,0.738970588235294,0.7656496893629245,0.738970588235294,0.6818181818181818,0.5333333333333333,1.0,0.6956521739130435,0.5163977794943223,1.0,0.5
GaussianNB,0.0012418270111083985,0.0048215389251708984,0.6716087008966266,0.6911764705882353,0.7369986549398313,0.6911764705882353,0.6363636363636364,0.5,1.0,0.6666666666666666,0.4629100498862757,1.0,0.42857142857142855
DecisionTreeClassifier,0.018307971954345702,0.0043985843658447266,0.7712772126394417,0.7735294117647059,0.7841685765215177,0.7735294117647059,0.6363636363636364,0.5,0.625,0.5555555555555556,0.25877458475338283,0.625,0.6428571428571429
ExtraTreeClassifier,0.000989389419555664,0.004490470886230469,0.7844771241830065,0.7845588235294116,0.791125992063492,0.7845588235294116,0.7272727272727273,0.5833333333333334,0.875,0.7,0.5002975305232068,0.875,0.6428571428571429
RandomForestClassifier,0.0921964168548584,0.016406917572021486,0.828854102553793,0.8330882352941176,0.8531028244631186,0.8330882352941176,0.6818181818181818,0.5333333333333333,1.0,0.6956521739130435,0.5163977794943223,1.0,0.5
BaggingClassifier,0.03184628486633301,0.015422773361206055,0.7670230543450357,0.7742647058823529,0.8044061942959001,0.7742647058823529,0.7272727272727273,0.6,0.75,0.6666666666666666,0.4485426135725303,0.75,0.7142857142857143
AdaBoostClassifier,0.36449337005615234,0.008564090728759766,0.8311120089061266,0.8338235294117646,0.8520337832102538,0.8338235294117646,0.6818181818181818,0.5454545454545454,0.75,0.631578947368421,0.37796447300922725,0.75,0.6428571428571429
GradientBoostingClassifier,1.5263238430023194,0.0039902210235595705,0.8055118565644882,0.8088235294117647,0.8190323402088108,0.8088235294117647,0.7727272727272727,0.6153846153846154,1.0,0.7619047619047619,0.628970902033151,1.0,0.6428571428571429
HistGradientBoostingClassifier,0.20422348976135254,0.007040929794311523,0.8183470932232542,0.8205882352941176,0.826776165011459,0.8205882352941176,0.7272727272727273,0.6,0.75,0.6666666666666666,0.4485426135725303,0.75,0.7142857142857143
ExtraTrees-ensemble,0.08356623649597168,0.020045042037963867,0.8643133388799022,0.8683823529411765,0.8902083333333334,0.8683823529411765,0.7727272727272727,0.6153846153846154,1.0,0.7619047619047619,0.628970902033151,1.0,0.6428571428571429
XGBClassifier,0.06728987693786621,0.006405973434448242,0.8291017805723687,0.8330882352941176,0.8512867647058823,0.8330882352941176,0.8181818181818182,0.7,0.875,0.7777777777777778,0.6383106423916777,0.875,0.7857142857142857
LGBMClassifier,0.1434607982635498,0.008853960037231445,0.8641499401870918,0.8683823529411765,0.8924632352941178,0.8683823529411765,0.8636363636363636,0.7272727272727273,1.0,0.8421052631578947,0.7559289460184545,1.0,0.7857142857142857
