algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003973960876464844,0.004927158355712891,0.8321892967713401,0.8330882352941178,0.8390306425600542,0.8330882352941178,0.7727272727272727,0.6923076923076923,0.9,0.782608695652174,0.573885641347411,0.9,0.6666666666666666
RidgeClassifier,0.0019690990447998047,0.004271364212036133,0.8193774027829756,0.8213235294117647,0.831811391223156,0.8213235294117647,0.6818181818181818,0.7142857142857143,0.5,0.5882352941176471,0.3563483225498992,0.5,0.8333333333333334
LogisticRegression,0.021595001220703125,0.004334211349487305,0.8055990242987147,0.8095588235294116,0.825702793938088,0.8095588235294116,0.7272727272727273,0.75,0.6,0.6666666666666666,0.4485426135725303,0.6,0.8333333333333334
SGDClassifier,0.003027677536010742,0.003453636169433594,0.6292961287078935,0.6683823529411764,0.6356883447194865,0.6683823529411764,0.6818181818181818,0.7142857142857143,0.5,0.5882352941176471,0.3563483225498992,0.5,0.8333333333333334
LinearDiscriminantAnalysis,0.009283018112182618,0.006265115737915039,0.6647103051747015,0.6676470588235295,0.6812936083524319,0.6676470588235295,0.5454545454545454,0.5,0.5,0.5,0.08333333333333333,0.5,0.5833333333333334
QuadraticDiscriminantAnalysis,0.006218862533569336,0.006657695770263672,0.7364361885104918,0.7389705882352942,0.7516356845768609,0.7389705882352942,0.6818181818181818,0.6363636363636364,0.7,0.6666666666666666,0.3651483716701107,0.7,0.6666666666666666
SVC,0.002843475341796875,0.007283210754394531,0.589849287966935,0.6426470588235295,0.6830510665804783,0.6426470588235295,0.5909090909090909,0.5263157894736842,1.0,0.6896551724137931,0.36273812505500586,1.0,0.25
KNeighborsClassifier,0.0005280494689941407,0.004226303100585938,0.6957777172947451,0.7036764705882352,0.7228953399541634,0.7036764705882352,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5002975305232068,0.9,0.5833333333333334
GaussianNB,0.0008908748626708984,0.0036119461059570313,0.7214322107201365,0.7382352941176471,0.7990131437190259,0.7382352941176471,0.6363636363636364,0.5625,0.9,0.6923076923076923,0.3540440964374667,0.9,0.4166666666666667
DecisionTreeClassifier,0.016237783432006835,0.0034996509552001954,0.6989635854341737,0.7022058823529411,0.7131703590527121,0.7022058823529411,0.6818181818181818,0.6153846153846154,0.8,0.6956521739130435,0.38821675738207223,0.8,0.5833333333333334
ExtraTreeClassifier,0.0006828784942626953,0.003527212142944336,0.61277849601379,0.6183823529411765,0.6239979628214922,0.6183823529411765,0.6363636363636364,0.6,0.6,0.6,0.26666666666666666,0.6,0.6666666666666666
RandomForestClassifier,0.08845806121826172,0.017486190795898436,0.7606769374416433,0.7625,0.7698913504795858,0.7625,0.7272727272727273,0.7,0.7,0.7,0.45,0.7,0.75
BaggingClassifier,0.0317631721496582,0.015035915374755859,0.7347319278588629,0.7389705882352942,0.7577217553688141,0.7389705882352942,0.7272727272727273,0.75,0.6,0.6666666666666666,0.4485426135725303,0.6,0.8333333333333334
AdaBoostClassifier,0.39423427581787107,0.008888339996337891,0.7836549707602339,0.7845588235294116,0.7921848739495797,0.7845588235294116,0.6818181818181818,0.6666666666666666,0.6,0.631578947368421,0.3544587784792833,0.6,0.75
GradientBoostingClassifier,1.7470093727111817,0.004215717315673828,0.685033662587842,0.6897058823529412,0.7020117137764197,0.6897058823529412,0.7272727272727273,0.7,0.7,0.7,0.45,0.7,0.75
HistGradientBoostingClassifier,0.07263689041137696,0.0050408363342285155,0.709244415715004,0.7125,0.7211017740429504,0.7125,0.6818181818181818,0.6666666666666666,0.6,0.631578947368421,0.3544587784792833,0.6,0.75
ExtraTrees-ensemble,0.06663670539855956,0.01705160140991211,0.7943009862514506,0.7970588235294118,0.8106909430438842,0.7970588235294118,0.6818181818181818,0.6666666666666666,0.6,0.631578947368421,0.3544587784792833,0.6,0.75
XGBClassifier,0.06295247077941894,0.005911397933959961,0.7421073044602456,0.7492647058823529,0.7795365418894831,0.7492647058823529,0.7727272727272727,0.7777777777777778,0.7,0.7368421052631579,0.5401276624446222,0.7,0.8333333333333334
LGBMClassifier,0.0451453685760498,0.00773162841796875,0.7199643493761141,0.7235294117647059,0.7389894419306183,0.7235294117647059,0.6363636363636364,0.625,0.5,0.5555555555555556,0.25877458475338283,0.5,0.75
