algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003448820114135742,0.004027700424194336,0.7799217500765488,0.7860294117647058,0.8381461675579323,0.7860294117647058,0.6363636363636364,0.631578947368421,0.9230769230769231,0.75,0.20817020153834942,0.9230769230769231,0.2222222222222222
RidgeClassifier,0.001578521728515625,0.0036454200744628906,0.795283930036252,0.7977941176470588,0.8238197097020625,0.7977941176470588,0.6363636363636364,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.21057989315866538,0.8461538461538461,0.3333333333333333
LogisticRegression,0.011554718017578125,0.00489654541015625,0.7971521942110177,0.7985294117647058,0.815765639589169,0.7985294117647058,0.6818181818181818,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.3268602252303067,0.9230769230769231,0.3333333333333333
SGDClassifier,0.0028397083282470704,0.004648733139038086,0.8094771241830065,0.8102941176470587,0.8223949579831931,0.8102941176470587,0.6818181818181818,0.6875,0.8461538461538461,0.7586206896551724,0.32081182634096883,0.8461538461538461,0.4444444444444444
LinearDiscriminantAnalysis,0.010721445083618164,0.006974506378173828,0.7142082478924584,0.7272058823529411,0.7513606654783125,0.7272058823529411,0.5,0.5833333333333334,0.5384615384615384,0.56,-0.016878989451394443,0.5384615384615384,0.4444444444444444
QuadraticDiscriminantAnalysis,0.006448173522949218,0.0066430091857910155,0.6293403191236009,0.6316176470588235,0.6395513963161022,0.6316176470588235,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.3162393162393162,0.5384615384615384,0.7777777777777778
SVC,0.002449512481689453,0.0070626258850097655,0.7785407334323743,0.7860294117647058,0.8418299347711112,0.7860294117647058,0.6818181818181818,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.3268602252303067,0.9230769230769231,0.3333333333333333
KNeighborsClassifier,0.0006354808807373047,0.0049091815948486325,0.686398993163699,0.7036764705882353,0.7828585793291675,0.7036764705882353,0.7727272727272727,0.75,0.9230769230769231,0.8275862068965517,0.528395949267478,0.9230769230769231,0.5555555555555556
GaussianNB,0.0009060859680175781,0.0036796092987060546,0.8445378151260503,0.8455882352941175,0.8648412698412699,0.8455882352941175,0.6363636363636364,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.21057989315866538,0.8461538461538461,0.3333333333333333
DecisionTreeClassifier,0.01350541114807129,0.0037353992462158202,0.7731092436974789,0.7742647058823529,0.7777523130464307,0.7742647058823529,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4358974358974359,0.7692307692307693,0.6666666666666666
ExtraTreeClassifier,0.000893259048461914,0.003770589828491211,0.7383144134846921,0.7397058823529412,0.745891690009337,0.7397058823529412,0.6363636363636364,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.2255549841503195,0.7692307692307693,0.4444444444444444
RandomForestClassifier,0.08922395706176758,0.016392898559570313,0.8553066489753796,0.8573529411764704,0.8863101604278075,0.8573529411764704,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4358974358974359,0.7692307692307693,0.6666666666666666
BaggingClassifier,0.03036980628967285,0.019640207290649414,0.8705882352941178,0.8705882352941178,0.8718954248366014,0.8705882352941178,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4358974358974359,0.7692307692307693,0.6666666666666666
AdaBoostClassifier,0.34346761703491213,0.008371448516845703,0.8444599243206055,0.8448529411764707,0.8528711484593838,0.8448529411764707,0.6818181818181818,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.33195686496194077,0.7692307692307693,0.5555555555555556
GradientBoostingClassifier,1.3653056144714355,0.003985261917114258,0.7948137311604804,0.7977941176470587,0.8064519140989729,0.7977941176470587,0.8181818181818182,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6239316239316239,0.8461538461538461,0.7777777777777778
HistGradientBoostingClassifier,0.09492125511169433,0.005431413650512695,0.8094117647058823,0.8095588235294118,0.8141456582633053,0.8095588235294118,0.6818181818181818,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.33195686496194077,0.7692307692307693,0.5555555555555556
ExtraTrees-ensemble,0.06315155029296875,0.016149330139160156,0.8338235294117646,0.8338235294117646,0.836111111111111,0.8338235294117646,0.8181818181818182,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6239316239316239,0.8461538461538461,0.7777777777777778
XGBClassifier,0.060443115234375,0.006604385375976562,0.8698039215686274,0.8698529411764705,0.873529411764706,0.8698529411764705,0.6363636363636364,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.2255549841503195,0.7692307692307693,0.4444444444444444
LGBMClassifier,0.05403256416320801,0.0070473670959472655,0.88140522875817,0.8816176470588235,0.8888562091503267,0.8816176470588235,0.6818181818181818,0.6875,0.8461538461538461,0.7586206896551724,0.32081182634096883,0.8461538461538461,0.4444444444444444
