algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003001499176025391,0.004912662506103516,0.34113306982872194,0.5066666666666666,0.2573333333333333,0.5066666666666666,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0017034053802490235,0.0044460296630859375,0.629102444396562,0.6323809523809525,0.6357883597883598,0.6323809523809525,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555,0.5,0.5555555555555556
LogisticRegression,0.011367273330688477,0.004454803466796875,0.5781050322226793,0.5895238095238096,0.6036195286195286,0.5895238095238096,0.6842105263157895,0.7,0.7,0.7,0.36666666666666664,0.7,0.6666666666666666
SGDClassifier,0.0016723155975341796,0.0043487071990966795,0.5691952354491054,0.5895238095238096,0.6299158249158249,0.5895238095238096,0.6842105263157895,0.8333333333333334,0.5,0.625,0.41773367652300253,0.5,0.8888888888888888
LinearDiscriminantAnalysis,0.005348348617553711,0.00648341178894043,0.5232648136177548,0.5323809523809524,0.5368253968253968,0.5323809523809524,0.631578947368421,0.6666666666666666,0.6,0.631578947368421,0.26666666666666666,0.6,0.6666666666666666
QuadraticDiscriminantAnalysis,0.0034933567047119142,0.006485509872436524,0.5749705256903399,0.5876190476190477,0.5934343434343434,0.5876190476190477,0.5789473684210527,0.625,0.5,0.5555555555555556,0.1685499656158105,0.5,0.6666666666666666
SVC,0.0018106937408447266,0.006821727752685547,0.6494142256092721,0.6714285714285715,0.7336868686868687,0.6714285714285715,0.7894736842105263,1.0,0.6,0.75,0.6445033866354896,0.6,1.0
KNeighborsClassifier,0.0006448268890380859,0.005551481246948242,0.5832477025898077,0.6028571428571428,0.6477609427609428,0.6028571428571428,0.631578947368421,0.8,0.4,0.5333333333333333,0.32756920994133026,0.4,0.8888888888888888
GaussianNB,0.0009526729583740235,0.004577350616455078,0.5944143764732,0.6019047619047619,0.6112962962962962,0.6019047619047619,0.5263157894736842,0.5714285714285714,0.4,0.47058823529411764,0.06900655593423542,0.4,0.6666666666666666
DecisionTreeClassifier,0.008670997619628907,0.0043278694152832035,0.6151077354018529,0.6171428571428571,0.6214021164021164,0.6171428571428571,0.6842105263157895,0.7,0.7,0.7,0.36666666666666664,0.7,0.6666666666666666
ExtraTreeClassifier,0.000765228271484375,0.0042205810546875,0.5239619883040936,0.5361904761904762,0.5698412698412698,0.5361904761904762,0.5263157894736842,0.6,0.3,0.4,0.08819171036881969,0.3,0.7777777777777778
RandomForestClassifier,0.09434814453125,0.016566133499145506,0.6720674222578248,0.6866666666666666,0.7106010101010101,0.6866666666666666,0.8947368421052632,0.9,0.9,0.9,0.7888888888888889,0.9,0.8888888888888888
BaggingClassifier,0.025350618362426757,0.027205562591552733,0.7116137566137566,0.7142857142857143,0.7219523809523809,0.7142857142857143,0.5789473684210527,0.625,0.5,0.5555555555555556,0.1685499656158105,0.5,0.6666666666666666
AdaBoostClassifier,0.20396127700805664,0.008688211441040039,0.7262759462759462,0.7285714285714286,0.7317857142857143,0.7285714285714286,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,0.9,0.5555555555555556
GradientBoostingClassifier,0.7964744567871094,0.004255771636962891,0.6539421362950775,0.659047619047619,0.6671164021164021,0.659047619047619,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
HistGradientBoostingClassifier,0.03232169151306152,0.005110025405883789,0.7064022350198821,0.7152380952380952,0.7526719576719576,0.7152380952380952,0.6842105263157895,0.6666666666666666,0.8,0.7272727272727273,0.3680349649825889,0.8,0.5555555555555556
ExtraTrees-ensemble,0.07081789970397949,0.01615452766418457,0.6522983073571309,0.6714285714285714,0.6946565656565655,0.6714285714285714,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705,0.6,0.7777777777777778
XGBClassifier,0.03538818359375,0.00607905387878418,0.7384341535657325,0.7428571428571429,0.7537518037518037,0.7428571428571429,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
LGBMClassifier,0.020485353469848634,0.005749320983886719,0.750012497306615,0.7561904761904763,0.7746560846560847,0.7561904761904763,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,0.9,0.5555555555555556
