algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.001976299285888672,0.0036268711090087892,0.7725822499940147,0.7819047619047619,0.7936137566137567,0.7819047619047619,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
RidgeClassifier,0.0011809825897216796,0.003533744812011719,0.7509315956374779,0.7542857142857142,0.7592010582010582,0.7542857142857142,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
LogisticRegression,0.011383819580078124,0.004737186431884766,0.790878191868904,0.7952380952380952,0.8107450697450697,0.7952380952380952,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
SGDClassifier,0.001116037368774414,0.00406498908996582,0.7512506883095118,0.7552380952380953,0.7715396825396825,0.7552380952380953,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
LinearDiscriminantAnalysis,0.013143634796142578,0.006479501724243164,0.728042328042328,0.7295238095238095,0.7321904761904762,0.7295238095238095,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
QuadraticDiscriminantAnalysis,0.004740428924560547,0.011057710647583008,0.6509495329232171,0.660952380952381,0.6888095238095238,0.660952380952381,0.8421052631578947,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6547702297173061,0.7142857142857143,0.9166666666666666
SVC,0.0007574558258056641,0.0036345958709716798,0.7667377408166882,0.7809523809523811,0.8291850371850371,0.7809523809523811,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
KNeighborsClassifier,0.00047044754028320314,0.004179620742797851,0.7559261653379301,0.7685714285714285,0.798810337810338,0.7685714285714285,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
GaussianNB,0.0006539344787597657,0.003524112701416016,0.8101984126984126,0.8228571428571427,0.8655140415140415,0.8228571428571427,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
DecisionTreeClassifier,0.0020662784576416016,0.003476715087890625,0.7632928727046374,0.7647619047619048,0.7728597883597883,0.7647619047619048,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
ExtraTreeClassifier,0.000569295883178711,0.0036734580993652345,0.6676312576312575,0.6714285714285715,0.6875396825396826,0.6714285714285715,0.6842105263157895,0.5555555555555556,0.7142857142857143,0.625,0.3680349649825889,0.7142857142857143,0.6666666666666666
RandomForestClassifier,0.0903885841369629,0.01749892234802246,0.8277605716723364,0.8352380952380953,0.8664973544973545,0.8352380952380953,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
BaggingClassifier,0.018850421905517577,0.024810123443603515,0.8185908209437622,0.8190476190476191,0.8259826152683296,0.8190476190476191,0.7368421052631579,0.75,0.42857142857142855,0.5454545454545454,0.408491223118783,0.42857142857142855,0.9166666666666666
AdaBoostClassifier,0.08286690711975098,0.008606910705566406,0.829521164021164,0.8361904761904763,0.8656507936507936,0.8361904761904763,0.7894736842105263,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5476190476190477,0.7142857142857143,0.8333333333333334
GradientBoostingClassifier,0.2256931781768799,0.004285573959350586,0.779079743785626,0.7809523809523808,0.7832010582010582,0.7809523809523808,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
HistGradientBoostingClassifier,0.018506956100463868,0.00449838638305664,0.8295643180349062,0.8352380952380951,0.8556878306878307,0.8352380952380951,0.6842105263157895,0.5555555555555556,0.7142857142857143,0.625,0.3680349649825889,0.7142857142857143,0.6666666666666666
ExtraTrees-ensemble,0.06348347663879395,0.016091346740722656,0.8707437758320111,0.8771428571428572,0.9058201058201059,0.8771428571428572,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
XGBClassifier,0.013881111145019531,0.0050240039825439455,0.830961071951784,0.8342857142857143,0.8481842231842232,0.8342857142857143,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
LGBMClassifier,0.010143280029296875,0.005947589874267578,0.8566872441284206,0.8628571428571428,0.8899470899470898,0.8628571428571428,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
