algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003922367095947265,0.00568094253540039,0.6448008865346326,0.6857142857142857,0.7338299663299663,0.6857142857142857,0.5789473684210527,0.75,0.3,0.42857142857142855,0.23134069792952236,0.3,0.8888888888888888
RidgeClassifier,0.002212381362915039,0.005324649810791016,0.6829632622279681,0.6857142857142857,0.6886772486772486,0.6857142857142857,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,0.4777777777777778,0.7,0.7777777777777778
LogisticRegression,0.011604213714599609,0.005238533020019531,0.676580184521361,0.6847619047619047,0.6932063492063493,0.6847619047619047,0.5789473684210527,0.6666666666666666,0.4,0.5,0.19096396641051544,0.4,0.7777777777777778
SGDClassifier,0.002606821060180664,0.005752182006835938,0.6139271598714323,0.6295238095238096,0.6643771043771043,0.6295238095238096,0.7894736842105263,0.75,0.9,0.8181818181818182,0.5865557254410011,0.9,0.6666666666666666
LinearDiscriminantAnalysis,0.008736753463745117,0.00771942138671875,0.564082584082584,0.578095238095238,0.6026195286195286,0.578095238095238,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
QuadraticDiscriminantAnalysis,0.004694938659667969,0.007406473159790039,0.49770236299648063,0.5038095238095238,0.5012037037037037,0.5038095238095238,0.5789473684210527,0.6,0.6,0.6,0.15555555555555556,0.6,0.5555555555555556
SVC,0.0022539138793945313,0.007917642593383789,0.5852033152033151,0.6723809523809525,0.6140079365079366,0.6723809523809525,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746,0.3,1.0
KNeighborsClassifier,0.00064849853515625,0.005609893798828125,0.6431788232407427,0.6571428571428571,0.6694444444444445,0.6571428571428571,0.631578947368421,0.8,0.4,0.5333333333333333,0.32756920994133026,0.4,0.8888888888888888
GaussianNB,0.0014725685119628905,0.005568552017211914,0.4798943883773606,0.4961904761904762,0.49134920634920637,0.4961904761904762,0.8421052631578947,0.8888888888888888,0.8,0.8421052631578947,0.6888888888888889,0.8,0.8888888888888888
DecisionTreeClassifier,0.00643768310546875,0.004357576370239258,0.6549982911825017,0.660952380952381,0.6654834054834055,0.660952380952381,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,0.4777777777777778,0.7,0.7777777777777778
ExtraTreeClassifier,0.0007650375366210938,0.004091453552246094,0.7105208516973223,0.7152380952380952,0.7353544973544974,0.7152380952380952,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705,0.6,0.7777777777777778
RandomForestClassifier,0.09107780456542969,0.016513252258300783,0.6494641741700565,0.659047619047619,0.6705194805194805,0.659047619047619,0.8421052631578947,0.8181818181818182,0.9,0.8571428571428571,0.6854365268376295,0.9,0.7777777777777778
BaggingClassifier,0.026300811767578126,0.022393512725830077,0.6092994724573672,0.6314285714285713,0.6488383838383838,0.6314285714285713,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,0.6,0.8888888888888888
AdaBoostClassifier,0.17687249183654785,0.009043741226196288,0.6972637888427362,0.700952380952381,0.716914381914382,0.700952380952381,0.8947368421052632,0.9,0.9,0.9,0.7888888888888889,0.9,0.8888888888888888
GradientBoostingClassifier,0.6540484428405762,0.004300737380981445,0.6439215686274509,0.6476190476190475,0.650952380952381,0.6476190476190475,0.8421052631578947,0.8888888888888888,0.8,0.8421052631578947,0.6888888888888889,0.8,0.8888888888888888
HistGradientBoostingClassifier,0.03450860977172852,0.005742025375366211,0.6361460761460762,0.6466666666666667,0.6847527657527659,0.6466666666666667,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,0.4777777777777778,0.7,0.7777777777777778
ExtraTrees-ensemble,0.08028526306152343,0.01772651672363281,0.697895594601477,0.7133333333333334,0.7566849816849817,0.7133333333333334,0.8947368421052632,0.9,0.9,0.9,0.7888888888888889,0.9,0.8888888888888888
XGBClassifier,0.03349180221557617,0.006321239471435547,0.6721428571428572,0.6742857142857143,0.6795767195767196,0.6742857142857143,0.631578947368421,0.7142857142857143,0.5,0.5882352941176471,0.2875273163926476,0.5,0.7777777777777778
LGBMClassifier,0.03313512802124023,0.007321548461914062,0.5821971819030644,0.5914285714285714,0.6225517075517075,0.5914285714285714,0.6842105263157895,0.7,0.7,0.7,0.36666666666666664,0.7,0.6666666666666666
