algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0033609867095947266,0.004043865203857422,0.6992314874667815,0.7123809523809523,0.7422164502164501,0.7123809523809523,0.8947368421052632,1.0,0.8333333333333334,0.9090909090909091,0.8050764858994133,0.8333333333333334,1.0
RidgeClassifier,0.0015482902526855469,0.003531360626220703,0.6590110766426556,0.6714285714285714,0.692348656634371,0.6714285714285714,0.8421052631578947,1.0,0.75,0.8571428571428571,0.724568837309472,0.75,1.0
LogisticRegression,0.02588992118835449,0.005687856674194336,0.6869283439871674,0.6980952380952381,0.7221735724592867,0.6980952380952381,0.7368421052631579,1.0,0.5833333333333334,0.7368421052631579,0.5833333333333334,0.5833333333333334,1.0
SGDClassifier,0.0030681133270263673,0.0036382675170898438,0.618274929748614,0.6695238095238095,0.6770737992166562,0.6695238095238095,0.6842105263157895,0.875,0.5833333333333334,0.7,0.4303489473092928,0.5833333333333334,0.8571428571428571
LinearDiscriminantAnalysis,0.009120321273803711,0.0062348365783691405,0.6084808380474015,0.6171428571428571,0.6258099360956504,0.6171428571428571,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5476190476190477,0.8333333333333334,0.7142857142857143
QuadraticDiscriminantAnalysis,0.0070899009704589845,0.007052040100097657,0.6107378677966913,0.6295238095238094,0.6357306820163963,0.6295238095238094,0.47368421052631576,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.049416621110740085,0.3333333333333333,0.7142857142857143
SVC,0.002649736404418945,0.007338905334472656,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.5263157894736842,1.0,0.25,0.4,0.3307189138830738,0.25,1.0
KNeighborsClassifier,0.0006576061248779296,0.0066773414611816405,0.6757773163655517,0.6838095238095238,0.7108792001649145,0.6838095238095238,0.6842105263157895,0.875,0.5833333333333334,0.7,0.4303489473092928,0.5833333333333334,0.8571428571428571
GaussianNB,0.0010461807250976562,0.003625011444091797,0.6241416361416361,0.641904761904762,0.7034274059274059,0.641904761904762,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.408491223118783,0.9166666666666666,0.42857142857142855
DecisionTreeClassifier,0.015763044357299805,0.003466796875,0.538260336155073,0.5495238095238094,0.5469614512471656,0.5495238095238094,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.28690229202651557,0.8333333333333334,0.42857142857142855
ExtraTreeClassifier,0.0006680011749267579,0.0034451007843017576,0.6793260073260073,0.6876190476190476,0.6961281179138321,0.6876190476190476,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
RandomForestClassifier,0.09713797569274903,0.016947603225708006,0.6873658436506733,0.6980952380952381,0.7250043290043291,0.6980952380952381,0.7368421052631579,0.8181818181818182,0.75,0.782608695652174,0.45361105256925455,0.75,0.7142857142857143
BaggingClassifier,0.03368062973022461,0.01496129035949707,0.6541168091168091,0.6580952380952381,0.6694391534391534,0.6580952380952381,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
AdaBoostClassifier,0.4731298446655273,0.010734939575195312,0.6922538967740206,0.6961904761904761,0.7163059163059162,0.6961904761904761,0.8421052631578947,1.0,0.75,0.8571428571428571,0.724568837309472,0.75,1.0
GradientBoostingClassifier,1.734474277496338,0.003910732269287109,0.5860374919198448,0.5885714285714285,0.5935238095238095,0.5885714285714285,0.6842105263157895,1.0,0.5,0.6666666666666666,0.5188745216627708,0.5,1.0
HistGradientBoostingClassifier,0.053683137893676756,0.005066108703613281,0.6218177642790645,0.6295238095238094,0.6481668384525527,0.6295238095238094,0.6842105263157895,0.75,0.75,0.75,0.32142857142857145,0.75,0.5714285714285714
ExtraTrees-ensemble,0.06528944969177246,0.016169023513793946,0.7022383281206811,0.7114285714285715,0.7340952380952381,0.7114285714285715,0.8947368421052632,1.0,0.8333333333333334,0.9090909090909091,0.8050764858994133,0.8333333333333334,1.0
XGBClassifier,0.06836309432983398,0.0061129570007324215,0.571001221001221,0.5742857142857142,0.5822524565381707,0.5742857142857142,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,0.4200412794412907,0.8333333333333334,0.5714285714285714
LGBMClassifier,0.06608281135559083,0.00791029930114746,0.620912087912088,0.6276190476190476,0.6537169312169312,0.6276190476190476,0.7368421052631579,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5060480768510598,0.6666666666666666,0.8571428571428571
