algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003792428970336914,0.004163789749145508,0.6812322724861424,0.6980952380952381,0.7738119288119287,0.6980952380952381,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
RidgeClassifier,0.0016752243041992187,0.0036611080169677733,0.6094708994708994,0.6133333333333332,0.6218730158730158,0.6133333333333332,0.7368421052631579,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5060480768510598,0.6666666666666666,0.8571428571428571
LogisticRegression,0.029673051834106446,0.004570960998535156,0.6367419617419617,0.6409523809523809,0.6487815570672713,0.6409523809523809,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
SGDClassifier,0.0028460025787353516,0.003784799575805664,0.5980619861734413,0.6438095238095237,0.6425372088229231,0.6438095238095237,0.6842105263157895,0.875,0.5833333333333334,0.7,0.4303489473092928,0.5833333333333334,0.8571428571428571
LinearDiscriminantAnalysis,0.010140562057495117,0.0070359230041503905,0.5794520577461755,0.5895238095238096,0.6021428571428571,0.5895238095238096,0.8947368421052632,1.0,0.8333333333333334,0.9090909090909091,0.8050764858994133,0.8333333333333334,1.0
QuadraticDiscriminantAnalysis,0.013444948196411132,0.007727432250976563,0.6406155609096785,0.6447619047619048,0.6577619047619048,0.6447619047619048,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.28690229202651557,0.8333333333333334,0.42857142857142855
SVC,0.0029282569885253906,0.007743072509765625,0.601447461493901,0.6447619047619048,0.7259373959373958,0.6447619047619048,0.5789473684210527,0.75,0.5,0.6,0.20935894733965593,0.5,0.7142857142857143
KNeighborsClassifier,0.0007085323333740235,0.004944801330566406,0.665410232469056,0.6704761904761904,0.7011014223871367,0.6704761904761904,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
GaussianNB,0.0009563922882080078,0.0037016868591308594,0.578484126984127,0.6019047619047619,0.6206526806526806,0.6019047619047619,0.5789473684210527,0.7,0.5833333333333334,0.6363636363636364,0.14951420452417674,0.5833333333333334,0.5714285714285714
DecisionTreeClassifier,0.016221284866333008,0.0036935806274414062,0.6414450908568556,0.6466666666666667,0.6718941111798256,0.6466666666666667,0.7368421052631579,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5060480768510598,0.6666666666666666,0.8571428571428571
ExtraTreeClassifier,0.00072479248046875,0.0036421775817871093,0.6619154443767445,0.6723809523809525,0.7020086580086581,0.6723809523809525,0.7894736842105263,1.0,0.6666666666666666,0.8,0.6513389472789296,0.6666666666666666,1.0
RandomForestClassifier,0.09230399131774902,0.016793107986450194,0.6440030884148531,0.6571428571428571,0.6786820586820587,0.6571428571428571,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6746010525388914,0.8333333333333334,0.8571428571428571
BaggingClassifier,0.03745594024658203,0.02443718910217285,0.6417886427298191,0.6580952380952381,0.6721645021645022,0.6580952380952381,0.7368421052631579,0.8181818181818182,0.75,0.782608695652174,0.45361105256925455,0.75,0.7142857142857143
AdaBoostClassifier,0.4376564025878906,0.009419488906860351,0.5994601786242653,0.6161904761904762,0.6406180169037311,0.6161904761904762,0.8947368421052632,1.0,0.8333333333333334,0.9090909090909091,0.8050764858994133,0.8333333333333334,1.0
GradientBoostingClassifier,1.9113690853118896,0.004489326477050781,0.6737981706402758,0.6857142857142857,0.7255222978080121,0.6857142857142857,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
HistGradientBoostingClassifier,0.055740070343017575,0.005242395401000977,0.6728990399578635,0.6838095238095239,0.7073549783549783,0.6838095238095239,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
ExtraTrees-ensemble,0.06561212539672852,0.016311073303222658,0.6838720825098534,0.6980952380952381,0.7322481962481964,0.6980952380952381,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6746010525388914,0.8333333333333334,0.8571428571428571
XGBClassifier,0.06909012794494629,0.006305265426635742,0.6448139224609812,0.6571428571428571,0.6807594310451452,0.6571428571428571,0.7368421052631579,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5060480768510598,0.6666666666666666,0.8571428571428571
LGBMClassifier,0.04764232635498047,0.00776820182800293,0.679904534463358,0.6847619047619047,0.6999297052154194,0.6847619047619047,0.8947368421052632,1.0,0.8333333333333334,0.9090909090909091,0.8050764858994133,0.8333333333333334,1.0
