algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.0030543804168701,0.0038845539093017,0.7789608118632886,0.7952380952380952,0.8563278943278944,0.7952380952380952,0.5789473684210527,0.5,1.0,0.6666666666666666,0.3692744729379982,1.0,0.2727272727272727,plusrnn,Embedding-based
RidgeClassifier,0.001540994644165,0.0035575866699218,0.8132959418748893,0.822857142857143,0.8695757575757576,0.822857142857143,0.5789473684210527,0.5,1.0,0.6666666666666666,0.3692744729379982,1.0,0.2727272727272727,plusrnn,Embedding-based
LogisticRegression,0.0114556312561035,0.0044052124023437,0.7789608118632886,0.7952380952380952,0.8563278943278944,0.7952380952380952,0.5789473684210527,0.5,1.0,0.6666666666666666,0.3692744729379982,1.0,0.2727272727272727,plusrnn,Embedding-based
SGDClassifier,0.0023560523986816,0.0039548397064208,0.8180523521312996,0.821904761904762,0.84711544011544,0.821904761904762,0.6842105263157895,0.5714285714285714,1.0,0.7272727272727273,0.5096471914376256,1.0,0.4545454545454545,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0216332912445068,0.0069427490234375,0.8191256075079606,0.8219047619047618,0.8343333333333334,0.8219047619047618,0.7368421052631579,0.6666666666666666,0.75,0.7058823529411765,0.4719399037242694,0.75,0.7272727272727273,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0055450439453125,0.0068022727966308,0.7229374057315233,0.7276190476190476,0.7577777777777779,0.7276190476190476,0.7894736842105263,0.8333333333333334,0.625,0.7142857142857143,0.5672953457626894,0.625,0.9090909090909092,plusrnn,Embedding-based
SVC,0.0021772861480712,0.0068679809570312,0.7789608118632886,0.7952380952380952,0.8563278943278944,0.7952380952380952,0.5789473684210527,0.5,1.0,0.6666666666666666,0.3692744729379982,1.0,0.2727272727272727,plusrnn,Embedding-based
KNeighborsClassifier,0.000657844543457,0.0070227146148681,0.7516370082159556,0.7666666666666666,0.8135501165501167,0.7666666666666666,0.631578947368421,0.5333333333333333,1.0,0.6956521739130435,0.4403855060505443,1.0,0.3636363636363636,plusrnn,Embedding-based
GaussianNB,0.0010624885559082,0.0038807392120361,0.8132959418748893,0.822857142857143,0.8695757575757576,0.822857142857143,0.5263157894736842,0.4666666666666667,0.875,0.6086956521739131,0.1789066118330336,0.875,0.2727272727272727,plusrnn,Embedding-based
DecisionTreeClassifier,0.01123628616333,0.0035990715026855,0.816209489111966,0.8219047619047618,0.8587821067821068,0.8219047619047618,0.8421052631578947,0.8571428571428571,0.75,0.8,0.6746010525388914,0.75,0.9090909090909092,plusrnn,Embedding-based
